出表日期,公司代號,公司名稱,股東常(臨時)會日期-常或臨時,股東常(臨時)會日期-日期,停止過戶起訖日期-起,停止過戶起訖日期-訖,預擬配發現金(股利)(元/股)-盈餘,預擬配發現金(股利)(元/股)-法定盈餘公積、資本公積,預擬配股(元/股)-盈餘,預擬配股(元/股)-法定盈餘公積、資本公積,擬現金增資金額(元),現金增資認購率(%),員工紅利-現金紅利(元),員工紅利-股票紅利(股),特別股股利(元/股),董監酬勞(元),公告日期,公告時間,種類,date
1150514,1342,八貫,常會,1150514,1150316,1150514,,,,,,,0,0,,0,1150223,93520,,2026-05-15
1150514,1402,遠東新,常會,1150529,1150331,1150529,,,,,,,0,0,,0,1150312,143124,,2026-05-15
1150514,1409,新纖,常會,1150528,1150330,1150528,,,,,,,0,0,,0,1150313,173337,,2026-05-15
1150514,1410,南染,常會,1150611,1150413,1150611,,,,,,,0,0,,0,1150316,104557,,2026-05-15
1150514,1413,宏洲,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150303,93644,,2026-05-15
1150514,1414,東和,常會,1150615,1150417,1150615,,,,,,,0,0,,0,1150417,93432,,2026-05-15
1150514,1416,廣豐,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150409,162133,,2026-05-15
1150514,1417,嘉裕,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150305,85842,,2026-05-15
1150514,1418,東華,常會,1150608,1150410,1150608,,,,,,,0,0,,0,1150320,94121,,2026-05-15
1150514,1419,新紡,常會,1150612,1150414,1150612,,,,,0,0.00,0,0,,0,1150504,91138,,2026-05-15
1150514,1423,利華,常會,1150618,1150420,1150618,,,,,,,0,0,,0,1150327,145334,,2026-05-15
1150514,1432,大魯閣,常會,1150528,1150330,1150528,,,,,,,0,0,,0,1150313,90444,,2026-05-15
1150514,1434,福懋,常會,1150626,1150428,1150626,,,,,0,0.00,0,0,,0,1150513,91330,,2026-05-15
1150514,1435,中福,常會,1150618,1150420,1150618,,,,,,,0,0,,0,1150505,165647,,2026-05-15
1150514,1436,華友聯,常會,1150527,1150329,1150527,,,,,,,0,0,,0,1150302,141242,,2026-05-15
1150514,1437,勤益控,常會,1150609,1150411,1150609,,,,,,,0,0,,0,1150316,165224,,2026-05-15
1150514,1438,三地開發,常會,1150625,1150427,1150625,,,,,,,0,0,,0,1150513,115339,,2026-05-15
1150514,1439,雋揚,常會,1150617,1150419,1150617,,,,,,,0,0,,0,1150312,153342,,2026-05-15
1150514,1440,南紡,常會,1150526,1150328,1150526,,,,,,,0,0,,0,1150311,101253,,2026-05-15
1150514,1441,大東,常會,1150604,1150406,1150604,,,,,,,0,0,,0,1150423,160144,,2026-05-15
1150514,1442,名軒,常會,1150527,1150329,1150527,,,,,,,0,0,,0,1150311,171034,,2026-05-15
1150514,1443,立益物流,常會,1150609,1150411,1150609,,,,,,,0,0,,0,1150313,162032,,2026-05-15
1150514,1444,力麗,常會,1150609,1150411,1150609,,,,,,,0,0,,0,1150318,114204,,2026-05-15
1150514,1445,大宇,常會,1150601,1150403,1150601,,,,,,,0,0,,0,1150316,155326,,2026-05-15
1150514,1446,宏和,常會,1150605,1150407,1150605,,,,,,,0,0,,0,1150316,101639,,2026-05-15
1150514,1447,力鵬,常會,1150609,1150411,1150609,,,,,,,0,0,,0,1150318,85334,,2026-05-15
1150514,1449,佳和,常會,1150624,1150426,1150624,,,,,,,0,0,,0,1150512,93840,,2026-05-15
1150514,1451,年興,常會,1150616,1150418,1150616,,,,,,,0,0,,0,1150311,90848,,2026-05-15
1150514,1452,宏益,常會,1150612,1150414,1150612,,,,,,,0,0,,0,1150304,170441,,2026-05-15
1150514,1453,大將,常會,1150612,1150414,1150612,,,,,0,0.00,0,0,,0,1150311,92327,,2026-05-15
1150514,1454,台富,常會,1150610,1150412,1150610,,,,,,,0,0,,0,1150313,93104,,2026-05-15
1150514,1455,集盛,常會,1150615,1150417,1150615,,,,,0,0.00,0,0,,0,1150316,160203,,2026-05-15
1150514,1456,怡華,常會,1150529,1150331,1150529,,,,,,,0,0,,0,1150310,172638,,2026-05-15
1150514,1457,宜進,常會,1150529,1150331,1150529,,,,,,,0,0,,0,1150312,162524,,2026-05-15
1150514,1459,聯發,常會,1150512,1150314,1150512,,,,,,,0,0,,0,1150226,174800,,2026-05-15
1150514,1460,宏遠,常會,1150526,1150328,1150526,,,,,0,0.00,0,0,,0,1150309,150427,,2026-05-15
1150514,1463,強盛新,常會,1150624,1150426,1150624,,,,,,,0,0,,0,1150401,155219,,2026-05-15
1150514,1464,得力,常會,1150609,1150411,1150609,,,,,,,0,0,,0,1150317,170455,,2026-05-15
1150514,1465,偉全,常會,1150602,1150404,1150602,,,,,,,0,0,,0,1150316,140511,,2026-05-15
1150514,1466,聚隆,常會,1150616,1150418,1150616,,,,,,,0,0,,0,1150316,95637,,2026-05-15
1150514,1467,南緯,常會,1150612,1150414,1150612,,,,,,,0,0,,0,1150312,90323,,2026-05-15
1150514,1468,昶和,常會,1150615,1150417,1150615,,,,,,,0,0,,0,1150401,105943,,2026-05-15
1150514,1470,大統新創,常會,1150623,1150425,1150623,,,,,,,0,0,,0,1150331,152000,,2026-05-15
1150514,1471,首利,常會,1150625,1150427,1150625,,,,,,,0,0,,0,1150429,173034,,2026-05-15
1150514,1472,三洋實業,常會,1150526,1150328,1150526,,,,,,,0,0,,0,1150310,171910,,2026-05-15
1150514,1473,台南,常會,1150526,1150328,1150526,,,,,,,0,0,,0,1150309,143621,,2026-05-15
1150514,1474,弘裕,常會,1150623,1150425,1150623,,,,,,,0,0,,0,1150331,164625,,2026-05-15
1150514,1475,業旺,常會,1150626,1150428,1150626,,,,,,,0,0,,0,1150513,101323,,2026-05-15
1150514,1476,儒鴻,常會,1150529,1150331,1150529,,,,,,,0,0,,0,1150123,100113,,2026-05-15
1150514,1477,聚陽,常會,1150526,1150328,1150526,,,,,,,0,0,,0,1150311,175245,,2026-05-15
1150514,1503,士電,常會,1150617,1150419,1150617,,,,,,,0,0,,0,1150422,102209,,2026-05-15
1150514,1504,東元,常會,1150528,1150330,1150528,,,,,,,0,0,,0,1150415,113431,,2026-05-15
1150514,1506,正道,常會,1150527,1150329,1150527,,,,,,,0,0,,0,1150311,144524,,2026-05-15
