出表日期,報告年度,公司代號,公司名稱,產品生命週期管理之揭露：報廢產品及電子廢棄物之重量(公噸(t)),產品生命週期管理之揭露：含報廢產品及電子廢棄物之再循環之百分比,date
1150513,113,1810,和成,N/A,N/A,2026-05-15
1150513,113,1903,士紙,N/A,N/A,2026-05-15
1150513,113,1904,正隆,N/A,N/A,2026-05-15
1150513,113,1905,華紙,N/A,N/A,2026-05-15
1150513,113,1907,永豐餘,N/A,N/A,2026-05-15
1150513,113,2006,東和鋼鐵,N/A,N/A,2026-05-15
1150513,113,2009,第一銅,N/A,N/A,2026-05-15
1150513,113,2010,春源,N/A,N/A,2026-05-15
1150513,113,2012,春雨,N/A,N/A,2026-05-15
1150513,113,2013,中鋼構,N/A,N/A,2026-05-15
1150513,113,2014,中鴻,N/A,N/A,2026-05-15
1150513,113,2015,豐興,N/A,N/A,2026-05-15
1150513,113,2017,官田鋼,N/A,N/A,2026-05-15
1150513,113,2020,美亞,N/A,N/A,2026-05-15
1150513,113,2023,燁輝,N/A,N/A,2026-05-15
1150513,113,2025,千興,N/A,N/A,2026-05-15
1150513,113,2027,大成鋼,N/A,N/A,2026-05-15
1150513,113,2029,盛餘,N/A,N/A,2026-05-15
1150513,113,2030,彰源,0.0000,N/A,2026-05-15
1150513,113,2031,新光鋼,0.0000,0.00%,2026-05-15
1150513,113,2033,佳大,0.0000,0.00%,2026-05-15
1150513,113,2034,允強,N/A,N/A,2026-05-15
1150513,113,2069,運錩,N/A,N/A,2026-05-15
1150513,113,2103,台橡,N/A,N/A,2026-05-15
1150513,113,2104,國際中橡,N/A,N/A,2026-05-15
1150513,113,2105,正新,N/A,N/A,2026-05-15
1150513,113,2107,厚生,N/A,N/A,2026-05-15
1150513,113,2108,南帝,N/A,N/A,2026-05-15
1150513,113,2114,鑫永銓,N/A,N/A,2026-05-15
1150513,113,2115,六暉-KY,N/A,N/A,2026-05-15
1150513,113,2201,裕隆,N/A,N/A,2026-05-15
1150513,113,2206,三陽工業,N/A,N/A,2026-05-15
1150513,113,2208,台船,N/A,N/A,2026-05-15
1150513,113,2211,長榮鋼,N/A,N/A,2026-05-15
1150513,113,2227,裕日車,N/A,N/A,2026-05-15
1150513,113,2228,劍麟,N/A,N/A,2026-05-15
1150513,113,2231,為升,N/A,N/A,2026-05-15
1150513,113,2233,宇隆,N/A,N/A,2026-05-15
1150513,113,2236,百達-KY,N/A,N/A,2026-05-15
1150513,113,2241,艾姆勒,104.8680,0.00%,2026-05-15
1150513,113,2243,宏旭-KY,N/A,N/A,2026-05-15
1150513,113,2247,汎德永業,N/A,N/A,2026-05-15
1150513,113,2254,巨鎧精密-創,N/A,N/A,2026-05-15
1150513,113,2258,鴻華先進-創,N/A,N/A,2026-05-15
1150513,113,2301,光寶科,N/A,N/A,2026-05-15
1150513,113,2302,麗正,1.5000,1.50%,2026-05-15
1150513,113,2303,聯電,55.9000,90.10%,2026-05-15
1150513,113,2305,全友,N/A,N/A,2026-05-15
1150513,113,2308,台達電,22577.3760,99.97%,2026-05-15
1150513,113,2312,金寶,1607.2500,7.10%,2026-05-15
