出表日期,報告年度,公司代號,公司名稱,用水量(公噸),資料範圍,用水密集度-密集度(公噸/單位) ,用水密集度-單位,取得驗證,date
1150513,113,1315,達新,11283.0000,母公司,0.0063,取水量(百萬公升)/組織特定度量值,N/A,2026-05-15
1150513,113,1316,上曜,485.0000,上曜建設及營造相關子公司上裕營造及永輝室內裝修辦公室,0.3178,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1319,東陽,818455.0000,台灣營運地區（台南總部、桃園觀音廠、台北辦事處）,41.2902,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1321,大洋,147.4600,母公司,1.1206,公噸/產品,N/A,2026-05-15
1150513,113,1323,永裕,69260.0000,"已完成母公司
",46.1385,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1324,地球,10312.6400,總公司（含台中營業所及高雄營業所)、幼獅一廠及幼獅二廠,12.9719,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1325,恆大,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1326,台化,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1337,再生-KY,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1338,廣華-KY,318479.0000,東莞廣澤汽車飾件有限公司,453.7200,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1339,昭輝,113455.0000,母公司,72.7275,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1340,勝悅-KY,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1341,富林-KY,58.0994,海防總公司  同奈分公司  台灣分公司,0.0208,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1342,八貫,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1402,遠東新,991732000.0000,本公司生產事業主要據點,149.1100,公噸/產品,ISO 46001,2026-05-15
1150513,113,1409,新纖,1777600.0000,新光合成纖維股份有限公司,N/A,N/A,N/A,2026-05-15
1150513,113,1410,南染,14580.0000,全廠區用水,56.9531,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1413,宏洲,212570.0000,宏洲纖維工業份有限公司桃園廠,92.1812,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1414,東和,31.5800,麻豆工廠,0.0600,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1416,廣豐,3126.5204,廣豐實業宗公司與各子公司,9.3746,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1417,嘉裕,54717.0000,台北總公司及桃園中壢廠，不包含營業門市。,123.5147,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1418,東華,540.6000,新竹廠區,52.7400,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1419,新紡,30634.0000,大溪廠及大園廠,7.6854,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1423,利華,N/A,N/A,0.0199,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1432,大魯閣,91658.6087,大魯閣實業本體,80.2553,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1434,福懋,5931000.0000,母公司,278.4100,公噸/百萬元營業額,ISO 46001,2026-05-15
1150513,113,1435,中福,173.7800,母公司,0.1627,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1436,華友聯,0.1707,已完成母公司,N/A,N/A,N/A,2026-05-15
1150513,113,1437,勤益控,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1438,三地開發,255.1400,母公司,N/A,N/A,N/A,2026-05-15
1150513,113,1439,雋揚,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1440,南紡,605150.0000,僅母公司,80.0000,公噸/百萬元營業額,ISO14001、確信準則3000號「非屬歷史性財務資訊查核或核閱之確信案件」,2026-05-15
1150513,113,1441,大東,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1442,名軒,209.2820,母公司,N/A,N/A,N/A,2026-05-15
1150513,113,1443,立益物流,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1444,力麗,379955.4000,彰化廠區,1.8227,公噸/產品,N/A,2026-05-15
1150513,113,1445,大宇,72630.0000,數據揭露範疇包含總公司、蘆竹廠及彰濱廠。,73.4288,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1446,宏和,11874.0000,母公司,3.2319,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1447,力鵬,4917249.0000,"楊梅廠區、彰化尼龍總廠、彰化紡織廠
",141.1979,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1449,佳和,1890382.0000,佳和官田廠,232.7771,公噸/產品,N/A,2026-05-15
1150513,113,1451,年興,2105734.0000,台灣後龍廠區+越南成衣廠區+墨西哥紡織廠+賴索托成衣廠+賴索托紡織廠,327.9622,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1452,宏益,44731.0000,已完成母公司,1.8441,公噸/產品,N/A,2026-05-15
1150513,113,1453,大將,262.5000,本公司營運據點,13.1250,公噸/服務,N/A,2026-05-15
1150513,113,1454,台富,400.1520,母公司,0.2465,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1455,集盛,588123.0000,一至五廠區,3.2855,公噸/產品,N/A,2026-05-15
1150513,113,1456,怡華,1978789.0000,台南官田廠,N/A,N/A,"1.經濟部發布之用水回收率查驗作業指引
2.用水計畫審核管理辦法
3.耗水費徵收管理辦法",2026-05-15
1150513,113,1457,宜進,2570.0000,「宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司) 台北公司,2.9204,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1459,聯發,2924.0000,工廠,6.1400,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1460,宏遠,1786500.0000,母公司,162.9360,公噸/產品,N/A,2026-05-15
1150513,113,1463,強盛新,592000.0000,母公司,N/A,N/A,N/A,2026-05-15
1150513,113,1464,得力,N/A,N/A,0.4850,公升/碼,N/A,2026-05-15
1150513,113,1465,偉全,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1466,聚隆,189199.0000,母公司,79.5578,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1467,南緯,38090.0000,台灣總部、越南產區,23.2900,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1468,昶和,1097466.7328,本公司以下營運據點：昶和纖維(紹興)有限公司、昶和纖維興業股份有限公司_台北辦事處、昶和纖維興業股份有限公司_南崁,64.4633,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1470,大統新創,664534.0000,母公司桃園廠,180.0000,公噸/產品,N/A,2026-05-15
1150513,113,1471,首利,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1472,三洋實業,10104.6489,三洋實業及子公司總部據點及各施工案場,43.2661,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1473,台南,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1474,弘裕,718147.0000,弘裕企業公司(伸港廠、全興廠、和美廠),343.1606,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1475,業旺,0.1996,母公司,0.0001,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1476,儒鴻,2713122.0000,包含合併財務報表之母子公司,73.6691,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1477,聚陽,6825100.0000,包含合併財務報表之母子公司,192.1264,公噸/百萬元營業額,ISO 14046(驗證範圍-聚陽台北總公司) 、ISAE3000(下述資料邊界範圍),2026-05-15
1150513,113,1503,士電,196.5600,四大事業群(三廠區)及台北總部，不包含及各地分公司；台北總部取水量以仰德大樓每月之自來水水費單分配計算。,0.0069,百萬公升/百萬元,AA1000AS v3 第二類型中度保證等級,2026-05-15
1150513,113,1504,東元,80020.0000,台灣地區、大陸/越南地區、美國地區、義大利地區 ,1.5000,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1506,正道,43240.0000,正道工業(股)公司台灣仁德廠區及馬來西亞廠區,41.7125,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1512,瑞利,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1513,中興電,125925.0000,113年度,4.8926,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1514,亞力,26748.5821,本公司以下營運據點：亞力電機股份有限公司新莊廠、亞力電機股份有限公司楊梅廠、亞力電機股份有限公司總公司,3.1865,公噸/百萬元營業額,ISO 14001,2026-05-15
1150513,113,1515,力山,12336.0000,母公司+子公司力山科技,2.0226,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1516,川飛,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1517,利奇,3564.8571,母公司,2.7485,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1519,華城,55.1150,包含合併財務報表之母子公司,47.1875,N/A,N/A,2026-05-15
1150513,113,1521,大億,50462.0000,總公司：台南市南區新信路11號 安工廠：台南市南區新樂路39號1-3樓,13.6476,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1522,堤維西,109300.0000,安平廠及科工1、科工2、科工3 廠,0.8175,百萬公升／億元營收,N/A,2026-05-15
1150513,113,1524,耿鼎,70368.0000,母公司,0.0331,公噸/產品,N/A,2026-05-15
1150513,113,1525,江申,23337.0000,母公司,2.5500,公噸/產品,N/A,2026-05-15
1150513,113,1526,日馳,9129.0000,日馳企業股份有限公司,18.6165,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1527,鑽全,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1528,恩德,4592.1629,後龍廠、梧棲廠,4.3693,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1529,樂事綠能,3914.5500,楊梅工廠、台南工廠、台南辦公室,5.6208,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1530,亞崴,25875.0000,已完成母公司,20.0113,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1531,高林股,54437.0000,總公司、桃園廠與高銀廠,N/A,N/A,N/A,2026-05-15
1150513,113,1532,勤美,401744.0000,勤美金屬成型事業處、蘇州勤美達精密機械有限公司(CMS)、勤威(天津)工業有限公司(CMW)、蘇州勤堡精密機械有限公司(CMB)及勤美達（武漢）精密機械有限公司(CMH),44.0000,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1533,車王電,9364.0000,台灣母公司,24.8666,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1535,中宇,8554.0000,包含合併財務報表之母子公司,0.7878,公噸/百萬元營業額,ISO14064-1,2026-05-15
1150513,113,1536,和大,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1537,廣隆,380352.0000,包含合併財務報表之母子公司,N/A,N/A,N/A,2026-05-15
1150513,113,1538,正峰,809.0000,水費單,N/A,N/A,N/A,2026-05-15
1150513,113,1539,巨庭,5982.0000,自來水帳單,4.4675,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1540,喬福,1358.0000,母公司,2.3622,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1541,錩泰,35430.0000,包含財務報表之母子公司,11.8600,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1558,伸興,132999.0000,合併財務報表之母子公司(不含宇隆、喜佳、三道),0.0700,公噸/產品,ESG報告書AA1000,2026-05-15
1150513,113,1560,中砂,1600.3290,母公司五個製造工廠,0.2700,百萬公升/百萬元,N/A,2026-05-15
1150513,113,1563,巧新,658.6800,僅母公司,0.0881,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1568,倉佑,13780.0000,母公司各工廠                                                                   ,1.0120,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1582,信錦,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1583,程泰,24655.1389,已完成母公司,15.2327,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1587,吉茂,22067.0000,母公司,13.7962,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1589,永冠-KY,310253.0000,合併財務報表之母子公司,43.0773,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1590,亞德客-KY,939087.0000,考量揭露訊息之重大性以及實際管理需求，涵蓋主要銷售據點、主要生產基地和營運總部，合計揭露比重佔 2024 年合併營業收入達96%，亦達2024年度生產產值100%。,30.6291,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1597,直得,25058.0000,母公司,30.8877,公噸/百萬元營業額,ISO14001,2026-05-15
1150513,113,1598,岱宇,22.6030,彰化本廠、二廠、五廠、台中,0.0031,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1603,華電,31168.5500,母公司全部,0.0371,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1604,聲寶,101190.0000,聲寶及德寶股份有限公司,91.1622,取水量公噸/員工人數,N/A,2026-05-15
1150513,113,1605,華新,14942400.0000,華新麗華股份有限公司個體公司及子公司( 包括上海華新、江陰合金、煙台華新、常熟華新、華新精密),10.4900,公噸/產品,ISO 46001,2026-05-15
1150513,113,1608,華榮,78485.5873,高楠廠生產工廠,9.5667,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1609,大亞,94709.1603,大亞公司(個體),2.2047,公噸/產品,N/A,2026-05-15
1150513,113,1611,中電,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1612,宏泰,59940.0000,僅母公司,9.0970,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1614,三洋電,52974.0000,台灣三洋電機股份有限公司及三洋全能股份有限公司,9.3103,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1615,大山,40325.0000,"1.斗六總廠
2.斗六虎溪廠
3.桃園營業處
4.高雄聯絡處",0.0068,百萬公升 / 佰萬營收,N/A,2026-05-15
1150513,113,1616,億泰,54000.0000,桃園市中壢區中正路二段363巷32號,11.9080,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1617,榮星,46742.0000,台南市仁德區中正路三段231號、台北市松山區復興北路181號13樓之3,29.5835,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1618,合機,7.3300,以公司個體廠區為邊界範圍，包含桃園二 、三、五廠 、新廠、品保實驗室、台北辦公室等，惟桃園六廠因小部分租賃予其他企業組織且未生產製造，故排除盤查範圍,0.0016,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1626,艾美特-KY,223.1250,主要營運據點艾美特電器（深圳）有限公司、艾美特電器（九江）有限公司,N/A,N/A,N/A,2026-05-15
1150513,113,1702,南僑,1868089.0000,涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業,0.0793,公噸/千元,N/A,2026-05-15
1150513,113,1707,葡萄王,381052.0000,葡萄王生技股份有限公司、葡眾企業股份有限公司、溢昭股份有限公司、上海葡萄王企業有限公司,30.2000,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1708,東鹼,684170.0000,東南實業股份有限公司蘇澳總廠,1.2860,公噸/產品,N/A,2026-05-15
1150513,113,1709,和益,138550.0000,母公司和益及子公司聯超、和協,13.0000,公噸/百萬元營業額,確信準則3000號,2026-05-15
1150513,113,1710,東聯,1628582.0000,高雄林園廠,142.0090,公噸/百萬元營業額,ISO 46001,2026-05-15
1150513,113,1711,永光,628545.5540,桃園地區四個廠區、新竹全通科技、大陸地區的蘇州永光，已取得ISO 14001認證之生產型廠區及子公司,N/A,N/A,ISO14001 DNV、KPMG會計師確信,2026-05-15
1150513,113,1712,興農,575867.0000,母公司王田廠、王田二廠、王田三廠、生物工廠、大肚廠、彰濱廠,30.4241,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1713,國化,63110.0000,屏南工廠,119.5326,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1714,和桐,11.2760,高雄廠,0.0003,公噸/產品,N/A,2026-05-15
1150513,113,1717,長興,783960.0000,台灣、大陸、馬來西亞、美國、日本、義大利、泰國等工廠及高雄公司、北區營業所、中區營業所、韓國、越南等辦事處等。辦事處據點無法統計排水量，故不揭露排水量及其耗水量。,1.5700,公噸/產品,N/A,2026-05-15
1150513,113,1718,中纖,1975000.0000,中國人造纖維股份有限公司高雄總廠及汽電二廠,347.6501,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1720,生達,173202.0000,生達一廠+生達二廠,53.6894,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1721,三晃,220110.0000,僅母公司,14.5788,公噸/產品,確信準則3000號,2026-05-15
1150513,113,1722,台肥,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1723,中碳,286000.0000,母公司,38.1842,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1725,元禎,3174.0000,母公司,0.4695,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1726,永記,63180.0000,20240101~20241231,0.7484,公噸/產品,N/A,2026-05-15
1150513,113,1727,中華化,350.8250,一廠、二廠、彰化廠,2.4994,公噸/產品,N/A,2026-05-15
1150513,113,1730,花仙子,8154.6364,台灣花仙子、蘇州太倉廠,3.5728,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1731,美吾華,48113.0000,台北總公司、中南部辦公室及楊梅廠與外倉,N/A,N/A,N/A,2026-05-15
1150513,113,1732,毛寶,18165.0000,母公司,32.5500,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1733,五鼎,46369.0000,僅包含台灣各廠區,0.0560,公噸/千片試片,N/A,2026-05-15
1150513,113,1734,杏輝,179591.0000,母公司,62.7870,公噸/百萬元營業額,ISO14001:2015,2026-05-15
1150513,113,1735,日勝化,43382.0000,僅母公司,25.6516,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1736,喬山,305840.0000,集團總部與台灣廠、上海廠、越南廠之地下水與第三方用水,8.6400,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1737,臺鹽,32738.5600,113年度環境會計年度列帳資料，自來水,10.4142,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1752,南光,141023.0000,總公司與台北辦公室,64.1207,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1760,寶齡富錦,154.8215,"南港總公司, 平鎮廠, 正峰大園廠, 汐科廠, 龍潭研發中心 ",0.0763,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1762,中化生,114932.0000,中化合成生技股份有限公司,86.5709,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1773,勝一,415386.0000,母公司,40.5809,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1776,展宇,11435.0000,僅母公司,15.9960,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1783,和康生,14530.0000,母公司,21.3360,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1786,科妍,30588.0000,母公司,N/A,N/A,N/A,2026-05-15
1150513,113,1789,神隆,158720.0000,僅母公司,0.0079,百萬公升/公斤,N/A,2026-05-15
1150513,113,1795,美時,117.8842,美時台灣南投廠、韓國公州廠及韓國鄉南廠,0.0966,百萬公升/人,N/A,2026-05-15
1150513,113,1802,台玻,N/A,N/A,N/A,N/A,ISO 46001,2026-05-15
1150513,113,1805,寶徠,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1806,冠軍,318302.0000,苗栗縣造橋鄉豐湖村一鄰乳姑山2號,0.0336,公噸/產品,N/A,2026-05-15
1150513,113,1808,潤隆,322.0000,本公司台北、台中及台南辦公室。,0.0368,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1809,中釉,45088.6000,母公司,N/A,N/A,N/A,2026-05-15
1150513,113,1810,和成,171676.0000,新北市鶯歌區八德路1號(二廠).桃園市八德區大發里後庄街89號.1355號(八德廠).桃園市八德區大發里6鄰福德一路405號.台北市中山區濱江街105號.基隆市中山區德安路4-1號.桃園市八德區大發里後庄街89號.新竹縣湖口鄉德興路440巷16號.苗栗市水源里11鄰水流娘22-9號.台中市西屯區台灣大道四段16巷312號.嘉義縣水上鄉粗溪136-20號.宜蘭縣壯圍鄉大福路3段41巷7號.南投市新興里南崗三路37號,0.0762,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1817,凱撒衛,1720.0000,"台灣地區
",0.6164,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1903,士紙,8.2200,本公司用水包含員工生活用水、旅館與餐經經營用水，水源皆屬於水庫之自來水。,N/A,N/A,N/A,2026-05-15
1150513,113,1904,正隆,2574550.0000,母公司,8.4200,公噸/產品,N/A,2026-05-15
1150513,113,1905,華紙,28655000.0000,台灣(觀音廠、久堂廠、花蓮廠、台東廠)及中國鼎豐,33.8144,公噸/產品,N/A,2026-05-15
1150513,113,1906,寶隆,1238.0800,母公司,0.3854,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1907,永豐餘,45771181.0000,永豐餘林漿紙、工紙紙器、消費品三大事業群之所有生產據點。,9.9328,公噸/產品,ISO 14001,2026-05-15
1150513,113,1909,榮成,28314594.1900,母公司及合併財部報表子公司,7.4700,公噸/產品,用水回收率,2026-05-15
1150513,113,2002,中鋼,42205812.0000,本公司小港廠區(含第三冷軋廠),5.1000,公噸/產品,N/A,2026-05-15
1150513,113,2006,東和鋼鐵,2244186.0000,母公司,1.2190,"全公司取
水量/鋼胚產量
",N/A,2026-05-15
1150513,113,2007,燁興,210770.0000,本公司,0.0190,千立方公尺/百萬元,N/A,2026-05-15
1150513,113,2008,高興昌,33717.0000,"個別財報(本公司無子公司)
高雄總公司、屏東分公司、台北分公司",1.0490,公噸/產品,N/A,2026-05-15
1150513,113,2009,第一銅,201321.9643,第一伸銅科技股份有限公司臨海廠,N/A,N/A,N/A,2026-05-15
1150513,113,2010,春源,82301.0000,僅母公司,0.0002,公噸/產品,N/A,2026-05-15
1150513,113,2012,春雨,226310.0000,本廠,N/A,N/A,N/A,2026-05-15
1150513,113,2013,中鋼構,43454.0000,母公司,2.2063,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,2014,中鴻,1187958.0000,113/1/1~113/12/31(全公司),38.9993,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,2015,豐興,1805979.0000,包含合併財務報表之母子公司,52.5310,公噸/百萬元營業額,ISO 14001:2015,2026-05-15
1150513,113,2017,官田鋼,107159.0000,母公司,40.4000,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,2020,美亞,670.0000,埔心總廠,0.1278,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,2022,聚亨,48489.0000,母公司(一廠;二廠;三廠),34.1500,公噸/百萬元營業額,N/A,2026-05-15
