出表日期,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人),員工薪資平均數(仟元/人) ,非擔任主管職務之全時員工薪資平均數(仟元/人) ,非擔任主管職務之全時員工薪資平均數變動百分比,非擔任主管之全時員工薪資中位數(仟元/人) ,非擔任主管職務之全時員工薪資中位數變動百分比,管理職女性主管佔比,新進員工年齡分布,離職員工年齡分布,高齡員工晉用政策及培訓計畫,date
1150513,113,1432,大魯閣,536,434,579,5.27%,495,4.87%,44.00%,,,,2026-05-15
1150513,113,1434,福懋,603,503,555,-1.60%,489,-0.81%,11.72%,,,,2026-05-15
1150513,113,1435,中福,1310,1143,1033,29.29%,625,3.99%,40.00%,,,,2026-05-15
1150513,113,1436,華友聯,1569,1276,1096,16.35%,1052,25.69%,50.00%,,,,2026-05-15
1150513,113,1437,勤益控,4293,4009,818,5.96%,485,6.59%,66.67%,,,,2026-05-15
1150513,113,1438,三地開發,1221,1021,588,25.91%,573,31.42%,20.00%,,,,2026-05-15
1150513,113,1439,雋揚,1135,969,660,-14.17%,641,-18.45%,50.00%,,,,2026-05-15
1150513,113,1440,南紡,757,632,610,-1.45%,558,0.36%,12.39%,,,,2026-05-15
1150513,113,1441,大東,1370,1145,603,-0.82%,547,-0.73%,34.60%,,,,2026-05-15
1150513,113,1442,名軒,1845,1529,1269,21.20%,1099,7.64%,60.00%,,,,2026-05-15
1150513,113,1443,立益物流,990,806,676,2.89%,675,3.85%,15.44%,,,,2026-05-15
1150513,113,1444,力麗,691,557,544,6.04%,472,5.83%,25.64%,,,,2026-05-15
1150513,113,1445,大宇,741,629,608,-11.76%,552,-5.96%,18.00%,,,,2026-05-15
1150513,113,1446,宏和,1012,884,661,3.77%,535,3.88%,15.38%,,,,2026-05-15
1150513,113,1447,力鵬,797,639,611,9.50%,553,9.50%,24.14%,,,,2026-05-15
1150513,113,1449,佳和,674,566,580,10.06%,555,12.35%,8.90%,,,,2026-05-15
1150513,113,1451,年興,823,669,846,63.32%,698,48.51%,24.00%,,,,2026-05-15
1150513,113,1452,宏益,846,711,665,17.70%,574,18.84%,31.00%,,,,2026-05-15
1150513,113,1453,大將,866,704,612,8.32%,596,0.00%,40.00%,,,,2026-05-15
1150513,113,1454,台富,688,573,558,0.18%,503,-0.79%,48.89%,,,,2026-05-15
1150513,113,1455,集盛,742,628,629,4.31%,568,3.65%,9.09%,,,,2026-05-15
1150513,113,1456,怡華,1022,874,593,5.70%,588,5.76%,45.45%,,,,2026-05-15
1150513,113,1457,宜進,1000,827,845,2.92%,759,3.69%,58.00%,,,,2026-05-15
1150513,113,1459,聯發,825,669,483,7.57%,404,2.54%,16.67%,,,,2026-05-15
1150513,113,1460,宏遠,709,576,548,4.98%,492,4.68%,34.13%,,,,2026-05-15
1150513,113,1463,強盛新,690,598,557,8.16%,521,12.04%,26.47%,,,,2026-05-15
1150513,113,1464,得力,742,637,580,4.69%,526,7.57%,36.21%,,,,2026-05-15
1150513,113,1465,偉全,656,547,554,4.33%,491,2.94%,36.00%,,,,2026-05-15
1150513,113,1466,聚隆,708,591,611,7.19%,606,10.18%,31.48%,,,,2026-05-15
1150513,113,1467,南緯,918,766,702,6.36%,629,7.89%,14.50%,,,,2026-05-15
1150513,113,1468,昶和,793,665,606,11.60%,542,3.83%,40.91%,,,,2026-05-15
1150513,113,1470,大統新創,758,659,634,13.21%,547,15.64%,33.00%,,,,2026-05-15
1150513,113,1471,首利,1128,959,769,3.92%,818,6.51%,29.41%,,,,2026-05-15
