出表日期,報告年度,公司代號,公司名稱,薪酬委員會席次,薪酬委員會獨立董事席次,薪酬委員會出席率,審計委員會席次,審計委員會出席率,date
1150513,113,1460,宏遠,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,1463,強盛新,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,1464,得力,3,2,100.00%,4,100.00%,2026-05-15
1150513,113,1465,偉全,3,2,77.77%,4,100.00%,2026-05-15
1150513,113,1466,聚隆,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,1467,南緯,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1468,昶和,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,1470,大統新創,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1471,首利,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1472,三洋實業,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1473,台南,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1474,弘裕,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1475,業旺,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1476,儒鴻,3,3,100.00%,5,100.00%,2026-05-15
1150513,113,1477,聚陽,4,3,100.00%,4,90.00%,2026-05-15
1150513,113,1503,士電,3,3,100.00%,3,91.67%,2026-05-15
1150513,113,1504,東元,4,4,95.83%,4,94.44%,2026-05-15
1150513,113,1506,正道,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1512,瑞利,3,2,100.00%,3,89.00%,2026-05-15
1150513,113,1513,中興電,3,3,91.70%,3,94.40%,2026-05-15
1150513,113,1514,亞力,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1515,力山,4,3,91.67%,3,100.00%,2026-05-15
1150513,113,1516,川飛,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,1517,利奇,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1519,華城,4,4,100.00%,4,96.88%,2026-05-15
1150513,113,1521,大億,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1522,堤維西,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,1524,耿鼎,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1525,江申,3,3,100.00%,3,87.00%,2026-05-15
1150513,113,1526,日馳,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,1527,鑽全,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1528,恩德,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1529,樂事綠能,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,1530,亞崴,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1531,高林股,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1532,勤美,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1533,車王電,3,3,100.00%,4,92.86%,2026-05-15
1150513,113,1535,中宇,3,3,100.00%,3,88.89%,2026-05-15
1150513,113,1536,和大,3,3,100.00%,3,90.48%,2026-05-15
1150513,113,1537,廣隆,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,1538,正峰,4,4,83.33%,4,84.38%,2026-05-15
1150513,113,1539,巨庭,3,3,88.89%,3,91.67%,2026-05-15
1150513,113,1540,喬福,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1541,錩泰,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1558,伸興,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1560,中砂,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1563,巧新,3,3,100.00%,4,92.86%,2026-05-15
1150513,113,1568,倉佑,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1582,信錦,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,1583,程泰,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1587,吉茂,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1589,永冠-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1590,亞德客-KY,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1597,直得,4,4,93.75%,4,96.43%,2026-05-15
1150513,113,1598,岱宇,4,3,100.00%,4,100.00%,2026-05-15
1150513,113,1603,華電,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1604,聲寶,3,3,83.33%,3,86.67%,2026-05-15
1150513,113,1605,華新,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1608,華榮,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1609,大亞,4,4,100.00%,4,96.43%,2026-05-15
1150513,113,1611,中電,3,3,100.00%,3,93.33%,2026-05-15
1150513,113,1612,宏泰,3,3,100.00%,3,93.33%,2026-05-15
1150513,113,1614,三洋電,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,1615,大山,3,3,100.00%,3,87.50%,2026-05-15
1150513,113,1616,億泰,3,3,83.33%,3,91.67%,2026-05-15
1150513,113,1617,榮星,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,1618,合機,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1626,艾美特-KY,4,4,100.00%,4,90.00%,2026-05-15
1150513,113,1702,南僑,3,2,93.33%,3,90.48%,2026-05-15
1150513,113,1707,葡萄王,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,1708,東鹼,3,2,100.00%,3,90.47%,2026-05-15
1150513,113,1709,和益,3,3,100.00%,4,95.00%,2026-05-15
1150513,113,1710,東聯,3,2,83.00%,3,100.00%,2026-05-15
1150513,113,1711,永光,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1712,興農,3,3,100.00%,3,93.33%,2026-05-15
1150513,113,1713,國化,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1714,和桐,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1717,長興,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1718,中纖,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1720,生達,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1721,三晃,100,3,100.00%,3,100.00%,2026-05-15
1150513,113,1722,台肥,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,1723,中碳,3,3,100.00%,3,93.33%,2026-05-15
1150513,113,1725,元禎,3,3,88.89%,3,0.80%,2026-05-15
1150513,113,1726,永記,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1727,中華化,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1730,花仙子,4,4,93.75%,4,100.00%,2026-05-15
1150513,113,1731,美吾華,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1732,毛寶,3,3,100.00%,4,85.00%,2026-05-15
1150513,113,1733,五鼎,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1734,杏輝,3,2,91.67%,3,100.00%,2026-05-15
1150513,113,1735,日勝化,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1736,喬山,3,2,100.00%,4,100.00%,2026-05-15
1150513,113,1737,臺鹽,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,1752,南光,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,1760,寶齡富錦,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1762,中化生,3,3,88.89%,3,93.33%,2026-05-15
1150513,113,1773,勝一,4,4,91.67%,4,95.00%,2026-05-15
1150513,113,1776,展宇,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1783,和康生,2,2,100.00%,2,100.00%,2026-05-15
1150513,113,1786,科妍,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1789,神隆,6,5,100.00%,5,100.00%,2026-05-15
1150513,113,1795,美時,3,3,93.33%,3,92.59%,2026-05-15
1150513,113,1802,台玻,3,2,83.33%,3,100.00%,2026-05-15
1150513,113,1805,寶徠,3,3,100.00%,3,95.83%,2026-05-15
1150513,113,1806,冠軍,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,1808,潤隆,3,2,86.66%,2,96.88%,2026-05-15
1150513,113,1809,中釉,3,3,91.67%,3,94.40%,2026-05-15
1150513,113,1810,和成,3,2,83.33%,3,86.67%,2026-05-15
1150513,113,1817,凱撒衛,4,4,91.67%,4,96.43%,2026-05-15
1150513,113,1903,士紙,3,3,100.00%,3,93.33%,2026-05-15
1150513,113,1904,正隆,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1905,華紙,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1906,寶隆,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1907,永豐餘,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1909,榮成,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2002,中鋼,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2006,東和鋼鐵,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,2007,燁興,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2008,高興昌,3,3,100.00%,3,88.89%,2026-05-15
1150513,113,2009,第一銅,3,3,88.81%,3,91.67%,2026-05-15
1150513,113,2010,春源,3,3,100.00%,3,95.83%,2026-05-15
1150513,113,2012,春雨,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2013,中鋼構,3,3,100.00%,3,93.33%,2026-05-15
1150513,113,2014,中鴻,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2015,豐興,3,3,100.00%,3,91.67%,2026-05-15
1150513,113,2017,官田鋼,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2020,美亞,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2022,聚亨,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2023,燁輝,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2024,志聯,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2025,千興,3,3,86.67%,3,79.17%,2026-05-15
1150513,113,2027,大成鋼,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,2028,威致,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2029,盛餘,3,2,100.00%,4,100.00%,2026-05-15
1150513,113,2030,彰源,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2031,新光鋼,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2032,新鋼,3,3,94.44%,3,94.44%,2026-05-15
1150513,113,2033,佳大,3,1,99.00%,0,0.00%,2026-05-15
1150513,113,2034,允強,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,2038,海光,3,3,91.67%,4,93.75%,2026-05-15
