出表日期,報告年度,公司代號,公司名稱,薪酬委員會席次,薪酬委員會獨立董事席次,薪酬委員會出席率,審計委員會席次,審計委員會出席率,date
1150513,113,2603,長榮,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2605,新興,4,4,75.00%,4,93.75%,2026-05-15
1150513,113,2606,裕民,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2607,榮運,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2608,嘉里大榮,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2609,陽明,4,4,100.00%,4,97.73%,2026-05-15
1150513,113,2610,華航,3,2,100.00%,5,93.75%,2026-05-15
1150513,113,2611,志信,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,2612,中航,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,2613,中櫃,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,2614,東森,4,4,93.75%,4,92.50%,2026-05-15
1150513,113,2615,萬海,3,2,83.33%,3,91.67%,2026-05-15
1150513,113,2616,山隆,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2617,台航,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2618,長榮航,3,3,100.00%,3,88.89%,2026-05-15
1150513,113,2630,亞航,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2633,台灣高鐵,4,4,100.00%,5,100.00%,2026-05-15
1150513,113,2634,漢翔,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2636,台驊控股,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2637,慧洋-KY,5,5,93.33%,5,94.67%,2026-05-15
1150513,113,2642,宅配通,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2645,長榮航太,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2646,星宇航空,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2701,萬企,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2702,華園,3,3,88.89%,4,96.43%,2026-05-15
1150513,113,2704,國賓,4,4,87.50%,4,81.25%,2026-05-15
1150513,113,2705,六福,4,4,88.89%,4,90.00%,2026-05-15
1150513,113,2706,第一店,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2707,晶華,3,3,83.33%,3,91.67%,2026-05-15
1150513,113,2712,遠雄來,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2722,夏都,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2723,美食-KY,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2727,王品,4,4,100.00%,4,93.75%,2026-05-15
1150513,113,2731,雄獅,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2739,寒舍,4,4,100.00%,4,93.75%,2026-05-15
1150513,113,2748,雲品,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2753,八方雲集,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2762,世界健身-KY,4,4,100.00%,4,96.15%,2026-05-15
1150513,113,2801,彰銀,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2812,台中銀,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,2816,旺旺保,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2820,華票,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2832,台產,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2834,臺企銀,5,5,100.00%,5,98.80%,2026-05-15
1150513,113,2836,高雄銀,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2838,聯邦銀,3,2,83.33%,3,88.88%,2026-05-15
1150513,113,2845,遠東銀,3,3,100.00%,4,89.00%,2026-05-15
1150513,113,2849,安泰銀,3,3,100.00%,3,95.00%,2026-05-15
1150513,113,2850,新產,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,2851,中再保,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2852,第一保,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,2855,統一證,4,4,95.00%,4,100.00%,2026-05-15
1150513,113,2867,三商壽,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,2880,華南金,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2881,富邦金,6,6,98.00%,6,100.00%,2026-05-15
1150513,113,2882,國泰金,3,3,100.00%,5,100.00%,2026-05-15
1150513,113,2883,凱基金,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2884,玉山金,5,5,100.00%,5,100.00%,2026-05-15
1150513,113,2885,元大金,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2886,兆豐金,5,5,100.00%,5,100.00%,2026-05-15
1150513,113,2887,台新金,3,3,100.00%,3,97.78%,2026-05-15
1150513,113,2889,國票金,5,4,100.00%,4,95.00%,2026-05-15
1150513,113,2890,永豐金,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2891,中信金,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,2892,第一金,3,3,100.00%,5,100.00%,2026-05-15
1150513,113,2897,王道銀行,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2901,欣欣,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2903,遠百,3,2,83.33%,3,83.33%,2026-05-15
1150513,113,2904,匯僑,3,2,100.00%,3,91.67%,2026-05-15
1150513,113,2905,三商,4,4,85.71%,4,95.83%,2026-05-15
1150513,113,2906,高林,4,4,83.33%,4,93.75%,2026-05-15
1150513,113,2908,特力,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2910,統領,3,3,78.00%,3,88.88%,2026-05-15
1150513,113,2911,麗嬰房,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2912,統一超,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2913,農林,4,4,100.00%,4,91.67%,2026-05-15
1150513,113,2915,潤泰全,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2923,鼎固-KY,3,1,100.00%,4,100.00%,2026-05-15
1150513,113,2929,淘帝-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2939,永邑-KY,3,3,100.00%,3,96.67%,2026-05-15
1150513,113,2945,三商家購,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3002,歐格,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,3003,健和興,4,4,100.00%,3,100.00%,2026-05-15
1150513,113,3004,豐達科,4,4,100.00%,4,95.00%,2026-05-15
1150513,113,3005,神基,3,3,88.89%,4,95.83%,2026-05-15
1150513,113,3006,晶豪科,4,4,100.00%,4,90.00%,2026-05-15
1150513,113,3008,大立光,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3010,華立,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,3011,今皓,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,3013,晟銘電,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3014,聯陽,4,4,96.88%,4,100.00%,2026-05-15
1150513,113,3015,全漢,4,4,100.00%,4,96.43%,2026-05-15
1150513,113,3016,嘉晶,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3017,奇鋐,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,3018,隆銘綠能,3,3,88.89%,3,83.33%,2026-05-15
1150513,113,3019,亞光,3,3,83.33%,3,91.67%,2026-05-15
1150513,113,3021,鴻名,3,3,93.33%,3,93.33%,2026-05-15
1150513,113,3022,威強電,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3023,信邦,3,2,100.00%,4,100.00%,2026-05-15
1150513,113,3024,憶聲,3,3,100.00%,3,91.67%,2026-05-15
1150513,113,3025,星通,4,4,87.50%,4,93.75%,2026-05-15
1150513,113,3026,禾伸堂,3,3,100.00%,4,95.00%,2026-05-15
1150513,113,3027,盛達,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3028,增你強,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,3029,零壹,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3030,德律,4,4,91.67%,4,100.00%,2026-05-15
1150513,113,3031,佰鴻,4,4,87.50%,4,87.50%,2026-05-15
1150513,113,3032,偉訓,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,3033,威健,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,3034,聯詠,3,2,100.00%,5,100.00%,2026-05-15
1150513,113,3035,智原,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3036,文曄,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,3037,欣興,3,3,83.33%,3,91.67%,2026-05-15
1150513,113,3038,全台,3,2,100.00%,3,91.67%,2026-05-15
1150513,113,3040,遠見,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3041,揚智,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3042,晶技,4,4,100.00%,4,96.43%,2026-05-15
1150513,113,3043,科風,3,2,92.00%,5,95.00%,2026-05-15
1150513,113,3044,健鼎,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3045,台灣大,5,5,100.00%,5,97.14%,2026-05-15
1150513,113,3046,建碁,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,3047,訊舟,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,3048,益登,3,3,100.00%,3,93.33%,2026-05-15
1150513,113,3049,精金,4,4,100.00%,4,95.00%,2026-05-15
1150513,113,3050,鈺德,3,3,83.33%,3,80.00%,2026-05-15
1150513,113,3051,力特,3,3,100.00%,4,96.00%,2026-05-15
1150513,113,3052,夆典,4,3,100.00%,4,100.00%,2026-05-15
1150513,113,3054,立萬利,2,4,100.00%,4,100.00%,2026-05-15
1150513,113,3055,蔚華科,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3056,富華新,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3057,喬鼎,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,3058,立德,3,3,93.33%,4,95.83%,2026-05-15
1150513,113,3059,華晶科,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,3060,銘異,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,3062,建漢,4,4,83.33%,4,91.67%,2026-05-15
1150513,113,3090,日電貿,4,4,100.00%,4,95.83%,2026-05-15
1150513,113,3092,鴻碩,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3094,聯傑,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3130,一零四,3,3,100.00%,3,91.67%,2026-05-15
1150513,113,3138,耀登,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,3149,正達,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,3150,鈺寶-創,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3164,景岳,3,3,100.00%,4,93.75%,2026-05-15
1150513,113,3167,大量,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3168,眾福科,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3189,景碩,3,3,88.89%,3,86.67%,2026-05-15
1150513,113,3209,全科,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3229,晟鈦,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3231,緯創,3,3,100.00%,5,100.00%,2026-05-15
1150513,113,3257,虹冠電,3,3,91.67%,3,93.33%,2026-05-15
1150513,113,3266,昇陽,3,3,100.00%,3,91.67%,2026-05-15
1150513,113,3296,勝德,3,3,88.89%,4,95.00%,2026-05-15
1150513,113,3305,昇貿,4,4,91.67%,4,92.50%,2026-05-15
1150513,113,3308,聯德,3,3,100.00%,3,95.24%,2026-05-15
1150513,113,3311,閎暉,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3312,弘憶股,3,3,100.00%,4,97.37%,2026-05-15
1150513,113,3321,同泰,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3338,泰碩,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3346,麗清,3,2,100.00%,4,100.00%,2026-05-15
1150513,113,3356,奇偶,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3376,新日興,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3380,明泰,4,4,100.00%,5,100.00%,2026-05-15
1150513,113,3406,玉晶光,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3413,京鼎,3,3,100.00%,4,95.00%,2026-05-15
1150513,113,3416,融程電,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3419,譁裕,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3432,台端,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3437,榮創,3,3,100.00%,4,95.00%,2026-05-15
1150513,113,3443,創意,4,4,94.00%,4,92.00%,2026-05-15
1150513,113,3447,展達,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3450,聯鈞,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3481,群創,3,3,88.89%,2,95.00%,2026-05-15
1150513,113,3494,誠研,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,3501,維熹,3,3,100.00%,4,95.00%,2026-05-15
1150513,113,3504,揚明光,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3515,華擎,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3518,柏騰,3,3,88.89%,4,95.45%,2026-05-15
1150513,113,3528,安馳,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,3530,晶相光,4,4,87.50%,4,87.50%,2026-05-15
1150513,113,3532,台勝科,3,3,75.00%,3,100.00%,2026-05-15
1150513,113,3533,嘉澤,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3535,晶彩科,4,4,75.00%,4,88.00%,2026-05-15
1150513,113,3543,州巧,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,3545,敦泰,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,3550,聯穎,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3557,嘉威,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3563,牧德,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,3576,聯合再生,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,3583,辛耘,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,3588,通嘉,4,4,100.00%,4,97.00%,2026-05-15
1150513,113,3591,艾笛森,4,4,100.00%,4,95.83%,2026-05-15
1150513,113,3592,瑞鼎,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,3593,力銘,3,3,100.00%,4,95.83%,2026-05-15
1150513,113,3596,智易,3,3,83.33%,3,83.33%,2026-05-15
1150513,113,3605,宏致,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,3607,谷崧,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3617,碩天,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3622,洋華,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3645,達邁,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3652,精聯,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,3653,健策,3,3,91.67%,3,94.44%,2026-05-15
1150513,113,3661,世芯-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3665,貿聯-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3669,圓展,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,3673,TPK-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3679,新至陞,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3686,達能,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,3694,海華,3,3,88.89%,3,86.67%,2026-05-15
1150513,113,3701,大眾控,3,3,100.00%,3,82.14%,2026-05-15
1150513,113,3702,大聯大,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,3703,欣陸,3,3,94.44%,3,93.33%,2026-05-15
1150513,113,3704,合勤控,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,3705,永信,3,3,93.33%,3,93.33%,2026-05-15
1150513,113,3706,神達,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3708,上緯投控,4,4,95.00%,4,94.00%,2026-05-15
1150513,113,3711,日月光投控,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,3712,永崴投控,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3714,富采,3,3,100.00%,5,94.28%,2026-05-15
1150513,113,3715,定穎投控,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,3716,中化控股,3,3,100.00%,4,87.50%,2026-05-15
1150513,113,4104,佳醫,3,3,100.00%,3,86.67%,2026-05-15
1150513,113,4106,雃博,3,3,100.00%,5,100.00%,2026-05-15
1150513,113,4108,懷特,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,4119,旭富,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4133,亞諾法,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4137,麗豐-KY,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,4142,國光生,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,4148,全宇生技-KY,3,3,100.00%,4,91.66%,2026-05-15
1150513,113,4155,訊映,4,4,87.50%,4,82.00%,2026-05-15
1150513,113,4164,承業醫,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4190,佐登-KY,4,4,100.00%,4,96.43%,2026-05-15
1150513,113,4306,炎洲,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4414,如興,3,3,100.00%,3,97.92%,2026-05-15
1150513,113,4426,利勤,3,3,86.00%,4,83.00%,2026-05-15
1150513,113,4438,廣越,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4439,冠星-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4440,宜新實業,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,4526,東台,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,4532,瑞智,3,3,83.33%,3,100.00%,2026-05-15
1150513,113,4536,拓凱,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,4540,全球傳動,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4545,銘鈺,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4551,智伸科,4,4,87.50%,4,93.75%,2026-05-15
1150513,113,4552,力達-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4555,氣立,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,4557,永新-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4560,強信-KY,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,4562,穎漢,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,4564,元翎,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,4566,時碩工業,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,4569,六方科-KY,3,3,100.00%,3,95.24%,2026-05-15
1150513,113,4571,鈞興-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4572,駐龍,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4576,大銀微系統,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4581,光隆精密-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4583,台灣精銳,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4588,玖鼎電力,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,4720,德淵,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,4722,國精化,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4736,泰博,3,3,100.00%,4,93.75%,2026-05-15
1150513,113,4737,華廣,4,4,100.00%,4,95.00%,2026-05-15
1150513,113,4739,康普,3,3,88.89%,4,95.00%,2026-05-15
1150513,113,4746,台耀,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,4755,三福化,3,3,100.00%,3,3.00%,2026-05-15
1150513,113,4763,材料-KY,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,4764,雙鍵,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4766,南寶,3,3,100.00%,3,94.44%,2026-05-15
1150513,113,4770,上品,3,3,88.89%,4,95.84%,2026-05-15
1150513,113,4771,望隼,4,4,90.91%,4,95.24%,2026-05-15
1150513,113,4807,日成-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4904,遠傳,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,4906,正文,5,3,100.00%,3,100.00%,2026-05-15
1150513,113,4912,聯德控股-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4915,致伸,3,3,100.00%,5,100.00%,2026-05-15
1150513,113,4916,事欣科,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4919,新唐,4,4,91.67%,4,91.67%,2026-05-15
1150513,113,4927,泰鼎-KY,3,2,100.00%,4,100.00%,2026-05-15
1150513,113,4930,燦星網,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4934,太極,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4935,茂林-KY,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,4938,和碩,3,3,80.00%,3,83.33%,2026-05-15
1150513,113,4942,嘉彰,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,4943,康控-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4949,有成精密,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,4952,凌通,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4956,光鋐,4,4,85.71%,4,93.75%,2026-05-15
1150513,113,4958,臻鼎-KY,3,2,100.00%,4,100.00%,2026-05-15
1150513,113,4960,誠美材,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4961,天鈺,3,3,100.00%,5,100.00%,2026-05-15
1150513,113,4967,十銓,3,3,100.00%,5,100.00%,2026-05-15
1150513,113,4968,立積,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,4976,佳凌,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4977,眾達-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,4989,榮科,3,3,100.00%,3,95.24%,2026-05-15
1150513,113,4994,傳奇,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,4999,鑫禾,4,4,75.00%,4,75.00%,2026-05-15
1150513,113,5007,三星,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5203,訊連,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5215,科嘉-KY,4,4,75.00%,4,85.71%,2026-05-15
1150513,113,5222,全訊,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,5225,東科-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5234,達興材料,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,5243,乙盛-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5244,弘凱,4,4,83.33%,4,87.50%,2026-05-15
1150513,113,5258,虹堡,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5269,祥碩,3,3,91.67%,4,96.15%,2026-05-15
1150513,113,5283,禾聯碩,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5284,jpp-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5285,界霖,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5288,豐祥-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5292,華懋,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5306,桂盟,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5388,中磊,4,3,100.00%,4,87.50%,2026-05-15
1150513,113,5434,崇越,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5469,瀚宇博,3,2,93.30%,4,100.00%,2026-05-15
1150513,113,5471,松翰,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5484,慧友,3,3,100.00%,3,77.78%,2026-05-15
1150513,113,5515,建國,3,3,91.70%,3,94.40%,2026-05-15
1150513,113,5519,隆大,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5521,工信,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5522,遠雄,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5525,順天,3,3,100.00%,3,86.67%,2026-05-15
1150513,113,5531,鄉林,3,3,100.00%,3,95.23%,2026-05-15
1150513,113,5533,皇鼎,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,5534,長虹,4,4,100.00%,4,92.75%,2026-05-15
1150513,113,5538,東明-KY,2,4,75.00%,4,81.25%,2026-05-15
1150513,113,5546,永固-KY,3,3,88.89%,3,96.30%,2026-05-15
1150513,113,5607,遠雄港,3,3,91.66%,3,96.29%,2026-05-15
1150513,113,5608,四維航,3,2,83.33%,4,96.88%,2026-05-15
1150513,113,5706,鳳凰,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5871,中租-KY,3,3,100.00%,4,98.00%,2026-05-15
1150513,113,5876,上海商銀,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,5880,合庫金,5,5,100.00%,5,98.46%,2026-05-15
1150513,113,5906,台南-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,5907,大洋-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,6005,群益證,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,6024,群益期,3,3,96.30%,3,100.00%,2026-05-15
1150513,113,6108,競國,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,6112,邁達特,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,6115,鎰勝,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,6116,彩晶,3,3,100.00%,4,97.50%,2026-05-15
1150513,113,6117,迎廣,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,6120,達運,3,2,100.00%,2,100.00%,2026-05-15
1150513,113,6128,上福,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,6133,金橋,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,6136,富爾特,3,3,100.00%,3,93.33%,2026-05-15
1150513,113,6139,亞翔,3,3,100.00%,3,94.44%,2026-05-15
1150513,113,6141,柏承,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,6142,友勁,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,6152,百一,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,6153,嘉聯益,3,3,93.33%,3,88.89%,2026-05-15
1150513,113,6155,鈞寶,3,3,100.00%,3,91.67%,2026-05-15
1150513,113,6164,華興,3,3,67.00%,4,79.00%,2026-05-15
1150513,113,6165,浪凡,3,3,100.00%,4,92.00%,2026-05-15
1150513,113,6166,凌華,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,6168,宏齊,4,4,84.62%,4,88.24%,2026-05-15
1150513,113,6176,瑞儀,5,5,95.45%,5,95.24%,2026-05-15
1150513,113,6177,達麗,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,6183,關貿,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,6184,大豐電,3,3,88.89%,3,91.67%,2026-05-15
1150513,113,6189,豐藝,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,6191,精成科,3,2,100.00%,4,100.00%,2026-05-15
1150513,113,6192,巨路,3,3,100.00%,4,82.14%,2026-05-15
1150513,113,6196,帆宣,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,6197,佳必琪,3,2,100.00%,4,91.67%,2026-05-15
1150513,113,6201,亞弘電,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,6202,盛群,3,3,92.00%,3,100.00%,2026-05-15
1150513,113,6205,詮欣,4,4,100.00%,4,93.00%,2026-05-15
1150513,113,6206,飛捷,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,6209,今國光,3,3,100.00%,4,95.00%,2026-05-15
1150513,113,6213,聯茂,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,6214,精誠,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,6215,和椿,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,6216,居易,3,3,93.00%,3,86.00%,2026-05-15
1150513,113,6224,聚鼎,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,6225,天瀚,3,3,83.33%,3,83.33%,2026-05-15
1150513,113,6226,光鼎,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,6230,尼得科超眾,4,4,100.00%,4,100.00%,2026-05-15
