出表日期,產業類別,公司代號,公司名稱,董事酬金-前年支付,董事酬金-今年支付,董事酬金-合計,董事酬金加計兼任員工酬金-前年支付,董事酬金加計兼任員工酬金-今年支付,加計兼任員工酬金-合計,酬金總額占稅後損益百分比(%)-董事酬金,酬金總額占稅後損益百分比(%)-加計兼任員工酬金,平均每位董事酬金-董事酬金,平均每位董事酬金-加計兼任員工酬金,領取來自子公司以外轉投資事業或母公司酬金,稅後純益,每股盈餘,股東權益報酬率(%),實收資本額(仟元),稅後損益與董監酬金變動之關聯性與合理性說明,date
1150415,玻璃陶瓷,1802,台玻,9951099,0,9951099,37725904,0,37725904,-1.6857,-6.3907,663407,2515060,0,-590329,-0.20,-1.39,29080608.000000,"本公司董事長、董事、獨立董事及總經理之報酬，依對公司營運參與度，執行貢獻度，授權董事會議定之。
獎金之發放，視公司整體營運績效及個人績效評等，作為給付之參考。",2026-05-18
1150415,玻璃陶瓷,1806,冠軍,4250000,2003920,6253920,9965702,2159390,12125092,+5.5733,+10.8054,893417,1732156,0,+112213,0.29,2.07,3904039.000000,"1.本公司給付董事之各項酬勞政策及標準，悉依本公司章程及經營績效並參酌同業通常之水準訂定。
2.其董監酬勞係以章程及未扣除稅前獲利提撥1%，且與獲利相關提撥比例與一般通常水準約當。",2026-05-18
1150415,玻璃陶瓷,1809,中釉,622980,1187761,1810741,15363586,1504615,16868201,+5.6395,+52.5358,215052,2003349,0,+32108,0.19,0.72,1670419.000000,董事酬勞依據公司章程規定如有獲利提撥不高於3%為董事酬勞。本公司另訂有「董事及監察人薪資報酬辦法」，給付獨立董事及監察人訂定最低定額薪資，董事所支領之酬金多屬兼任員工之報酬主要為固定報酬，依據本公司核薪辦法，給予合理報酬，相關薪酬合理性亦經薪酬委員會審核。,2026-05-18
1150415,玻璃陶瓷,1810,和成,887908,1206608,2094516,7362508,1206608,8569116,+14.6429,+59.9071,299217,1224159,0,+14304,0.05,0.25,3023037.000000,"(1)董事酬勞依本公司章程第21條規定:公司年度決算如有獲利，應分別提撥員工及董事、監察人酬勞，董事監察人酬勞提撥比率為年度獲利3%為上限。
(2)本公司114年度獲利新臺幣40,220,269元，經第6屆115年度第2次薪資報酬委員會建議，依章程規定提列員工酬勞(含經理人)計新台幣2,413,216元及董事酬勞計新台幣1,206,608元，均以現金方式發放。
(3)兼任員工領取相關酬金113年6,520,500元；114年6,474,600元，尚稱合理。
(4)3位獨立董事114年業務執行費用為887,908元。
(5)3位獨立董事依本公司獨立董事之職責範疇規則，不參與分配董事酬勞。",2026-05-18
1150415,玻璃陶瓷,1817,凱撒衛,5980049,7182621,13162670,6785150,7182621,13967771,+5.0199,+5.3269,1518186,1611046,0,+262210,3.61,11.95,726000.000000,"1.本公司設置薪資報酬委員會，定期評估本公司董事之績效目標達成情形，並依據績效評估標準所得之評估結果，訂定其個別薪資報酬之內容及數額。
2.本公司董事報酬，依其對公司營運參與程度及貢獻價值，同時參酌同業水準議定之。如公司有本期稅前淨利時，另依本公司章程規定分配酬勞。
3.114年度董事酬金總額占稅後純益之比例為5.3269%，與113年度4.7739%差異不大，尚屬合理。",2026-05-18
1150415,造紙工業,1903,士紙,713600,0,713600,713600,0,713600,+0.2125,+0.2125,106987,106987,0,+335741,1.29,6.22,2600391.000000,本公司董事酬金係為固定之業務執行費用，與稅後損益無關聯性。,2026-05-18
1150415,造紙工業,1904,正隆,16560000,0,16560000,46396797,225125,46621922,+2.0121,+5.6648,1840000,5180214,4181245,+823018,0.74,2.64,11082745.000000,"依本公司章程規定，董事之報酬係授權董事會依董事對本公司營運
&#63851;與程度及貢獻價值並&#63851;酌同業水準核發固定之報酬，並未有依公
司獲利狀況而支付予董事之變動酬勞。",2026-05-18
1150415,造紙工業,1905,華紙,4766000,0,4766000,30574000,0,30574000,-0.7780,-4.9912,680857,4367714,24042000,-612558,-0.56,-3.42,11028353.000000,本公司董事酬金依2025年6月17日股東會通過之公司章程辦理，依當年度獲利(即稅前利益扣除分派員工及董事酬勞前之利益)扣除累積虧損後提撥百分之一以上為員工酬勞(本項員工酬勞數額不低於百分之十應為基層員工分配酬勞)，百分之二以下為董事酬勞，因2025年度為虧損，2026年3月13日董事會決議不發放董事酬勞，故不估列董事酬勞。,2026-05-18
1150415,造紙工業,1906,寶隆,2650000,0,2650000,2650000,0,2650000,+208.0063,+208.0063,467372,467372,0,+1274,0.01,0.04,1510000.000000,按公司章程規定，並參考前一年度營運績效支付。,2026-05-18
1150415,造紙工業,1907,永豐餘,552000,18000000,18552000,38811369,18036942,56848311,+0.9399,+2.8801,2650286,8121187,305600,+1973839,1.19,2.48,16603715.000000,"1.本公司董事酬勞除依公司章程規定發放外，亦視整體經營環境、參考業界水準，在整體營運正常並仍維持適當盈餘之狀況下，酬金分派經提案議定之。
2.本公司經營數字較去年成長，惟董事平均席次較去年略減，董事酬勞金額符合公司章程所訂獲利提撥百分之二以下之規定，屬於合理。",2026-05-18
