出表日期,報告年度,公司代號,公司名稱,有害廢棄物量-數據(公噸) ,有害廢棄物量-資料範圍,非有害廢棄物量-數據(公噸),非有害廢棄物量-資料範圍,總重量(有害+非有害)-數據(公噸),總重量(有害+非有害)-資料範圍,廢棄物密集度-密集度(公噸/單位) ,廢棄物密集度-單位,取得驗證,date
1150513,113,1233,天仁,0.0000,包含製茶總廠、業務中心、總公司、商場門市與非商場門市等。,1229.6000,包含製茶總廠、業務中心、總公司、商場門市與非商場門市等。,1229.6000,包含製茶總廠、業務中心、總公司、商場門市與非商場門市等。,0.5660,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1234,黑松,1.0000,中壢廠、斗六廠,3040.0000,中壢廠、斗六廠,3041.0000,中壢廠、斗六廠,0.0142,公噸/產品,N/A,2026-05-15
1150513,113,1235,興泰,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1236,宏亞,0.0000,桃園工廠,450.7100,桃園工廠,450.7100,桃園工廠,0.2270,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1256,鮮活果汁-KY,1.9773,鮮活控股股份有限公司旗下主要營運所在地之蘇州鮮活飲品股份有限公司。,714.9000,鮮活控股股份有限公司旗下主要營運所在地之蘇州鮮活飲品股份有限公司。,716.8773,鮮活控股股份有限公司旗下主要營運所在地之蘇州鮮活飲品股份有限公司。,0.2140,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1301,台塑,1932.0000,母公司,189603.0000,母公司,191535.0000,母公司,1.3100,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1303,南亞,15727.4500,南亞母公司+台灣子公司,92719.1600,南亞母公司+台灣子公司,108446.6100,南亞母公司+台灣子公司,0.7332,公噸/百萬元營業額,ISO 14001,2026-05-15
1150513,113,1304,台聚,78.2200,台聚高雄廠,450.2400,台聚高雄廠,528.4600,台聚高雄廠,0.0028,公噸/產品,ISO 14001,2026-05-15
1150513,113,1305,華夏,170.6044,華夏頭份總廠、台氯林園廠、華聚林園廠,4966.1260,華夏頭份總廠、台氯林園廠、華聚林園廠,5136.7304,華夏頭份總廠、台氯林園廠、華聚林園廠,0.0071,公噸/產品,ISO 14001,2026-05-15
1150513,113,1307,三芳,230.0000,母公司高雄廠,1638.0000,母公司高雄廠,1868.0000,母公司高雄廠,3.0420,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1308,亞聚,4.6000,林園廠,321.9800,林園廠,326.5800,林園廠,0.0025,公噸/產品,ISO 14001,2026-05-15
1150513,113,1309,台達化,0.0000,林園廠/前鎮廠/頭份廠/中山廠,4696.5000,林園廠/前鎮廠/頭份廠/中山廠,4696.5000,林園廠/前鎮廠/頭份廠/中山廠,0.0440,公噸/產品,ISO 14001,2026-05-15
1150513,113,1310,台苯,0.0000,台苯高雄廠(高雄市林園區工業一路7號),8404.2490,台苯高雄廠(高雄市林園區工業一路7號),8404.2490,台苯高雄廠(高雄市林園區工業一路7號),0.0287,公噸/產品,ISO 14001,2026-05-15
1150513,113,1312,國喬,0.0000,僅國喬石油化學(股)公司高雄廠,24889.0800,僅國喬石油化學(股)公司高雄廠,24889.0800,僅國喬石油化學(股)公司高雄廠,1.9116,公噸/百萬元營業額,ISO 14001,2026-05-15
1150513,113,1313,聯成,423.3200,林園廠、臨海廠,3390.0200,林園廠、臨海廠,3813.3400,林園廠、臨海廠,0.0332,公噸/產品,N/A,2026-05-15
1150513,113,1314,中石化,27410.0000,主要生產廠及台北總公司,18833.3050,主要生產廠及台北總公司,46243.3050,主要生產廠及台北總公司,1.5706,公噸/百萬元營業額,ISO 14001,2026-05-15
1150513,113,1315,達新,0.0200,母子公司,71.4700,母子公司,71.4900,母子公司,N/A,N/A,N/A,2026-05-15
1150513,113,1316,上曜,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1319,東陽,197.0000,台灣營運地區（台南總部、桃園觀音廠、台北辦事處）,2771.0000,台灣營運地區（台南總部、桃園觀音廠、台北辦事處）,2968.0000,台灣營運地區（台南總部、桃園觀音廠、台北辦事處）,0.1497,公噸/百萬元營業額,"ISO 9001,ISO 14001",2026-05-15
1150513,113,1321,大洋,23.4400,母公司,639.5900,母公司,663.0300,母公司,0.0050,公噸/產品,N/A,2026-05-15
1150513,113,1323,永裕,3.2900,已完成母公司,30.0800,已完成母公司,33.3700,已完成母公司,0.0222,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1324,地球,167.6600,總公司（含台中營業所及高雄營業所)、幼獅一廠及幼獅二廠,44.2300,總公司（含台中營業所及高雄營業所)、幼獅一廠及幼獅二廠,211.8900,總公司（含台中營業所及高雄營業所)、幼獅一廠及幼獅二廠,0.2665,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1325,恆大,0.0000,全公司,32.0420,全公司,32.0420,全公司,N/A,N/A,N/A,2026-05-15
1150513,113,1326,台化,23.0000,2024年母公司及台醋公司之台灣廠區,2510.0000,2024年母公司及台醋公司之台灣廠區,2533.0000,2024年母公司及台醋公司之台灣廠區,N/A,N/A,N/A,2026-05-15
1150513,113,1337,再生-KY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1338,廣華-KY,260.8670,東莞廣澤汽車飾件有限公司,1022.9700,東莞廣澤汽車飾件有限公司,1283.8370,東莞廣澤汽車飾件有限公司,1.8300,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1339,昭輝,89.7100,僅母公司,1.0800,僅母公司,90.7900,僅母公司,0.0594,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1340,勝悅-KY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1341,富林-KY,644.3470,越南子公司,6546.3570,越南子公司,7190.7040,越南子公司,2.5782,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1342,八貫,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1402,遠東新,2458.0000,本公司生產事業主要據點,100776.0000,本公司生產事業主要據點,103234.0000,本公司生產事業主要據點,0.0152,公噸/產品,"ISO 9001,ISO 14001",2026-05-15
1150513,113,1409,新纖,1.1254,新光合成纖維股份有限公司,10178.7300,新光合成纖維股份有限公司,10179.8554,新光合成纖維股份有限公司,N/A,N/A,N/A,2026-05-15
1150513,113,1410,南染,10.0000,全廠區,10.0000,全廠區,20.0000,全廠區,0.0781,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1413,宏洲,125.5500,宏洲纖維工業股份有限公司桃園廠,22.6000,宏洲纖維工業股份有限公司桃園廠,148.1500,宏洲纖維工業股份有限公司桃園廠,0.0642,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1414,東和,0.0000,麻豆工廠,517.7900,麻豆工廠,517.7900,麻豆工廠,0.9884,公噸/百萬元營業額,ISO 9001,2026-05-15
1150513,113,1416,廣豐,0.0000,廣豐實業宗公司與各子公司,33.3769,廣豐實業宗公司與各子公司,33.3769,廣豐實業宗公司與各子公司,0.1001,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1417,嘉裕,0.0000,台北總公司及桃園中壢廠，不包含營業門市。,149.0260,台北總公司及桃園中壢廠，不包含營業門市。,149.0260,台北總公司及桃園中壢廠，不包含營業門市。,0.3364,公噸/百萬元營業額,N/A,2026-05-15
