出表日期,發言日期,發言時間,公司代號,公司名稱,主旨 ,符合條款,事實發生日,說明,date
1150515,1150514,133701,3023,信邦,"代本公司之重要子公司江陰信邦電子有限公司公告董事
會決議發放現金股利",第14款,1150514,"1.董事會決議日期:115/05/14
2.發放股利種類及金額:現金股利人民幣80,000,000元
3.其他應敘明事項:無",2026-05-15
1150515,1150514,133712,2540,愛山林,公告本公司董事會決議股利分派,第14款,1150514,"1. 董事會決議日期：115/05/14
2. 股利所屬年(季)度：114年 年度
3. 股利所屬期間：114/01/01 至 114/12/31
4. 股東配發內容：
　(1)盈餘分配之現金股利(元/股)：0.62000000
　(2)法定盈餘公積發放之現金(元/股)：0
　(3)資本公積發放之現金(元/股)：5.38000000
　(4)股東配發之現金(股利)總金額(元)：5,669,243,790
　(5)盈餘轉增資配股(元/股)：0
　(6)法定盈餘公積轉增資配股(元/股)：0
　(7)資本公積轉增資配股(元/股)：0
　(8)股東配股總股數(股)：0
5. 其他應敘明事項：
無
6. 普通股每股面額欄位：新台幣10.0000元",2026-05-15
1150515,1150514,133717,3023,信邦,"代本公司之重要子公司香港信邦電子有限公司公告董事
會決議發放現金股利",第14款,1150514,"1.董事會決議日期:115/05/14
2.發放股利種類及金額:現金股利港幣102,000,000元
3.其他應敘明事項:無",2026-05-15
1150515,1150514,133735,3023,信邦,"代本公司之重要子公司北京同安新能源科技股份有限公
司公告全面改選董監事",第6款,1150514,"1.發生變動日期:115/05/14
2.選任或變動人員別（請輸入法人董事、法人監察人、獨立董事、自然人董事
  或自然人監察人）:法人董事、法人監察人、自然人監察人
3.舊任者職稱及姓名:
董事:王紹新 信邦電子股份有限公司代表人
董事:梁偉銘 信邦電子股份有限公司代表人
董事:王俊鏘 信邦電子股份有限公司代表人
董事:黃文森 信邦電子股份有限公司代表人
董事:金晶   信邦電子股份有限公司代表人
監事:張集州 信邦電子股份有限公司代表人
監事:黃立理 信邦電子股份有限公司代表人
監事:崔勇
4.舊任者簡歷:
董事:王紹新 信邦電子股份有限公司董事長
董事:梁偉銘 信邦電子股份有限公司副董事長
董事:王俊鏘 信邦電子股份有限公司執行副總
董事:黃文森 信邦電子股份有限公司執行副總
董事:金晶   北京同安新能源科技股份有限公司處長
監事:張集州 信邦電子股份有限公司財務長
監事:黃立理 信邦電子股份有限公司處長
監事:崔勇   北京同安新能源科技股份有限公司資深協理
5.新任者職稱及姓名:
董事:王紹新 信邦電子股份有限公司代表人
董事:梁偉銘 信邦電子股份有限公司代表人
董事:王俊鏘 信邦電子股份有限公司代表人
董事:黃文森 信邦電子股份有限公司代表人
董事:金晶   信邦電子股份有限公司代表人
監事:張集州 信邦電子股份有限公司代表人
監事:黃立理 信邦電子股份有限公司代表人
監事:崔勇
6.新任者簡歷:
董事:王紹新 信邦電子股份有限公司董事長
董事:梁偉銘 信邦電子股份有限公司副董事長
董事:王俊鏘 信邦電子股份有限公司執行副總
董事:黃文森 信邦電子股份有限公司執行副總
董事:金晶   北京同安新能源科技股份有限公司處長
監事:張集州 信邦電子股份有限公司財務長
監事:黃立理 信邦電子股份有限公司處長
監事:崔勇   北京同安新能源科技股份有限公司資深協理
7.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）:
任期屆滿
8.異動原因:任期屆滿
9.新任者選任時持股數:不適用
10.原任期（例xx/xx/xx ~ xx/xx/xx）:112/08/04~115/08/03
11.新任生效日期:115/08/04
12.同任期董事變動比率:任期屆滿全面改選，故不適用
13.同任期獨立董事變動比率:不適用
14.同任期監察人變動比率:不適用
15.屬三分之一以上董事發生變動（請輸入是或否）:否
16.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時
   符合證券交易法施行細則第7條第6款所定對股東權益或證券價格有重大影響之事項):
無",2026-05-15
1150515,1150514,133941,1717,長興,公告本公司115年第1季合併財務報告業經董事會決議通過,第31款,1150514,"1.提報董事會或經董事會決議日期:115/05/14
2.審計委員會通過日期:115/05/13
3.財務報告或年度自結財務資訊報導期間
起訖日期(XXX/XX/XX~XXX/XX/XX):115/01/01~115/03/31
4.1月1日累計至本期止營業收入(仟元):10,243,036
5.1月1日累計至本期止營業毛利(毛損) (仟元):2,269,956
6.1月1日累計至本期止營業利益(損失) (仟元):534,996
7.1月1日累計至本期止稅前淨利(淨損) (仟元):622,227
8.1月1日累計至本期止本期淨利(淨損) (仟元):429,777
9.1月1日累計至本期止歸屬於母公司業主淨利(損) (仟元):428,283
10.1月1日累計至本期止基本每股盈餘(損失) (元):0.37
11.期末總資產(仟元):62,816,878
12.期末總負債(仟元):32,795,852
13.期末歸屬於母公司業主之權益(仟元):28,806,540
14.其他應敘明事項:無",2026-05-15
1150515,1150514,134005,1717,長興,公告本公司重要營運主管委任案,第8款,1150514,"1.人員變動別（請輸入發言人、代理發言人、重要營運主管(如:執行長、營運長、
行銷長及策略長等)、財務主管、會計主管、公司治理主管、資訊安全長、研發主管、
內部稽核主管或訴訟及非訟代理人）:財務長
2.發生變動日期:115/05/14
3.舊任者姓名、級職及簡歷:不適用
4.新任者姓名、級職及簡歷:劉秉誠(本公司財務主管暨公司治理主管)
5.異動情形（請輸入「辭職」、「職務調整」、「資遣」、「退休」、「死亡」、「新
任」或「解任」）:新任
6.異動原因:業務需要
7.生效日期:115/06/01
8.其他應敘明事項:無",2026-05-15
1150515,1150514,134028,1717,長興,代子公司長興特殊材料(珠海)有限公司公告新增廠房及產線,第20款,1150514,"1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:
廠房及產線
2.事實發生日:115/5/14~115/5/14
3.董事會通過日期: 民國115年5月14日
4.其他核決日期: 不適用
5.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:
交易數量：廠房(包含倉庫、土木、消防、機電等工程)、產線八條
交易金額：人民幣25,983萬元
6.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關
係人者，得免揭露其姓名）:
不適用
7.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之
所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期
及移轉金額:
不適用
8.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係
人之取得及處分日期、價格及交易當時與公司之關係:
不適用
9.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明
認列情形）:
不適用
10.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
交付或付款條件：依合約內容規定
11.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及
決策單位:
(1)本次交易之決定方式：議價   
(2)價格決定之參考依據: 參考市場行情
(3)決策單位：董事會
12.專業估價者事務所或公司名稱及其估價金額:
不適用
13.專業估價師姓名:
不適用
14.專業估價師開業證書字號:
不適用
15.估價報告是否為限定價格、特定價格或特殊價格:否或不適用
16.是否尚未取得估價報告:否或不適用
17.尚未取得估價報告之原因:
不適用
18.估價結果有重大差異時，其差異原因及會計師意見:
不適用
19.會計師事務所名稱:
不適用
20.會計師姓名:
不適用
21.會計師開業證書字號:
不適用
22.經紀人及經紀費用:
不適用
23.取得或處分之具體目的或用途:
擴充生產產能
24.本次交易表示異議之董事之意見:
無
25.本次交易為關係人交易:否
26.監察人承認或審計委員會同意日期:
1.民國 115 年 05 月 13 日
27.本次交易係向關係人取得不動產或其使用權資產:否
28.依「公開發行公司取得或處分資產處理準則」第十六條規定
評估之價格:不適用
29.依前項評估之價格較交易價格為低者，依同準則第十七條規
定評估之價格:不適用
30.前已就同一件事件發布重大訊息日期: 不適用
31.其他敘明事項:
CNY/TWD匯率4.60005",2026-05-15
1150515,1150514,134116,2884,玉山金,"玉山金控補充公告114年12月12日所發布重大訊息：
發行一一五年度第一期無擔保普通公司債，
發行金額新臺幣肆拾陸億元整。",第11款,1150514,"1.董事會決議日期:NA
2.名稱﹝XX公司第X次（有、無）擔保公司債﹞:玉山金融控股股份有限公司
一一五年度第一期無擔保普通公司債。
3.是否採總括申報發行公司債(是/否):是。
4.發行總額:發行總額為新臺幣肆拾陸億元整。
5.每張面額:新臺幣壹佰萬元整。
6.發行價格:依面額十足發行。
7.發行期間:五年期，民國115年5月22日發行，民國120年5月22日到期。
8.發行利率:固定年利率1.85%。
9.擔保品之種類、名稱、金額及約定事項:不適用。
10.募得價款之用途及運用計畫:償還到期債務。
11.承銷方式:委託證券承銷商對外公開承銷。
12.公司債受託人:華南商業銀行股份有限公司信託部。
13.承銷或代銷機構:玉山商業銀行股份有限公司為主辦承銷商。
14.發行保證人:無。
15.代理還本付息機構:玉山銀行營業部。
16.簽證機構:不適用。
17.能轉換股份者，其轉換辦法:不適用。
18.賣回條件:不適用。
19.買回條件:不適用。
20.附有轉換、交換或認股者，其換股基準日:不適用。
21.附有轉換、交換或認股者，對股權可能稀釋情形:不適用。
22.其他應敘明事項:無。",2026-05-15
1150515,1150514,134310,1711,永光,公告本公司董事會通過115年第一季合併財務報告,第31款,1150514,"1.提報董事會或經董事會決議日期:115/05/14
2.審計委員會通過日期:115/05/11
3.財務報告或年度自結財務資訊報導期間
起訖日期(XXX/XX/XX~XXX/XX/XX):115/01/01～115/03/31
4.1月1日累計至本期止營業收入(仟元):2,045,450
5.1月1日累計至本期止營業毛利(毛損) (仟元):440,105
6.1月1日累計至本期止營業利益(損失) (仟元):37,488
7.1月1日累計至本期止稅前淨利(淨損) (仟元):63,575
8.1月1日累計至本期止本期淨利(淨損) (仟元):49,650
9.1月1日累計至本期止歸屬於母公司業主淨利(損) (仟元):50,555
10.1月1日累計至本期止基本每股盈餘(損失) (元):0.09
11.期末總資產(仟元):12,978,202
12.期末總負債(仟元):4,469,031
13.期末歸屬於母公司業主之權益(仟元):8,250,860
14.其他應敘明事項:無",2026-05-15
1150515,1150514,134433,1711,永光,"公告本公司董事會決議:派公司經理人出任子公司土耳其Elite
公司董事，同時解除經理人競業禁止",第21款,1150514,"1.董事會決議日:115/05/14
2.許可從事競業行為之經理人姓名及職稱:梁仁陽副總經理
3.許可從事競業行為之項目:與本公司營業項目相同之土耳其Elite公司之營業範圍
4.許可從事競業行為之期間:代表本公司出任土耳其Elite公司董事期間
5.決議情形（請依公司法第32條說明表決結果）:經主席徵詢全體出席董事同意通過。
6.所許可之競業行為如屬大陸地區事業之營業者，經理人姓名及職稱
（非屬大陸地區事業之營業者，以下請輸〝不適用〞）:不適用
7.所擔任該大陸地區事業之公司名稱及職務:不適用
8.所擔任該大陸地區事業地址:不適用
9.所擔任該大陸地區事業營業項目:不適用
10.對本公司財務業務之影響程度:該子公司係本公司持股75%之公司，採權益法認列其損
益。
11.經理人如有對該大陸地區事業從事投資者，其投資金額及持股比例:不適用
12.其他應敘明事項:出任土耳其Elite公司董事生效日期為115年6月1日。",2026-05-15
