出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘(元),普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利,date
1150515,115,1,1342,八貫企業股份有限公司,其他,2.08,新台幣                 10.0000元,917285.00,186743.00,16045.00,162191.00,2026-05-15
1150515,115,1,1409,新光合成纖維股份有限公司,紡織纖維,0.39,新台幣                 10.0000元,10013245.00,--,--,888313.00,2026-05-15
1150515,115,1,1410,南洋染整股份有限公司,紡織纖維,0.03,新台幣                 10.0000元,49535.00,-1046.00,3414.00,402.00,2026-05-15
1150515,115,1,1413,宏洲纖維工業股份有限公司,紡織纖維,-0.13,新台幣                 10.0000元,437912.00,-14752.00,-2219.00,-16971.00,2026-05-15
1150515,115,1,1414,東和紡織股份有限公司,紡織纖維,0.06,新台幣                 10.0000元,113452.00,-7033.00,18410.00,10995.00,2026-05-15
1150515,115,1,1416,廣豐實業股份有限公司,其他,0.18,新台幣                 10.0000元,106290.00,-1172.00,47435.00,36211.00,2026-05-15
1150515,115,1,1417,嘉裕股份有限公司,紡織纖維,-0.22,新台幣                 10.0000元,73795.00,-1988.00,-40330.00,-42318.00,2026-05-15
1150515,115,1,1418,東華龍股份有限公司,紡織纖維,-0.75,新台幣                 10.0000元,648.00,-22772.00,-18128.00,-40900.00,2026-05-15
1150515,115,1,1423,利華羊毛工業股份有限公司,紡織纖維,0.15,新台幣                 10.0000元,31233.00,-631.00,18153.00,15353.00,2026-05-15
1150515,115,1,1432,大魯閣實業股份有限公司,運動休閒,-0.54,新台幣                 10.0000元,198079.00,-52748.00,-9880.00,-62628.00,2026-05-15
1150515,115,1,1434,福懋興業股份有限公司,紡織纖維,0.20,新台幣                 10.0000元,6979321.00,198663.00,187492.00,336603.00,2026-05-15
1150515,115,1,1436,華友聯開發股份有限公司,建材營造,-0.31,新台幣                 10.0000元,72625.00,-11695.00,-55918.00,-60674.00,2026-05-15
1150515,115,1,1437,勤益投資控股股份有限公司,其他,0.68,新台幣                 10.0000元,173801.00,81756.00,82365.00,138276.00,2026-05-15
1150515,115,1,1438,三地開發地產股份有限公司,建材營造,0.65,新台幣                 10.0000元,377477.00,122347.00,-35023.00,71826.00,2026-05-15
1150515,115,1,1439,雋揚國際股份有限公司,建材營造,0.59,新台幣                 10.0000元,75912.00,4904.00,54832.00,58106.00,2026-05-15
1150515,115,1,1440,臺南紡織股份有限公司,紡織纖維,-0.05,新台幣                 10.0000元,3372657.00,-129416.00,64641.00,-73553.00,2026-05-15
1150515,115,1,1441,大東紡織股份有限公司,紡織纖維,-0.62,新台幣                 10.0000元,289127.00,-32285.00,-12492.00,-44777.00,2026-05-15
1150515,115,1,1443,立益物流開發股份有限公司,其他,0.52,新台幣                 10.0000元,225243.00,81085.00,6633.00,72766.00,2026-05-15
