Code,Company,ApplicationDate,Chairman,AmountofCapital ,CommitteeDate,ApprovedDate,AgreementDate,ListingDate,ApprovedListingDate,Underwriter,UnderwritingPrice,Note,date
7705,三商餐飲,1130625,陳翔玢,604193,1130801,1130827,1130903,,1131126,國泰,70.88,,2026-05-15
6962,ITH-KY,1130329,梁公偉,4523966,1130515,1130716,1130731,,1131126,永豐金,39.65,,2026-05-15
2646,星宇航空,1130627,張國煒,25387350,1130807,1130827,1130904,,1131025,第一金,20.00,,2026-05-15
6988,威力暘-創,1130423,劉一郎,460000,1130604,1130618,1130625,,1131023,兆豐,25.00,創新板,2026-05-15
6862,三集瑞-KY,1130513,林伙利,440000,1130703,1130716,1130723,,1131023,永豐金,135.00,,2026-05-15
6919,康霈*,1130430,徐坴暉,697194,1130607,1130618,1130703,,1131002,元大,433.80,科技事業,2026-05-15
6923,中台,1130502,鄭光傑,826244,1130612,1130716,1130723,,1130925,元大,80.00,,2026-05-15
6969,成信實業*-創,1121228,陳鵬,473707,1130222,1130321,1130403,,1130909,富邦,32.00,創新板，採無面額發行,2026-05-15
3716,中化控股,,王謝怡貞,1490405,,,,,1130902,,,中化(1701)於當日下市，轉投控上市,2026-05-15
6958,日盛台駿,1121228,簡志明,3511931,1130516,1130618,1130703,,1130820,台新,30.00,,2026-05-15
6838,台新藥,1130329,程正禹,1341421,1130605,1130618,1130624,,1130813,凱基,36.00,科技事業,2026-05-15
3150,鈺寶-創,1121215,羅森洲,418980,1130126,1130227,1130307,,1130627,福邦,33.50,創新板,2026-05-15
6957,裕慶-KY,1121031,廖昭宜,486909,1121225,1130125,1130130,,1130625,中信,138.00,,2026-05-15
6951,青新-創,1121215,張芳正,400000,1130123,1130220,1130229,,1130618,第一金,45.00,創新板,2026-05-15
6952,大武山,1121227,林鳳春,607500,1130221,1130321,1130328,,1130613,台新,57.13,,2026-05-15
6890,來億-KY,1121221,鐘德禮,2200000,1130201,1130227,1130307,,1130612,富邦,85.00,,2026-05-15
6794,向榮生技-創,1121128,蔡意文,554595,1130115,1130125,1130201,,1130521,宏遠,58.00,創新板,2026-05-15
6771,平和環保-創,1121124,吳明陽,291795,1130112,1130125,1130130,,1130517,福邦,55.00,創新板,2026-05-15
6928,攸泰科技,1121215,簡民智,750000,1130124,1130220,1130229,,1130516,福邦,65.00,,2026-05-15
6423,億而得-創,1121212,黃文謙,268100,1130118,1130220,1130226,,1130515,兆豐,75.00,創新板,2026-05-15
1563,巧新,1121218,黃聰榮,2142551,1130124,1130227,1130306,,1130513,凱基,70.00,,2026-05-15
4949,有成精密,1121120,陳思銘,607050,1121229,1130125,1130131,,1130509,福邦,24.00,,2026-05-15
6914,阜爾運通,1120915,楊文杰,602320,1121110,1121121,1121128,,1130503,中國信託,132.00,,2026-05-15
3168,眾福科,1121020,黃漢州,693996,1121201,1121226,1121227,,1130326,福邦,50.00,,2026-05-15
8487,愛爾達-創,1121027,陳怡君,250350,1121206,1121219,1121225,,1130326,宏遠,50.00,創新板,2026-05-15
4771,望隼,1121019,黃修權,524547,1121122,1121219,1121225,,1130318,凱基,180.00,科技事業,2026-05-15
6949,沛爾生醫-創,1121031,林成龍,462305,1121212,1121226,1121229,,1130308,凱基,98.00,創新板,2026-05-15
8162,微矽電子-創,1121027,張秉堂,646600,1121208,1121226,1121229,,1130307,兆豐,35.00,創新板,2026-05-15
4588,玖鼎電力,1120928,陳展鵠,389180,1121108,1121121,1121128,,1130129,富邦,45.88,科技事業,2026-05-15
6446,藥華藥,1121027,詹青柳,3398939,,1121219,1121225,,1130125,永豐金,,科技事業，櫃轉市,2026-05-15
2762,世界健身-KY,1120828,柯約翰,1000000,1121004,1121017,1121024,,1130124,永豐金,132.00,,2026-05-15
6906,現觀科,1120731,邱大剛,305424,1120905,1120926,1121003,,1130115,台新,118.00,科技事業,2026-05-15
4736,泰博,1121017,陳朝旺,953745,,1121121,1121128,,1121222,凱基,,櫃轉市,2026-05-15
6534,正瀚-創,1111228,吳正邦,970830,1121003,1121017,1121023,,1121221,富邦,60.00,創新板,2026-05-15
6645,金萬林-創,1120609,吳品聰,403000,1120901,1120926,1120928,,1121221,華南永昌,30.00,創新板,2026-05-15
6472,保瑞,1121006,盛保熙,1008309,,1121121,1121124,,1121219,台新,,櫃轉市,2026-05-15
6937,天虹,1120728,黃見駱,606773,1120906,1120926,1121004,,1121212,元大,115.00,,2026-05-15
6742,澤米,1120428,何昆年,600497,1120606,1120620,1120629,,1121205,中國信託,48.00,,2026-05-15
6916,華凌,1120731,廖育斌,600000,1120907,1120926,1121003,,1121205,元大,24.00,,2026-05-15
5292,華懋,1120630,鄭石治,308000,1120811,1120822,1120901,,1121121,群益金鼎,68.00,科技事業,2026-05-15
2258,鴻華先進-創,1120531,劉揚偉,15913140,1120707,1120718,1120811,,1121120,福邦,50.00,創新板,2026-05-15
6805,富世達,1120327,黃祖模,604539,1120505,1120526,1120601,,1121109,台新,200.00,,2026-05-15
6933,AMAX-KY,1120602,倪小菁,361758,1120712,1120718,1120725,,1121108,中信,96.00,,2026-05-15
6658,聯策,1120426,林文彬,300280,1120719,1120822,1120829,,1121102,元富,28.00,科技事業,2026-05-15
8476,台境,1120728,郭人豪,814835,,1120926,1120928,,1121031,凱基,,櫃轉市,2026-05-15
2254,巨鎧精密-創,1120522,吳柏樺,603557,1120630,1120718,1120725,,1121020,福邦,68.68,創新板,2026-05-15
6526,達發,1111227,謝清江,1455057,1120418,1120425,1120504,,1121019,凱基,434.84,,2026-05-15
6901,鑽石投資,1120327,路孔明,6350000,1120503,1120620,1120629,,1120919,華南永昌,40.00,,2026-05-15
6757,台灣虎航-創,1111221,陳漢銘,4000000,1120208,1120221,1120303,,1120815,台新,42.60,創新板,2026-05-15
4569,六方科-KY,1111121,盧經緯,275000,1120411,1120425,1120428,,1120731,宏遠,66.00,,2026-05-15
6902,走著瞧-創,1111229,鄭勝丰,308988,1120314,1120328,1120407,,1120713,元大,215.00,創新板,2026-05-15
6657,華安,1111220,邱壬乙,668450,1120207,1120221,1120303,,1120612,中國信託,42.12,科技事業,2026-05-15
2432,倚天酷碁-創,1111230,高樹國,600000,1120417,1120425,1120427,,1120531,台新,26.00,創新板,2026-05-15
6861,睿生光電,1110725,楊柱祥,349845,1110902,1111227,1111228,,1120327,元大,70.00,科技事業,2026-05-15
6606,建德工業,1110930,李金旆,976238,1111116,1111227,1111228,,1120324,元富,19.00,,2026-05-15
6863,永道-KY,1111020,何奕達,660600,1111130,1111227,1111228,,1120321,凱基,83.58,,2026-05-15
2645,長榮航太,1110921,黃南宏,3528070,1111122,1111227,1111228,,1120314,凱基,68.00,,2026-05-15
6869,雲豹能源-創,1111115,賴勁麟,1127091,1111221,1111227,1111228,,1120314,元富,96.00,創新板,2026-05-15
6753,龍德造船,1110927,黃守真,980000,1111102,1111115,1111122,,1120310,兆豐,30.00,,2026-05-15
6873,泓德能源-創,1111031,謝源一,850000,1111212,1111227,1111228,,1120306,永豐金,110.00,創新板,2026-05-15
3447,展達,1110725,呂進宗,695466,1110901,1110920,1110922,,1111215,元大,26.00,,2026-05-15
6782,視陽,1110721,李重儀,547267,1110830,1110920,1110929,,1111128,元大,168.00,科技事業,2026-05-15
6835,圓裕,1110630,張志中,601723,1110810,1110823,1110831,,1111110,台新,35.41,,2026-05-15
6695,芯鼎,1110630,羅森洲,852735,1110808,1110823,1110831,,1111104,兆豐,36.15,科技事業,2026-05-15
3652,精聯,1110705,葉佳紋,750975,,1110823,1110826,,1110921,凱基,,櫃轉市,2026-05-15
6689,伊雲谷,1110504,林啟雄,600000,1110613,1110621,1110628,,1110913,台新,112.00,,2026-05-15
6834,天二科技,1110407,廖震益,798271,1110518,1110621,1110628,,1110901,台新,26.95,,2026-05-15
6830,汎銓,1110419,柳紀綸,412772,1110530,1110621,1110627,,1110831,台新,100.00,科技事業,2026-05-15
3715,定穎投控,,黃銘宏,2775489,,,,,1110825,,,定穎電子(6251)於當日下市，轉投控上市,2026-05-15
6854,錼創科技-KY創,1110225,李允立,1008736,1110406,1110426,1110504,,1110818,元大,105.00,創新板第一上市,2026-05-15
6789,采鈺,1101229,關欣,2932771,1110308,1110322,1110324,,1110630,元大,290.00,,2026-05-15
6550,北極星藥業-KY,1101227,陳鴻文,4117701,1110304,1110322,1110325,,1110606,國泰,82.00,科技事業,2026-05-15
6796,晉弘,1101208,鄭竹明,300062,1110112,1110222,1110225,,1110601,中國信託,46.00,科技事業,2026-05-15
6585,鼎基,1101125,林勳臺,615480,1110104,1110118,1110121,,1110520,第一金,60.79,,2026-05-15
6799,來頡,1101122,陳燦榮,367291,1101228,1110118,1110121,,1110512,元大,139.00,科技事業,2026-05-15
4583,台灣精銳,1100927,張重興,729284,1101105,1101116,1101119,,1110509,兆豐,200.00,,2026-05-15
6807,峰源-KY,1101006,蔡文達,450000,1101208,1101221,1101227,,1110425,永豐金,40.00,,2026-05-15
8438,昶昕,1101029,陳國金,628990,1101208,1101221,1101227,,1110311,中國信託,40.00,,2026-05-15
5306,桂盟,1101028,吳盈進,1260000,,1101221,1101223,,1110308,元大,,櫃轉市,2026-05-15
1752,南光,1100428,陳立賢,1009885,,1100615,1100616,,1110119,日盛,,櫃轉市,2026-05-15
5244,弘凱,1100929,黃建中,603941,1101108,1101116,1101117,,1110119,宏遠,41.00,,2026-05-15
6719,力智,1100914,許先越,707054,1101025,1101116,1101117,,1110113,福邦,589.00,,2026-05-15
3592,瑞鼎,1100823,黃裕國,669368,1100929,1101019,1101021,,1110107,凱基,308.00,,2026-05-15
6691,洋基工程,1100813,賴有忠,603611,1100917,1100928,1101006,,1110103,富邦,180.00,,2026-05-15
4770,上品,1100803,侯嘉生,693050,1100913,1100928,1101006,,1101222,元大,166.00,,2026-05-15
6792,詠業,1100729,蘇開建,437753,1100908,1100928,1101001,,1101208,群益金鼎,98.00,科技事業,2026-05-15
6770,力積電,1100730,黃崇仁,34051962,1100916,1100928,1101005,,1101206,元大,49.88,科技事業,2026-05-15
2945,三商家購,1100412,陳翔玢,600000,1100521,1100615,1100622,,1101130,元大,69.00,,2026-05-15
6806,森崴能源,1100630,郭台強,1300000,1100810,1100824,1100831,,1101115,福邦,104.40,,2026-05-15
5222,全訊,1100607,張全生,602918,1100803,1100824,1100831,,1101025,台新,104.49,,2026-05-15
4440,宜新實業,1100705,邱倉沛,600480,1100813,1100824,1100831,,1101025,福邦,38.00,,2026-05-15
6790,永豐實,1100429,何奕達,2449060,1100603,1100615,1100622,,1100929,元大,52.00,,2026-05-15
2753,八方雲集,1100428,林欣怡,600448,1100607,1100615,1100622,,1100909,國泰,155.00,,2026-05-15
2250,IKKA-KY,1091225,胡湘麒,220000,1100202,1100223,1100226,,1100531,康和,76.00,,2026-05-15
3092,鴻碩,1091230,張利榮,805278,,1100223,1100225,,1100513,第一金,,櫃轉市,2026-05-15
6768,志強-KY,1091027,陳維家,1742606,1091204,1091215,1091218,,1100422,元大,49.00,,2026-05-15
2211,長榮鋼,1090828,林耿立,3994260,1091008,1091020,1091027,,1100412,凱基,41.00,,2026-05-15
6776,展碁國際,1091023,陳俊聖,737484,1091202,1091215,1091218,,1100331,永豐金,25.00,,2026-05-15
6426,統新,1091230,李英坤,385090,,1100223,1100225,,1100324,台新,,櫃轉市，科技事業,2026-05-15
6781,AES-KY,1091021,宋福祥,637508,1091126,1091215,1091218,,1100322,凱基,168.00,,2026-05-15
6515,穎崴,1090929,王嘉煌,305530,1091105,1091117,1091123,,1100120,凱基,348.00,科技事業,2026-05-15
6438,迅得,1091030,官錦堃,603000,,1091215,1091216,,1100119,台新,,櫃轉市,2026-05-15
3714,富采,,李秉傑,6859527,,,,,1100106,,,晶電(2448)、隆達(3698)於當日下市，轉投控上市,2026-05-15
6756,威鋒電子,1090805,陳文琦,600000,1090914,1091020,1091023,,1091224,凱基,168.00,,2026-05-15
1597,直得,1090923,陳麗芬,811875,,1091117,1091118,,1091223,永豐金,,櫃轉市,2026-05-15
6743,安普新,1090828,黃常青,1048000,1091008,1091020,1091028,,1091214,中國信託,100.00,,2026-05-15
3138,耀登,1090731,張玉斌,406957,1090908,1090915,1090917,,1091211,國票,46.00,科技事業,2026-05-15
1342,八貫,1090624,劉宗熹,619654,1090804,1090825,1090831,,1091124,富邦,55.00,,2026-05-15
2247,汎德永業,1081125,唐慕蓮,717407,1090102,1090114,1090117,,1091012,群益金鼎,180.00,,2026-05-15
2241,艾姆勒,1090429,林啟聖,748123,1090604,1090616,1090623,,1090826,元大,50.00,,2026-05-15
6754,匯僑設計,1090424,王秀卿,600000,1090603,1090616,1090620,,1090825,凱基,45.00,,2026-05-15
6598,ABC-KY,1081224,李家榮,722889,1090313,1090324,1090401,,1090609,永豐金,48.00,科技事業,2026-05-15
5546,永固-KY,1081014,簡國釧,646750,1081231,1090114,1090117,,1090520,康和,58.50,,2026-05-15
