出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註,date
1150514,11504,1602,太電,電器電纜,3509338,4414836,3451289,-20.51034285305275,1.6819512941396677,13869995,13270279,4.519241833574109,-,2026-05-15
1150514,11504,1613,台一,電器電纜,570759,671991,582964,-15.064487470814342,-2.0936112693065096,2284095,2345125,-2.6024199136506585,-,2026-05-15
1150514,11504,1619,大展電線,電器電纜,426068,416022,395701,2.4147761416463553,7.674228773745833,1548070,1297635,19.299340723701196,-,2026-05-15
1150514,11504,1716,永信藥品,化學生技醫療,398106,405390,382555,-1.7967882779545623,4.065036399994772,1582009,1736186,-8.880212143168992,-,2026-05-15
1150514,11504,1739,欣雲天然,化學生技醫療,217304,196592,253382,10.535525351998047,-14.23858048322296,802685,874456,-8.207502721692116,-,2026-05-15
1150514,11504,1740,欣桃天然,化學生技醫療,464019,470235,438289,-1.3218922453666784,5.870555729210635,1897375,1743320,8.836874469403208,-,2026-05-15
1150514,11504,1745,欣嘉公司,化學生技醫療,64686,56948,62776,13.587834515698532,3.0425640372116733,247488,259801,-4.739396692083556,-,2026-05-15
1150514,11504,1763,奇美實業,化學生技醫療,9473150,11228861,10588564,-15.635699827435747,-10.53413852907722,37715275,41626496,-9.395989035445117,-,2026-05-15
1150514,11504,1764,長春石化,化學生技醫療,11492253,10300750,9952671,11.567148023202193,15.469033388122646,39232548,36570338,7.279697551605894,-,2026-05-15
1150514,11504,1765,長春樹脂,化學生技醫療,11280392,10465523,10438373,7.78622339275352,8.066573210211974,39730414,39096685,1.6209277078094984,-,2026-05-15
1150514,11504,1766,大連化工,化學生技醫療,4142104,3629039,3468051,14.137764846285751,19.43607519035908,13521189,12340794,9.56498423035017,-,2026-05-15
1150514,11504,1767,陽瓦,化學生技醫療,69998,78664,74018,-11.01647513475033,-5.4311113512929285,304244,316846,-3.9773265245576717,-,2026-05-15
1150514,11504,1769,欣中公司,化學生技醫療,222015,244982,227927,-9.37497448792156,-2.593812931333278,973001,1006487,-3.3270176365914312,-,2026-05-15
1150514,11504,1770,信東生技,化學生技醫療,462508,451297,452347,2.48417339357452,2.246284379027605,1694481,1688294,0.3664646086522845,-,2026-05-15
1150514,11504,1775,大東樹脂,化學生技醫療,581173,569582,528293,2.035001106074279,10.009596947148646,2084612,1991241,4.689085851486586,-,2026-05-15
1150514,11504,1819,豐鼎,建材營造,20664,31812,15144,-35.043379856657864,36.450079239302696,96319,62595,53.87650770828341,-,2026-05-15
1150514,11504,2041,燁茂實業,鋼鐵工業,343683,350600,305326,-1.9729035938391328,12.562637967287424,1329725,1413732,-5.942215356234421,-,2026-05-15
1150514,11504,2048,中龍鋼鐵,鋼鐵工業,7772386,6409846,6303506,21.2569849572049,23.302587480681385,25520199,23464435,8.76119113884481,-,2026-05-15
1150514,11504,2056,璋釔鋼鐵,鋼鐵工業,268220,273418,217883,-1.9011184340460394,23.102766163491417,944670,849631,11.185914826554116,-,2026-05-15
1150514,11504,2068,優頻,其他,169181,208759,191184,-18.958703576851775,-11.508808268474349,733352,744907,-1.5512003511847787,-,2026-05-15
1150514,11504,2215,匯豐汽車,汽車工業,2999469,3207928,3164283,-6.498244349623807,-5.208573316609166,11607400,12292681,-5.574707421432314,-,2026-05-15
1150514,11504,2218,高都汽車,汽車工業,2403949,2386647,2384387,0.7249501078291009,0.8204205105966439,9250709,9643607,-4.0741809573948835,-,2026-05-15
1150514,11504,2219,鍾慶科技,電機機械,189410,182015,214196,4.062851962750322,-11.571644661898448,698027,830367,-15.937531236188336,-,2026-05-15
1150514,11504,2220,南都汽車,汽車工業,2103441,2009951,1982193,4.65135717238878,6.116861476152928,8110119,8473890,-4.292845434623295,-,2026-05-15
1150514,11504,2222,桃苗汽車,汽車工業,3210115,3209232,3139161,0.027514371039550897,2.260285471181631,12362482,12850408,-3.796968936706134,-,2026-05-15
1150514,11504,2225,國都汽車,汽車工業,3685426,3811086,3737903,-3.297222891322841,-1.4039155109161474,14250983,15163357,-6.016965768200274,-,2026-05-15
1150514,11504,2226,中部汽車,汽車工業,3551524,3544913,3417948,0.1864925881114713,3.90807583965584,13590292,14344563,-5.258236169341652,-,2026-05-15
1150514,11504,2246,凱勝綠能,電機機械,143,1761,3023,-91.87961385576376,-95.26959973536222,2300,16534,-86.08927059392767,-,2026-05-15
1150514,11504,2384,勝華科技,電子工業,5895,5653,2834,4.280912789669202,108.00988002822865,22776,11461,98.72611464968153,-,2026-05-15
1150514,11504,2443,昶虹,其他,958,1068,656,-10.299625468164795,46.03658536585366,4140,3975,4.150943396226415,-,2026-05-15
1150514,11504,2557,泛亞工程,建材營造,419808,558837,743317,-24.878273986869157,-43.52234645514633,2018799,2676337,-24.568580115284437,-,2026-05-15
1150514,11504,2568,世正開發,建材營造,120810,128329,127334,-5.859158880689478,-5.1235333846419655,492217,489027,0.6523157208088715,-,2026-05-15
1150514,11504,2579,鈺通營造,建材營造,122384,183358,115377,-33.25407127041089,6.073134160187906,729110,450107,61.98592779050315,-,2026-05-15
1150514,11504,2599,樂揚,建材營造,490,1655,2372,-70.39274924471299,-79.34232715008432,6128,9154,-33.05658728424732,-,2026-05-15
1150514,11504,2619,新竹物流,航運業,2301685,2439162,2141438,-5.636239003395429,7.483149173592698,9288335,8802697,5.516922824902413,-,2026-05-15
1150514,11504,2621,立榮航空,航運業,649995,578721,611728,12.31577910599408,6.25555802578924,2295054,1993458,15.129287900723266,-,2026-05-15
1150514,11504,2711,凱撒飯店,觀光餐旅,47136,33271,44517,41.67292837606324,5.88314576453939,162519,148033,9.78565590104909,-,2026-05-15
1150514,11504,2759,咖碼,觀光餐旅,44915,57875,41728,-22.393088552915767,7.6375575153374236,198101,176087,12.501774690919829,-,2026-05-15
1150514,11504,2807,渣打銀行,金融保險業,1804078,1477378,1290625,22.113501080969122,39.78328329297821,6686400,6118553,9.280740070405535,-,2026-05-15
1150514,11504,2809,京城銀,金融保險業,806650,743049,476427,8.559462431145187,69.31240252966352,3167013,2648547,19.575487993983117,-,2026-05-15
1150514,11504,2837,凱基銀行,金融保險業,1757632,1759885,1415416,-0.12801972856180943,24.177768232095723,6664303,5885122,13.23984447561155,-,2026-05-15
1150514,11504,2848,華南保,金融保險業,1321800,1186035,956257,11.446964044062781,38.226439126720116,5408785,4830743,11.965902553706542,-,2026-05-15
1150514,11504,2858,中租迪和,其他,4162752,4373843,4310860,-4.8262134694821,-3.435694965737695,16565420,16788297,-1.3275736067809618,-,2026-05-15
1150514,11504,2872,台灣票券,金融保險業,66068,68470,30797,-3.508105739740032,114.52738903139917,261776,167505,56.27951404435689,-,2026-05-15
1150514,11504,2873,大中票券,金融保險業,236735,46363,54997,410.611910359554,330.45075185919234,574992,251110,128.98012823065588,-,2026-05-15
1150514,11504,2874,萬通票券,金融保險業,124509,87709,52169,41.95692574308224,138.66472426153462,385512,229820,67.74519188930468,-,2026-05-15
1150514,11504,2893,新光銀行,金融保險業,2088179,2047667,1727596,1.9784466907949387,20.871951544226775,8132611,6996132,16.24439047176354,-,2026-05-15
1150514,11504,2894,大慶票券,金融保險業,97630,102024,65177,-4.306829765545362,49.792104576767876,360940,268037,34.660513287344656,-,2026-05-15
1150514,11504,2895,陽信銀行,金融保險業,1059551,1104900,907715,-4.104353335143452,16.727276733335906,4276318,3679282,16.22697037084953,-,2026-05-15
1150514,11504,2899,金融大樓,其他,584576,554183,552274,5.4842894856031315,5.8489083317338855,2207282,2115159,4.355369974550377,-,2026-05-15
1150514,11504,2920,海景,觀光餐旅,39955,29004,40471,37.75686112260378,-1.2749870277482642,148604,153156,-2.9721329885868,-,2026-05-15
1150514,11504,3197,源河生技,電子工業,0,0,0,,,0,0,,-,2026-05-15
1150514,11504,3202,樺晟,其他,1,0,623185,,-99.99983953400675,1,1704679,-99.99994133792931,-,2026-05-15
1150514,11504,3342,飛虹高科,電子工業,3161,3269,3104,-3.303762618537779,1.836340206185567,11975,12100,-1.0330578512396693,-,2026-05-15
1150514,11504,3369,鐵研,電子工業,69317,69030,56506,0.41576126321889034,22.67192864474569,232702,189741,22.64191713967988,-,2026-05-15
1150514,11504,3405,津綻石英,電子工業,27521,29098,35569,-5.419616468485807,-22.626444375720432,114334,118426,-3.455322310979008,-,2026-05-15
1150514,11504,3463,宏塑,電子工業,190369,175903,168058,8.223850644957732,13.275773839983815,735652,652309,12.776613537449276,-,2026-05-15
1150514,11504,3509,聯禾,其他,44811,45633,46848,-1.8013279863256852,-4.348104508196721,180854,187448,-3.5177755964320774,-,2026-05-15
1150514,11504,3510,易鼎,電子工業,25603,28856,31911,-11.27321874133629,-19.767478299019146,97986,115057,-14.836993837836898,-,2026-05-15
1150514,11504,3525,就業情報,電子工業,91050,89719,82139,1.4835207704053768,10.84868332947808,399745,375570,6.436882605106904,-,2026-05-15
1150514,11504,3572,宏芯科技,電子工業,7490,4086,5598,83.30885952031326,33.79778492318685,17590,18305,-3.9060366020213055,-,2026-05-15
1150514,11504,3601,前源,其他,22455,20358,9523,10.300618921308576,135.79754279113726,93707,44507,110.54440874469185,-,2026-05-15
1150514,11504,3616,泓辰,電機機械,80,250,196,-68.0,-59.183673469387756,448,20102,-97.77136603323052,-,2026-05-15
1150514,11504,3683,仲博科技,電子工業,220622,188532,167887,17.02098317526998,31.41100859506692,730310,761219,-4.0604609186055525,-,2026-05-15
1150514,11504,4118,友合生化,化學生技醫療,0,3670,0,-100.0,,9848,1428,589.6358543417367,-,2026-05-15
1150514,11504,4132,國鼎,化學生技醫療,3533,7482,3475,-52.780005346164124,1.669064748201439,22286,20019,11.324241970128378,-,2026-05-15
1150514,11504,4427,展頌,紡織纖維,343358,287227,338822,19.542382853979603,1.3387560429960275,1099025,1181573,-6.986280153659571,-,2026-05-15
1150514,11504,4539,台智網,電機機械,67123,66958,76235,0.24642313091788884,-11.952515248901424,267309,294571,-9.254814628731273,-,2026-05-15
1150514,11504,4548,名超,電子工業,78677,78333,59700,0.4391508048970421,31.787269681742043,280942,215785,30.195333317885858,-,2026-05-15
1150514,11504,4586,能海電能,電機機械,0,0,107,,-100.0,0,445,-100.0,-,2026-05-15
1150514,11504,4712,福格創新,其他,57,57,57,0.0,0.0,229,220,4.090909090909091,-,2026-05-15
1150514,11504,4730,通用,塑膠工業,129467,120196,121733,7.713235049419282,6.353248502871037,450284,410244,9.760045241368552,-,2026-05-15
1150514,11504,4773,高福,化學生技醫療,244096,289962,244607,-15.81793476386561,-0.2089065317018728,971551,947565,2.5313303045173683,-,2026-05-15
1150514,11504,4985,富相,電子工業,73194,71070,81236,2.988602785985648,-9.89955192279285,293692,313288,-6.2549475243226675,-,2026-05-15
1150514,11504,5216,優燈,電子工業,4795,9262,8078,-48.22932412006046,-40.64124783362218,26757,31054,-13.837186835834354,-,2026-05-15
1150514,11504,5295,懷藝,電子工業,91785,67341,37598,36.298837261103934,144.12202776743445,305772,168241,81.74642328564381,-,2026-05-15
1150514,11504,5298,合盈,電子工業,38300,32952,23465,16.229667394998785,63.22181973151502,141988,48471,192.933919250686,-,2026-05-15
1150514,11504,5346,力晶,電子工業,36191,36759,26755,-1.5451998150112898,35.26817417305177,134748,140223,-3.904494982991378,-,2026-05-15
1150514,11504,5387,茂德科技,電子工業,67219,46753,8372,43.77473103330268,702.9025322503584,162023,32450,399.3004622496148,-,2026-05-15
1150514,11504,5541,廣朋實業,建材營造,4398,5949,4920,-26.071608673726676,-10.609756097560975,20376,38705,-47.35563880635577,-,2026-05-15
1150514,11504,5827,華泰銀行,金融保險業,374417,397272,296540,-5.7529853601562655,26.261887097862008,1505913,1295269,16.26256785270087,-,2026-05-15
1150514,11504,5830,三信商銀,金融保險業,509668,317352,256307,60.600216793970105,98.85059713546646,1545734,1216410,27.07343741008377,-,2026-05-15
1150514,11504,5833,元大證金,金融保險業,209038,202141,158018,3.411974809662562,32.28746092217342,766443,706665,8.459170894270978,-,2026-05-15
1150514,11504,5834,兆豐保險,金融保險業,980297,986878,957162,-0.6668504110943805,2.4170412114145776,3895307,3927444,-0.818267555183473,-,2026-05-15
1150514,11504,5835,國泰世華,金融保險業,11041092,10627865,9603384,3.8881468667507537,14.970847776158903,42919055,39148862,9.63040253890394,-,2026-05-15
1150514,11504,5836,台北富邦,金融保險業,9438770,8913264,7572535,5.895775105505682,24.644785398812946,38546768,32491700,18.635737742254175,-,2026-05-15
1150514,11504,5838,華南銀行,金融保險業,5374971,5270694,4358764,1.978430164983966,23.314109229130093,20889394,18652952,11.989748325090849,-,2026-05-15
1150514,11504,5839,中華開發資本,其他,825047,-90085,-124839,1015.8539157462396,760.8888248063506,1491932,169313,781.16801426943,-,2026-05-15
1150514,11504,5840,國際票券,金融保險業,380799,295832,213867,28.721368885042864,78.05411774607583,1452122,898825,61.55781158735015,-,2026-05-15
1150514,11504,5841,中信銀,金融保險業,15435875,16542830,13433010,-6.691448802895272,14.910023888912463,63440262,55702660,13.89090215799389,-,2026-05-15
1150514,11504,5842,兆豐票券,金融保險業,436503,426275,412773,2.3993900650988214,5.748922531270214,1781363,1336740,33.26174125110343,-,2026-05-15
1150514,11504,5843,兆豐銀行,金融保險業,6571755,4559754,4975333,44.125209386295836,32.08673670686967,22739568,20917915,8.708578268914469,-,2026-05-15
1150514,11504,5844,第一銀行,金融保險業,6273976,5748923,5421171,9.133067184931855,15.731010883073049,23612357,21214339,11.303760159578859,-,2026-05-15
