出表日期,報告年度,公司代號,公司名稱,重大事件之風險管理政策,與使用關鍵材料相關的風險管理之描述,date
1150513,113,1609,大亞,經濟&公司治理面:1.因應政府2050年淨零排碳的政策，以負責任的方式開發再生能源案場及儲能案場。2.創新求變是驅動成長的動力，時時內化自省、主動尋求機會，積極面對挑戰、順應時代變化，以前瞻思維推動產業前進。3.落實供應鏈碳管理，要求供應商降低溫室氣體排放、減緩氣候變遷，以促進供應鏈低碳轉型。環境面:1.貫徹政府能源法令及客戶要求、灌輸員工能源認知、進行綠色採購、落實目標管理、持續改善；並持續提升再生能源使用。2.以2021年為基準年，於2050年達到範疇一及範疇二溫室氣體排放量淨零；並於2030到減量40%。社會面:承諾建立良好的雇主品牌，提供具競爭力的薪資福利、照顧員工職涯發展與成長機會、促進職場多元共榮、營造友善健康的工作環境。,落實供應鏈碳管理，要求供應商降低溫室氣體排放、減緩氣候變遷，以促進供應鏈低碳轉型。,2026-05-17
1150513,113,1611,中電,N/A,N/A,2026-05-17
1150513,113,1612,宏泰,本公司2022年訂定「風險管理政策與程序辦法」，並經董事會通過，作為本公司風險管理之最高指導原則；透過風險治理與管理架構，使風險管理與公司之策略、目標產生連結，並經由各單位之參與，將風險管理意識融入至日常決策及營運活動中，推動全方位的企業風險管理文化。,不適用,2026-05-17
1150513,113,1614,三洋電,N/A,N/A,2026-05-17
1150513,113,1616,億泰,N/A,N/A,2026-05-17
1150513,113,1617,榮星,N/A,N/A,2026-05-17
1150513,113,1618,合機,本公司建立完備的內部控制制度，確保有效執行及定期檢討，自2022年起積極推動落實風險管理機制，訂定「風險管理政策與程序」，依據各項風險發生可能性及影響重大性，評估可能造成的後果及影響，並針對潛在風險，制訂管理政策與預防措施，隨時視內外部營運環境變化進行檢討及調整。各權責單位針對所負責業務範圍，依內外部環境及局勢變化進行評估及調整，識別會影響公司營運的潛在風險，並視風險衝擊程度，不定期彙報予總經理及總經理室，如有必要，則提交修正意見予董事會討論，降低風險危害之可能衝擊。,1.依接單、排程狀況及廠商貨源供應情形調整安全庫存。2.避免單一地區採購藉以分散貨源風險，降低貨源不足或國際價格變化的衝擊。3.開發供應商及可替代料，彈性應變生產需求。,2026-05-17
1150513,113,1626,艾美特-KY,N/A,N/A,2026-05-17
1150513,113,1702,南僑,N/A,N/A,2026-05-17
1150513,113,1707,葡萄王,N/A,N/A,2026-05-17
1150513,113,1708,東鹼,N/A,N/A,2026-05-17
1150513,113,1709,和益,"本公司已於2022 年5 月12 日修訂原「企業社會責任實務守則」為「永續發展實務守則」及增修條文，以及2024 年11 月8 日通過永續資訊之管理內部控制制度；依重大性原則，進行與公司營運相關之環境、社會、公司治理議題及氣候變遷風險之評估，並訂定相關風險管理策略，由各部門進行事前防範，以減少因風險所帶來的可能影響，並以內部控制作業進行日常資訊蒐集、評估、處理及監控可能影響本公司之潛在風險。
詳細請參閱本公司113年年報第47-50頁之說明。","本公司進貨以其主要銷售產品之原料－苯、正烷烴、正烯烴、四聚丙烯、三聚丙烯、酚及石油樹脂為主。
由於其產業特性，部分國家之石油化學工業皆由國營，以利垂直整合上中下游供應鏈，確保上下游原料之供給不虞缺乏；而台灣國內油品市場早期亦由國家經營，在民營化趨勢下，才逐漸轉由民間接手管理，但目前國內油品市場仍屬寡占局面。在此背景下，本公司仍積極提高其他供應商之進貨比例，並努力拓展更多元的供應來源。113 年度本公司主要供應商之占比較112 年有所下降，降低對單一來源之依賴，進一步強化供應鏈穩定性。
詳細請參閱113年年報第97頁之說明。",2026-05-17
1150513,113,1710,東聯,N/A,N/A,2026-05-17
1150513,113,1711,永光,"本公司體認全球環境瞬息萬變，為降低總體營運風險，保障股東權益，特訂定風險管理政策為：
實施風險管理．確保永續經營
並採取以下策略：
1. 建立集團營運之風險管理制度。
2. 實施教育訓練，強化全員風險意識。
3. 洞悉經營環境變動趨勢。
4. 遵守國際產品安全規範。
5. 確保工業安全及環境保護。",N/A,2026-05-17
1150513,113,1712,興農,N/A,N/A,2026-05-17
1150513,113,1713,國化,"風險項目	說明
財務風險		主要目標為管理營運活動相關之市場、信用以及流動性風險。
	公司依相關規範建立適當之政策、程序以及內部控制。
	重要財務活動必須要經董事依相關規範建立適當之政策、程序以及內部控制。
策略風險		內部控制制度有其先天限制，不論設計如何完善，有效之內部控制制度亦僅能對上述三項目標之達成提供合理的確信。
	由於環境、情況之改變，內部控制制度之有效性可能隨之改變。惟本公司之內部控制制度設有自我監督之機制，缺失一經辨認，本公司即採取更正之行動。
",N/A,2026-05-17
1150513,113,1714,和桐,N/A,N/A,2026-05-17
1150513,113,1717,長興,N/A,N/A,2026-05-17
1150513,113,1718,中纖,N/A,N/A,2026-05-17
1150513,113,1720,生達,N/A,N/A,2026-05-17
1150513,113,1721,三晃,本公司參照台灣證券交易所「上市上櫃公司風險管理實務守則」及金融監督管理委員會所發布「公開發行公司建立內部控制制度處理準則」相關規定本公司之風險管理辦法，以強化風險管理制度。本公司之風險評估依據重大性評估流程，鑑別出與環境、社會及治理等重大性議題，依據評估後之風險，訂定相關風險管理政策或策略。請參考年報第32頁。,N/A,2026-05-17
1150513,113,1725,元禎,N/A,N/A,2026-05-17
1150513,113,1726,永記,『治標:管控風險 讓風險不擴大、治本:探討原因 徹底改善解決』,N/A,2026-05-17
1150513,113,1727,中華化,N/A,N/A,2026-05-17
1150513,113,1730,花仙子,N/A,N/A,2026-05-17
1150513,113,1731,美吾華,N/A,N/A,2026-05-17
1150513,113,1732,毛寶,N/A,N/A,2026-05-17
1150513,113,1735,日勝化,T-GP-014-1131風險管理政策與程序,N/A,2026-05-17
1150513,113,1736,喬山,N/A,N/A,2026-05-17
1150513,113,1737,臺鹽,詳細資料請參閱2025年8月出版之「2024臺鹽永續報告書」。,N/A,2026-05-17
1150513,113,1752,南光,N/A,N/A,2026-05-17
1150513,113,1760,寶齡富錦,N/A,N/A,2026-05-17
1150513,113,1762,中化生,N/A,"中化合成生技為確保產出的原料藥品質符合產品規格、預定療效與安全，執行以下供應鏈管理政策：
1.建置嚴謹的採購程序：原料搜尋、採購到原料驗收，都有相對應的管理程序。
2.向可信賴的供應商採購，包括：誠信、品質、交期等。
3.新原物料供應商需經過審查與必要的稽核，所提供的原物料需通過研發單位及現場確效合格後，才能使用於生產製程中。
4.在維繫既有供應商之信任關係下，同時積極開發其他供應商，來分散採購風險、保持供應鏈彈性。",2026-05-17
1150513,113,1776,展宇,N/A,N/A,2026-05-17
1150513,113,1783,和康生,"和康生技透過預防為主、全員參與的風險管理機制，建立涵蓋辨識、衡量、監控、回應與揭露的完整流程，並結合三道防線制度與董事會監督，針對市場、法律、資安、氣候等重大風險進行系統性管理，有效提升公司面對重大事件的應變能力與營運韌性。
",N/A,2026-05-17
1150513,113,1786,科妍,N/A,N/A,2026-05-17
1150513,113,1789,神隆,N/A,N/A,2026-05-17
1150513,113,1795,美時,N/A,N/A,2026-05-17
1150513,113,1802,台玻,N/A,N/A,2026-05-17
1150513,113,1805,寶徠,N/A,N/A,2026-05-17
1150513,113,1806,冠軍,N/A,N/A,2026-05-17
1150513,113,1809,中釉,N/A,N/A,2026-05-17
1150513,113,1810,和成,和成欣業由董事會授權總經理成立永續發展委員會，並委請總經理擔任主任委員，永續發展委員會擬定永續發展方針，負責於公司內部推行並且落實，逐步將永續經營理念融入和成欣業企業文化當中。為因應永續發展涵蓋環境、社會與公司治理（下稱ESG）等面向，永續發展委員會下設專門小組，由權責部門蒐集利害關係人對環保、職安、供應鏈管理、勞動人權、營運績效以及公司治理等關注議題，並本於尊重利害關係人權益，於公司網站設置利害關係人專區，適切回應其所關切之重要永續議題。和成欣業每年向董事會報告ESG執行成果，強化董事會對公司推行ESG成果的參與程度。,"主要原料之供應狀況：
(1)SMC原料材料為國內及進口原料廠商供應，品質穩定，來源充裕。
(2)瓷器原料來源：國內及進口（除日本、韓國、大陸外並有其他國外替代品）並重，主要進口材料品質穩   
  定，價格便宜，來源充裕。 
(3)銅器原料來源：與國外銅錠生產廠商(韓、日、德)簽訂合約，原料供應不虞匱乏。低壓鑄造時所需少部份填
  加原料由貿易商提供，所佔比率不高。
",2026-05-17
1150513,113,1817,凱撒衛,"本公司已建立風險管理政策及程序(ADM18), 針對各類主要風險進行必要管理. 主要目的在於:為針對可能影響本公司企業營運的不確定因素進行風險管理，而建立系統性的風險應對政策及程序，期望有效掌握企業風險，也能發現相對應的機會。使公司建立完善風險管理機制及有助穩健經營與永續發展目標邁進。重大事件一發生, 均由相關單位進行回報與評估後回應
",N/A,2026-05-17
1150513,113,1903,士紙,N/A,N/A,2026-05-17
1150513,113,1904,正隆,"執行風險管理制度與運作是確保正隆穩定營運的重要根基。為完善風險管理制度，正隆成立直屬董事會之「風險管理委員會」，所屬七大工作推行小組依循「風險管理政策與程序 」，透過辨識、分析、評量環境、社會、公司治理各方面風險因子形成之內、外部風險，再依據發生嚴重度與可能性計算出風險等級，省視現有防護措施是否能阻擋或降低風險，必要時另擬因應對策及確認得以有效實施，並追蹤風險管理改善之成效，確保公司健全經營，風險評估之邊界主要以合併公司為主，包含台灣、中國大陸、越南既有營業據點。2024年共召開兩次風險管理委員會會議並提報董事會。

重視氣候變遷風險管理，正隆已於2021年導入「氣候相關財務揭露」（TCFD）倡議，成為台灣第一家通過TCFD查核且獲得最高評級認證之紙業公司，展現面對氣候風險之適應力。重視自然正效益和關注營運對生物多樣性之衝擊，更於2023年簽署支持「自然相關財務揭露」（TNFD），成為TNFD先行者企業之一，將依循TNFD框架，從治理、策略、風險管理、指標與目標等四大面向，強化揭露自然相關風險與因應措施。","*建置協同採購平台，掌握並靈活管理重要原物料。
*建立原物料多方供料，及彈性海運運輸方式，降低氣候變遷、疫情和缺櫃之衝擊。",2026-05-17
1150513,113,1905,華紙,華紙除依據法令規定訂定相關管理辦法並針對內部管理需要，訂定各項規則供相關單位遵循。在環境、社會和公司治理方面，經由定期的業務管理會議，探討公司風險管理重點，包含經營風險、財務風險、環境風險等面向並制定因應措施。營運風險由各部門依其功能分散管理，並由稽核室定期及專案查察各部門規章、制度、辦法執行及遵循情形。於年度經營管理會議中，董事長及總經理執行公司督導職責，確保風險控管機制與程序有效進行。 ,華紙所有的原物料採購，係進口國當地政府合法或經過認證的產品，皆為100%可再生原料。我們制定原物料「採購政策」，承諾保護古老與瀕危的森林、泥炭地、高碳儲量森林 (HCS)、高保護價值 (HCV) 地區等，並確保我們的營運和採購作為有助於森林永續。人權規範方面，華紙透過「採購宣言」與「人權宣言」來規範供應商管理，要求供應商承諾符合當地政府制定之勞動安全及人權相關法規，並禁止歧視、杜絕童工及強制勞工等規範。,2026-05-17
