出表日期,報告年度,公司代號,公司名稱,為改善食品衛生、安全與品質，而針對其從業人員、作業場所、設施衛生管理及其品保制度等方面進行之評估與改進及所影響之百分比,違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之事件類別與次數,違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之產品下架次數(次),違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之下架產品總重量(公噸(t)),經獨立第三方驗證符合國際認證之食品安全管理系統標準之廠房所生產產品之百分比,依法規要求或自願進行產品追溯與追蹤管理之相關產品占所有產品之百分比,依法規要求或自願設置食品安全實驗室之相關支出(仟元),依法規要求或自願設置食品安全實驗室之相關支出占營業收入淨額之百分比,date
1150513,113,1460,宏遠,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1465,偉全,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1466,聚隆,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1468,昶和,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1470,大統新創,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1474,弘裕,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1475,業旺,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1504,東元,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1513,中興電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1514,亞力,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1515,力山,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1516,川飛,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1519,華城,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1524,耿鼎,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1526,日馳,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1527,鑽全,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1530,亞崴,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1531,高林股,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1532,勤美,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1533,車王電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1536,和大,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1537,廣隆,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1538,正峰,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1540,喬福,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1558,伸興,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1568,倉佑,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1582,信錦,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1583,程泰,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1589,永冠-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1597,直得,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1598,岱宇,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1603,華電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1604,聲寶,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1608,華榮,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1609,大亞,0.00%,不適用,0,0.000,0.00%,0.00%,0.000,0.00%,2026-05-15
1150513,113,1611,中電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1612,宏泰,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1614,三洋電,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1616,億泰,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1617,榮星,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1618,合機,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1626,艾美特-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1702,南僑,100.00%,2024年南僑集團無違反食品安全衛生管理相關法規之事件發生,0,0.000,100.00%,100.00%,186473.000,0.79%,2026-05-15
1150513,113,1707,葡萄王,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1708,東鹼,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1709,和益,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1710,東聯,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1711,永光,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1712,興農,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1713,國化,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1714,和桐,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1717,長興,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1718,中纖,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1720,生達,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1721,三晃,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1725,元禎,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1726,永記,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1727,中華化,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1730,花仙子,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1731,美吾華,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1732,毛寶,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1735,日勝化,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1736,喬山,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1737,臺鹽,100.00%, 彩盒標示違規1件,1,0.032,80.00%,100.00%,2664.000,0.84%,2026-05-15
1150513,113,1752,南光,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1760,寶齡富錦,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1762,中化生,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1776,展宇,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1783,和康生,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1786,科妍,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1789,神隆,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1795,美時,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1802,台玻,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1806,冠軍,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1808,潤隆,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1809,中釉,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1810,和成,,無,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1903,士紙,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1904,正隆,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1905,華紙,60.00%,無相關事件,0,0.000,0.00%,100.00%,0.000,0.00%,2026-05-15
1150513,113,1907,永豐餘,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2006,東和鋼鐵,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2009,第一銅,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2010,春源,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2012,春雨,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2013,中鋼構,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2014,中鴻,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2015,豐興,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2017,官田鋼,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2020,美亞,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2023,燁輝,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2025,千興,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2027,大成鋼,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2029,盛餘,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2030,彰源,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2031,新光鋼,0.00%,不適用,0,0.000,0.00%,0.00%,0.000,0.00%,2026-05-15
1150513,113,2034,允強,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2059,川湖,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2062,橋椿,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2069,運錩,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2103,台橡,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2105,正新,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2107,厚生,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2108,南帝,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2114,鑫永銓,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2115,六暉-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2201,裕隆,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2206,三陽工業,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2208,台船,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2211,長榮鋼,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2227,裕日車,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2228,劍麟,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2231,為升,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2233,宇隆,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2236,百達-KY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2241,艾姆勒,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2243,宏旭-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2247,汎德永業,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2254,巨鎧精密-創,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2258,鴻華先進-創,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2301,光寶科,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2302,麗正,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2303,聯電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
