出表日期,產業類別,公司代號,公司名稱,董事酬金-前年支付,董事酬金-今年支付,董事酬金-合計,董事酬金加計兼任員工酬金-前年支付,董事酬金加計兼任員工酬金-今年支付,加計兼任員工酬金-合計,酬金總額占稅後損益百分比(%)-董事酬金,酬金總額占稅後損益百分比(%)-加計兼任員工酬金,平均每位董事酬金-董事酬金,平均每位董事酬金-加計兼任員工酬金,領取來自子公司以外轉投資事業或母公司酬金,稅後純益,每股盈餘,股東權益報酬率(%),實收資本額(仟元),稅後損益與董監酬金變動之關聯性與合理性說明,date
1150415,塑膠工業,1308,亞聚,7964000,0,7964000,16584000,0,16584000,-0.7625,-1.5877,884889,1842667,29495000,-1044503,-1.76,-9.62,5937438.000000,"1.董事報酬依公司章程第十五條之一「不論公司營業盈虧，依其對本公司營運參與程度及貢獻之價值，並參酌國內業界水準」之規定辦理；酬勞依公司章程第十八條規定不超
過當年度獲利1%，上述酬金係參酌公司經營績效及董事績效評估結果議定之。另依股東會決議發給車馬費，惟本公司經理人兼任董事者不支領車馬費。其中董事定期評估的面
向包含公司目標與任務之掌握、董事職責認知、對公司營運之參與程度、內部關係經營與溝通、董事之專業及持續進修及內部控制等。
2.由薪資報酬委員會參考公司整體的營運績效、產業未來、經營風險及發展趨勢，經評估董事之績效目標達成情形後，訂定其個別薪資報酬之內容及數額，做成建議提董事會
通過，並隨時視實際經營狀況及相關法令適時檢討董事酬金制度，且不應引導董事追求薪資報酬而從事逾越公司風險胃納之行為。",2026-05-15
1150415,塑膠工業,1309,台達化,8098000,0,8098000,16630000,0,16630000,-1.8948,-3.8912,899778,1847778,24851000,-427371,-1.07,-7.09,3975868.000000,"依公司章程規定董事酬勞不超過當年度獲利百分之一，由薪資報酬委員會參考公司整體的營運績效、產業未來、經營風險及發展趨勢，經評估董事及經理人之績效目標達成情形後，訂定其薪資報酬之內容及數額，
做成建議提董事會通過，並隨時視實際經營狀況及相關法令適時檢討董事及經理人酬金制度，且不應引導董事及經理人追求薪資報酬而從事逾越公司風險胃納之行為。",2026-05-15
1150415,塑膠工業,1310,台苯,5214000,0,5214000,14840632,0,14840632,-0.7196,-2.0481,474000,1349148,0,-724616,-1.37,-9.62,5278698.000000,依本公司章程規定辦理，尚屬合理。,2026-05-15
1150415,塑膠工業,1312,國喬,11793819,65260,11859079,15194169,65260,15259429,-0.2708,-0.3484,1694154,2179918,0,-4379888,-3.97,-13.26,11266203.000000,"1.依本公司章程第29條規定，應以不超過當年度獲利狀況之2%分派董事酬勞，本公司114年度虧損，未分派董事酬勞。
2.本公司董事報酬係依公司章程第27條「不論公司盈虧均應支付並授權董事會依同業通常之水準議定之」辦理。",2026-05-15
1150415,塑膠工業,1313,聯成,6244000,0,6244000,20090228,0,20090228,-0.4019,-1.2932,693778,2232248,0,-1553533,-1.17,-5.27,13308461.000000,"1.依本公司章程,係以當年度獲利扣除累積虧損後不高於1%提撥董事酬勞。
2.114年度虧損約新台幣15億6仟397萬元(稅前損失),故未提撥董事酬勞。",2026-05-15
1150415,塑膠工業,1314,中石化,23708300,0,23708300,23708300,0,23708300,-0.7992,-0.7992,2709520,2709520,3789245,-2966375,-0.78,-3.84,37848502.000000,依據本公司章程第32條規定，本公司年度如有獲利，應提撥百分之三為員工酬勞及不高於百分之二為董事酬勞。但公司尚有累積虧損時，應預先保留彌補數額。,2026-05-15
1150415,塑膠工業,1315,達新,5915000,780000,6695000,28588104,792013,29380117,+4.5319,+19.8874,743889,3264457,0,+147732,1.55,1.54,990990.000000,"1.董事酬勞依本公司章程規定，不得高於盈餘數之千分之五，依會計師查核後之稅前金額提例。
2.董事酬勞於115.2.24薪委會審議通過，115.3.12提交董事會決議通過。
3.本年度稅前淨利1億6,225萬較113年度減少9,976萬元，此差異係因114年營收增加6.31%;但營業外收入及支出減少1億4,868萬。",2026-05-15
1150415,塑膠工業,1321,大洋,2675000,2278737,4953737,7124244,2278737,9402981,-1.7978,-3.4125,495374,940298,0,-275549,-1.25,-4.69,2272283.000000,本公司董事酬金包括報酬、董事酬勞及業務執行費用，董事酬勞發放政策訂於公司章程內，由董事會決議董事酬勞分派案並提股東會報告，董事報酬由公司參酌營運情況提報薪資報酬委員會並經董事會決議通過，董事得支領車馬費由董事會議定之，並不論公司盈虧均應支付，兼任員工之董事得比照職工支給待遇，並授權董事會依同業通常水準支給議定之。,2026-05-15
1150415,塑膠工業,1323,永裕,2250000,378000,2628000,14638000,692000,15330000,+11.1422,+64.9962,238909,1393636,0,+23586,0.26,0.90,912745.000000,"1.董事酬金占稅後純益：113年2.11% ;114年11.14%，兩年度之比例差異主要係因稅後損益大幅下降，導致比例上升。
2.加計兼任員工酬金占稅後純益：113年8.01% ;114年65.00%，兩年度之比例差異主要係因稅後損益大幅下降，導致比例上升。",2026-05-15
1150415,塑膠工業,1324,地球,6807976,0,6807976,6807976,0,6807976,-11.1096,-11.1096,1361595,1361595,0,-61280,-0.82,-6.59,751219.000000,本公司114年度因稅後純損，故未提撥董事酬勞及員工酬勞；其董事報酬依本公司董事酬金辦法辦理。,2026-05-15
1150415,塑膠工業,1325,恆大,186000,0,186000,3436830,0,3436830,-0.3122,-5.7696,26571,490976,0,-59568,-0.70,-2.32,852812.000000,本公司章程規定董事酬勞為不高於獲利2.5%內提撥，因本公司民國114年度尚無獲利，故董事酬勞之金額為新台幣0元。,2026-05-15
1150415,塑膠工業,1326,台化,28444000,0,28444000,79055000,0,79055000,-0.4907,-1.3637,2370333,6587917,32042000,-5797137,-0.99,-1.68,58611863.000000,2025年董事酬金總額占稅後純益-1.3637%，與2024年度28.461%比較，主因2025年度稅後虧損所致。,2026-05-15
1150415,塑膠工業,1337,再生-KY,515538,0,515538,5034326,0,5034326,-0.1104,-1.0783,73648,719189,0,-466886,-1.74,-11.97,2689547.000000,"董事僅領車馬費與經營績效及未來風險並無關聯性。
另依據本公司章程，本年度公司為稅後純損，故不予以發放董事酬勞。",2026-05-15
1150415,塑膠工業,1340,勝悅-KY,965154,0,965154,8793616,0,8793616,-0.2423,-2.2072,137879,1256231,0,-398410,-2.61,-14.20,1529229.000000,本公司董事會(2026/3/12)決議擬不分配2025年度董監酬勞及員工酬勞。,2026-05-15
1150415,塑膠工業,1341,富林-KY,8977792,0,8977792,8977792,0,8977792,+4.5795,+4.5795,1496299,1496299,0,+196043,3.71,14.32,528506.000000,獨立董事及其他董事每月固定報酬以及業務執行費用為出席費。,2026-05-15
1150415,塑膠工業,4306,炎洲,839000,0,839000,11976000,474000,12450000,+0.4876,+7.2361,119857,1778571,0,+172055,0.26,1.95,6767572.000000,本公司董事酬金目前採定額方式與稅後損益並未有直接關聯性,2026-05-15
1150415,紡織纖維,1402,遠東新,6735859,143208080,149943939,156217916,146003413,302221329,+1.9149,+3.8595,9996263,20148089,149373342,+7830538,1.55,3.38,53528751.000000,"(1)董事酬勞均視每年度公司之獲利狀況並按本公司章程第26條規定不高於2.5%提撥，再依董事會所訂並經薪酬委員會通過之分配辦法發放。業務執行費用係採固定金額發放。其餘酬金則由公司視總體及各事業部之營運績效，於調查上市公司之薪資報酬水準，參酌專業顧問公司出具之市場薪資行情調查報告暨考量整體財務及經營環境風險後制訂。 
(2)前述配發之酬勞須提送薪酬委員會審議，並經董事會核議後提請股東會報告。",2026-05-15
1150415,紡織纖維,1409,新纖,6340304,0,6340304,20919286,193962,21113248,+0.3298,+1.0982,528359,1759437,0,+1922533,1.19,4.83,16184093.000000,本公司董事酬金係考量稅後純益之比例、經營績效與未來風險，所擬訂合理之酬金金額。,2026-05-15
1150415,紡織纖維,1410,南染,1760000,700000,2460000,5120000,700000,5820000,+6.7625,+15.9991,351429,831429,0,+36377,0.58,2.64,620000.000000,依章程明訂提撥比例發放，於合理範圍內給付。,2026-05-15
1150415,紡織纖維,1414,東和,4069130,1248003,5317133,5676255,1248003,6924258,+12.6010,+16.4097,759590,989180,0,+42196,0.19,1.39,1980000.000000,本公司董事酬勞數額參酌對公司營運狀況、經營績效、同業水準，經薪資報酬委員會審議並提請董事會議定。董事酬勞以不超過當年度獲利狀況之百分之五並經薪資報酬委員會審議，提請董事會決議分派。,2026-05-15
1150415,紡織纖維,1417,嘉裕,4257477,1018454,5275931,11338779,1116184,12454963,+4.4999,+10.6230,753704,1779280,0,+117245,0.62,5.03,1899419.000000,依公司章程第二十二條規定，公司年度如有獲利應提撥不高於1%為董事酬勞。,2026-05-15
1150415,紡織纖維,1418,東華,5969000,0,5969000,16596000,0,16596000,-8.5348,-23.7299,695688,1934266,0,-69937,-1.29,-5.52,568343.000000,本公司最近二年度未支付董事酬勞，酬勞部份為車馬費及董事兼任員工之薪資、獎金。,2026-05-15
1150415,紡織纖維,1419,新紡,1392000,26964000,28356000,32310730,32311271,64622001,+2.3054,+5.2538,4050857,9231714,0,+1229995,4.11,7.45,3000413.000000,本公司酬金發放，係考量稅後純益之比例、經營績效與未來風險，擬定合理之酬金金額。,2026-05-15
