出表日期,報告年度,公司代號,公司名稱,範疇一排放量(噸CO2e),範疇一資料邊界,範疇一取得驗證,範疇二排放量(噸CO2e),範疇二資料邊界,範疇二取得驗證,範疇三排放量(噸CO2e),範疇三資料邊界,範疇三取得驗證,溫室氣體排放密集度(噸CO2e/單位),date
1150513,113,1309,台達化,16989.1123,已完成合併財務報表之母子公司,是,60651.9858,已完成合併財務報表之母子公司,是,82509.4573,已完成合併財務報表之母子公司,否,4.3603,2026-05-15
1150513,113,1310,台苯,246659.3548,已完成母公司,是,28866.1004,已完成母公司,是,473564.6360,已完成母公司,是,24.1204,2026-05-15
1150513,113,1312,國喬,496229.9076,已完成合併財務報表之母子公司,是,3253.5360,已完成合併財務報表之母子公司,是,582561.2597,已完成母公司,是,29.7718,2026-05-15
1150513,113,1313,聯成,429447.3300,已完成合併財務報表之母子公司,是,277296.1100,已完成合併財務報表之母子公司,是,196408.2600,已完成母公司,是,9.6391,2026-05-15
1150513,113,1314,中石化,829293.8621,已完成合併財務報表之母子公司,是,214440.9490,已完成合併財務報表之母子公司,是,1356333.9186,已完成母公司,是,29.1150,2026-05-15
1150513,113,1315,達新,1264.8129,已完成合併財務報表之母子公司,是,2834.4722,已完成合併財務報表之母子公司,是,531.8696,已完成合併財務報表之母子公司,是,2.6200,2026-05-15
1150513,113,1316,上曜,19.8749,已完成母公司,否,47.0687,已完成母公司,否,12.4884,已完成母公司,否,0.3085,2026-05-15
1150513,113,1319,東陽,11445.1500,已完成母公司,否,49992.4400,已完成母公司,否,15184.5500,已完成母公司,否,3.8655,2026-05-15
1150513,113,1321,大洋,3155.0000,已完成母公司,否,41617.0000,已完成母公司,否,13588.0000,已完成母公司,否,0.4435,2026-05-15
1150513,113,1323,永裕,351.7200,已完成母公司,否,10621.0800,已完成母公司,否,N/A,N/A,否,7.3097,2026-05-15
1150513,113,1324,地球,3398.8934,已完成母公司,否,1709.2062,已完成母公司,否,2870.4445,已完成母公司,否,6.4252,2026-05-15
1150513,113,1325,恆大,N/A,N/A,否,N/A,N/A,否,N/A,N/A,否,N/A,2026-05-15
1150513,113,1326,台化,10858237.0000,已完成合併財務報表之母子公司,是,3212675.0000,已完成合併財務報表之母子公司,是,11518905.0000,已完成母公司,是,40.3631,2026-05-15
1150513,113,1337,再生-KY,N/A,N/A,否,N/A,N/A,否,N/A,N/A,否,N/A,2026-05-15
1150513,113,1338,廣華-KY,1043.4800,東莞廣澤汽車飾件有限公司,是,20030.1400,東莞廣澤汽車飾件有限公司,是,29435.5500,東莞廣澤汽車飾件有限公司,是,71.9600,2026-05-15
1150513,113,1339,昭輝,690.9844,已完成母公司,否,8679.5726,已完成母公司,否,N/A,N/A,否,6.1400,2026-05-15
1150513,113,1340,勝悅-KY,24.4200,已完成合併財務報表之母子公司,否,2790.0800,已完成合併財務報表之母子公司,否,N/A,N/A,否,0.9600,2026-05-15
1150513,113,1341,富林-KY,11258.6004,已完成合併財務報表之母子公司,否,19198.7597,已完成合併財務報表之母子公司,否,58503.4547,已完成合併財務報表之母子公司,否,10.9205,2026-05-15
1150513,113,1342,八貫,3511.1509,已完成母公司,是,4794.2048,已完成母公司,是,2176.8952,已完成母公司,是,N/A,2026-05-15
1150513,113,1402,遠東新,952646.0000,已完成合併財務報表之母子公司,是,1005663.0000,已完成合併財務報表之母子公司,是,12056943.0000,母公司及合併財務報告部分子公司（94家）,是,5.5100,2026-05-15
1150513,113,1409,新纖,109567.0000,"已完成母公司,已完成合併財務報表之母子公司",是,184971.0000,"已完成母公司,已完成合併財務報表之母子公司",是,N/A,N/A,否,12.5054,2026-05-15
1150513,113,1410,南染,52.7634,已完成合併財務報表之母子公司,否,1895.4780,已完成合併財務報表之母子公司,否,N/A,N/A,否,N/A,2026-05-15
1150513,113,1413,宏洲,12365.7963,"已完成母公司,已完成合併財務報表之母子公司,宏洲纖維工業股份有限公司桃園工廠",是,22966.1692,"已完成母公司,已完成合併財務報表之母子公司,宏洲纖維工業股份有限公司桃園工廠",是,N/A,N/A,否,15.3220,2026-05-15
1150513,113,1414,東和,48.7893,台北辦公室+麻豆廠區,是,9216.9641,台北辦公室+麻豆廠區,是,2005.7212,台北辦公室+麻豆廠區,是,21.5180,2026-05-15
1150513,113,1416,廣豐,43.5236,已完成合併財務報表之母子公司,否,230.2047,已完成合併財務報表之母子公司,否,134.2676,已完成合併財務報表之母子公司,否,1.2252,2026-05-15
1150513,113,1417,嘉裕,46.8156,已完成母公司,否,668.1400,已完成母公司,否,N/A,N/A,否,1.6139,2026-05-15
1150513,113,1418,東華,0.8370,水肥、天然氣(台北總公司+新竹廠區),否,182.4046,用電量(台北總公司+新竹廠區),否,N/A,N/A,否,17.8946,2026-05-15
1150513,113,1419,新紡,2558.6000,已完成母公司,是,17340.8000,已完成母公司,是,1314.2000,已完成母公司,是,4.9924,2026-05-15
1150513,113,1423,利華,N/A,N/A,否,N/A,N/A,否,N/A,N/A,否,0.0000,2026-05-15
