出表日期,公司代號,公司名稱,大股東名稱,date
1150514,1102,亞泥,遠東新世紀股份有限公司,2026-05-15
1150514,1103,嘉泥,嘉新國際股份有限公司,2026-05-15
1150514,1104,環泥,升元投資股份有限公司,2026-05-15
1150514,1104,環泥,宇聲投資股份有限公司,2026-05-15
1150514,1104,環泥,侯博義,2026-05-15
1150514,1108,幸福,長亨投資股份有限公司,2026-05-15
1150514,1109,信大,楊仁雄,2026-05-15
1150514,1109,信大,楊忠雄,2026-05-15
1150514,1109,信大,楊智雄,2026-05-15
1150514,1110,東泥,東樹投資股份有限公司,2026-05-15
1150514,1213,大飲,旭順食品股份有限公司,2026-05-15
1150514,1213,大飲,寶亞有限公司,2026-05-15
1150514,1215,卜蜂,泰商Charoen Pokphand Foods Public Company Limited,2026-05-15
1150514,1218,泰山,龍邦國際興業股份有限公司,2026-05-15
1150514,1225,福懋油,官耀,2026-05-15
1150514,1225,福懋油,興泰實業股份有限公司,2026-05-15
1150514,1227,佳格,佳捷投資股份有限公司受託信託財產專戶,2026-05-15
1150514,1227,佳格,曹德風,2026-05-15
1150514,1231,聯華食,國衡投資有限公司,2026-05-15
1150514,1231,聯華食,鑫德投資有限公司,2026-05-15
1150514,1232,大統益,泰華油脂工業股份有限公司,2026-05-15
1150514,1232,大統益,統一企業股份有限公司,2026-05-15
1150514,1233,天仁,天欣投資股份有限公司,2026-05-15
1150514,1233,天仁,天福投資股份有限公司,2026-05-15
1150514,1235,興泰,同安化工企業股份有限公司,2026-05-15
1150514,1235,興泰,安鼎投資股份有限公司,2026-05-15
1150514,1235,興泰,美安生化科技股份有限公司,2026-05-15
1150514,1236,宏亞,承添投資股份有限公司,2026-05-15
1150514,1236,宏亞,禮坊投資股份有限公司,2026-05-15
1150514,1256,鮮活果汁-KY,林麗玲,2026-05-15
1150514,1256,鮮活果汁-KY,黃國晃,2026-05-15
1150514,1303,南亞,長庚醫療財團法人,2026-05-15
1150514,1304,台聚,香港商誠利置業有限公司,2026-05-15
1150514,1305,華夏,聯聚國際投資股份有限公司,2026-05-15
1150514,1307,三芳,寶建企業股份有限公司,2026-05-15
