出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註,date
1150514,11504,1312,國喬,塑膠工業,2489487,3110910,2633140,-19.975601994271774,-5.455577751277942,9994986,8330586,19.97938680424162,-,2026-05-15
1150514,11504,1313,聯成,塑膠工業,5878672,6489125,5570919,-9.40732379172847,5.524277053750018,20352465,20073030,1.3920917768767347,-,2026-05-15
1150514,11504,1314,中石化,塑膠工業,1556459,1404411,1736545,10.826460345297779,-10.370361839169155,5648803,8239814,-31.445018055019204,-,2026-05-15
1150514,11504,1315,達新,塑膠工業,131514,127113,153227,3.462273724953388,-14.170479093110222,529191,694410,-23.79271611871949,-,2026-05-15
1150514,11504,1316,上曜,建材營造,683935,655761,317381,4.29638237101627,115.49336601749947,2571264,1092792,135.29308413677992,主因子公司營收上升，致本月及本年度營收較去年同期增加。,2026-05-15
1150514,11504,1319,東陽,汽車工業,2009033,2045347,2339128,-1.7754444600353876,-14.111882718688332,7639777,9629808,-20.66532375308002,-,2026-05-15
1150514,11504,1321,大洋,塑膠工業,352112,372645,317330,-5.510069905674301,10.960829420477106,1248766,1317241,-5.198365371257044,-,2026-05-15
1150514,11504,1323,永裕,塑膠工業,186584,203039,177544,-8.104354335866509,5.091695579687289,718177,704597,1.9273428640769121,-,2026-05-15
1150514,11504,1324,地球,塑膠工業,51218,72918,67590,-29.759455827093447,-24.222518123982837,221011,252354,-12.420250917362118,-,2026-05-15
1150514,11504,1325,恆大,塑膠工業,24465,18082,28246,35.30029863953103,-13.385966154499751,81704,110482,-26.0476819753444,-,2026-05-15
1150514,11504,1326,台化,塑膠工業,32101065,33728547,25033602,-4.825236023360271,28.231906059703274,113850876,103942991,9.532037614734408,-,2026-05-15
1150514,11504,1337,再生-KY,塑膠工業,42068,61900,61260,-32.03877221324717,-31.328762650995756,194412,243791,-20.254644347002145,-,2026-05-15
1150514,11504,1338,廣華-KY,汽車工業,458159,454244,408670,0.8618715932406372,12.109770719651552,1622827,1704158,-4.772503488526299,-,2026-05-15
1150514,11504,1339,昭輝,汽車工業,141125,139986,156836,0.8136527938508137,-10.017470478716621,535361,651656,-17.84607216077194,-,2026-05-15
1150514,11504,1340,勝悅-KY,塑膠工業,5277,3438,28106,53.49040139616056,-81.22464954102327,16712,89159,-81.2559584562411,由於受市場低迷影響，EVO膠粒銷售持續虧損，故公司調整營運，並暫停該車間生產營運，致營收下滑。,2026-05-15
1150514,11504,1341,富林-KY,塑膠工業,265857,308343,225185,-13.778811258890261,18.061593800652798,946768,915235,3.4453446382623043,-,2026-05-15
1150514,11504,1342,八貫,其他,349263,370828,241671,-5.815364535579837,44.520029296026415,1266547,1020561,24.10301784998643,-,2026-05-15
1150514,11504,1402,遠東新,紡織纖維,22888480,21386882,20017785,7.0211169631926715,14.340722512505755,84165299,83821334,0.41035495808262845,-,2026-05-15
1150514,11504,1409,新纖,紡織纖維,4079327,3945363,3262094,3.3954797061765927,25.052404988942687,14127225,13804256,2.339633515924364,-,2026-05-15
1150514,11504,1410,南染,紡織纖維,23107,23195,20489,-0.3793921103686139,12.777587974034848,73397,71254,3.0075504533078843,-,2026-05-15
1150514,11504,1413,宏洲,紡織纖維,224009,187414,225307,19.526289391400855,-0.5761028285849974,661921,825269,-19.79330375913793,-,2026-05-15
1150514,11504,1414,東和,紡織纖維,46218,39742,47474,16.295103417039908,-2.6456586763280954,159670,180775,-11.674733785091965,-,2026-05-15
1150514,11504,1416,廣豐,其他,33560,35188,26526,-4.626577242241673,26.51737917514891,139850,108719,28.634369337466314,-,2026-05-15
1150514,11504,1417,嘉裕,紡織纖維,22012,20338,21620,8.230897826728292,1.81313598519889,95821,76762,24.828691279539356,-,2026-05-15
1150514,11504,1418,東華,紡織纖維,554,17,348,3158.823529411765,59.195402298850574,1202,3188,-62.2961104140527,配合客戶生產線出貨。,2026-05-15
1150514,11504,1419,新紡,紡織纖維,402039,563421,287707,-28.643234810204092,39.7390400650662,1855086,1351468,37.26451532703697,-,2026-05-15
1150514,11504,1423,利華,紡織纖維,4165,7995,6308,-47.904940587867415,-33.97273303741281,35398,34697,2.0203475804824627,-,2026-05-15
1150514,11504,1432,大魯閣,運動休閒,66522,60006,110483,10.858914108589142,-39.789831919842875,264607,445672,-40.62741208781346,-,2026-05-15
1150514,11504,1434,福懋,紡織纖維,2584621,2682740,2724072,-3.657417416521914,-5.11921123964418,9563942,10411845,-8.143638327308945,-,2026-05-15
1150514,11504,1435,中福,其他,499,498,499,0.20080321285140562,0.0,1994,1994,0.0,-,2026-05-15
1150514,11504,1436,華友聯,建材營造,53737,36383,72020,47.698100761344584,-25.386003887808943,126362,383152,-67.02039921493298,累計營收較去年同期減少，係今年交屋數量較去年同期減少所致。,2026-05-15
1150514,11504,1437,勤益控,其他,57062,53168,68043,7.323954258200422,-16.138324294931145,230849,259126,-10.91245185739756,-,2026-05-15
1150514,11504,1438,三地開發,建材營造,11986,197558,0,-93.93292096498243,,389463,241,161502.90456431537,因本年已有建案完工交屋，故營收變化大。,2026-05-15
1150514,11504,1439,雋揚,建材營造,5530,66333,4577,-91.66327468982256,20.821498798339523,81442,140974,-42.22906351525813,-,2026-05-15
1150514,11504,1440,南紡,紡織纖維,1026701,1404035,1226509,-26.874971065536116,-16.290789549852466,4399358,5418878,-18.814226856555916,-,2026-05-15
1150514,11504,1441,大東,紡織纖維,131682,114577,129268,14.928825156881398,1.8674381904260915,420816,532394,-20.957786902181468,-,2026-05-15
1150514,11504,1442,名軒,建材營造,74336,79389,313967,-6.364861630704506,-76.3236263683763,376412,1690139,-77.72893235408449,本月認收6戶，去年同期認收28戶；本年累計認收32戶，去年累計認收146戶，故兩期差異大。,2026-05-15
1150514,11504,1443,立益物流,其他,80482,73698,84349,9.205134467692474,-4.584523823637506,307233,337603,-8.995773141826346,-,2026-05-15
1150514,11504,1444,力麗,紡織纖維,623269,950193,570729,-34.40606276830076,9.205770164123429,2765932,2502900,10.509089456230772,-,2026-05-15
1150514,11504,1445,大宇,紡織纖維,24372,52314,67973,-53.41208854226402,-64.14458682123785,195426,268396,-27.18743945513346,受中東戰爭影響，出貨減少,2026-05-15
1150514,11504,1446,宏和,紡織纖維,62952,97846,384531,-35.66216299082231,-83.62888817806626,243645,678443,-64.08762416297316,本期營建銷售戶數減少,2026-05-15
1150514,11504,1447,力鵬,紡織纖維,3258891,3871493,2550232,-15.823404562529236,27.78802085457323,11330489,9487783,19.421881803156754,-,2026-05-15
1150514,11504,1449,佳和,紡織纖維,377317,280131,215009,34.693054321014095,75.4889330214084,1169707,864120,35.36395408045179,營收回穩及合併子公司營收,2026-05-15
1150514,11504,1451,年興,紡織纖維,513372,518409,535184,-0.9716266500002894,-4.0756076414840505,2041376,1885929,8.242462998341932,-,2026-05-15
1150514,11504,1452,宏益,紡織纖維,147537,161166,131672,-8.456498268865642,12.04887903274804,475874,481767,-1.223205408423574,-,2026-05-15
