出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,空格,貼現及放款－淨額,再保險合約資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,使用權資產－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,date
1150430,114,4,5868,臺灣金控,109813367.00,527105747.00,630373258.00,1616102889.00,609910326.00,0.00,3995365.00,79769076.00,3287641.00,,,3445364208.00,56280.00,59778519.00,,39004458.00,24440506.00,141897571.00,1515348.00,1671314.00,1451442.00,40038842.00,7335576157.00,289130393.00,1373407.00,25566398.00,,10295693.00,609386.00,70268044.00,2318532.00,,5181983303.00,2999676.00,,,1165585068.00,18972065.00,1448788.00,19373544.00,8048242.00,6797972539.00,103125000.00,140262195.00,175763597.00,118452826.00,0.00,0.00,537603618.00,0.00,537603618.00,0.00,0.00,0.00,52.13,2026-05-15
1150430,114,4,5868,臺灣金控,109813367.00,527105747.00,630373258.00,1616102889.00,609910326.00,0.00,3995365.00,79769076.00,3287641.00,,,3445364208.00,56280.00,59778519.00,,39004458.00,24440506.00,141897571.00,1515348.00,1671314.00,1451442.00,40038842.00,7335576157.00,289130393.00,1373407.00,25566398.00,,10295693.00,609386.00,70268044.00,2318532.00,,5181983303.00,2999676.00,,,1165585068.00,18972065.00,1448788.00,19373544.00,8048242.00,6797972539.00,103125000.00,140262195.00,175763597.00,118452826.00,0.00,0.00,537603618.00,0.00,537603618.00,0.00,0.00,0.00,52.13,2026-05-15
1150430,114,4,5868,臺灣金控,109813367.00,527105747.00,630373258.00,1616102889.00,609910326.00,0.00,3995365.00,79769076.00,3287641.00,,,3445364208.00,56280.00,59778519.00,,39004458.00,24440506.00,141897571.00,1515348.00,1671314.00,1451442.00,40038842.00,7335576157.00,289130393.00,1373407.00,25566398.00,,10295693.00,609386.00,70268044.00,2318532.00,,5181983303.00,2999676.00,,,1165585068.00,18972065.00,1448788.00,19373544.00,8048242.00,6797972539.00,103125000.00,140262195.00,175763597.00,118452826.00,0.00,0.00,537603618.00,0.00,537603618.00,0.00,0.00,0.00,52.13,2026-05-17
1150430,114,4,5868,臺灣金控,109813367.00,527105747.00,630373258.00,1616102889.00,609910326.00,0.00,3995365.00,79769076.00,3287641.00,,,3445364208.00,56280.00,59778519.00,,39004458.00,24440506.00,141897571.00,1515348.00,1671314.00,1451442.00,40038842.00,7335576157.00,289130393.00,1373407.00,25566398.00,,10295693.00,609386.00,70268044.00,2318532.00,,5181983303.00,2999676.00,,,1165585068.00,18972065.00,1448788.00,19373544.00,8048242.00,6797972539.00,103125000.00,140262195.00,175763597.00,118452826.00,0.00,0.00,537603618.00,0.00,537603618.00,0.00,0.00,0.00,52.13,2026-05-17
1150430,114,4,5868,臺灣金控,109813367.00,527105747.00,630373258.00,1616102889.00,609910326.00,0.00,3995365.00,79769076.00,3287641.00,,,3445364208.00,56280.00,59778519.00,,39004458.00,24440506.00,141897571.00,1515348.00,1671314.00,1451442.00,40038842.00,7335576157.00,289130393.00,1373407.00,25566398.00,,10295693.00,609386.00,70268044.00,2318532.00,,5181983303.00,2999676.00,,,1165585068.00,18972065.00,1448788.00,19373544.00,8048242.00,6797972539.00,103125000.00,140262195.00,175763597.00,118452826.00,0.00,0.00,537603618.00,0.00,537603618.00,0.00,0.00,0.00,52.13,2026-05-18
