出表日期,年度,季別,公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),date
1150515,115,1,1459,聯發,231.16,18.88,10.51,9.08,4.18,2026-05-15
1150515,115,1,1460,宏遠,1697.87,17.68,0.70,1.43,0.78,2026-05-15
1150515,115,1,1463,強盛新,62.82,17.06,-9.15,4.93,-3.96,2026-05-15
1150515,115,1,1464,得力,2987.88,20.88,3.52,5.53,4.15,2026-05-15
1150515,115,1,1465,偉全,98.48,2.36,-13.75,9.26,28.52,2026-05-15
1150515,115,1,1466,聚隆,547.83,12.64,1.54,3.47,3.88,2026-05-15
1150515,115,1,1467,南緯,1182.47,19.76,0.55,3.65,2.34,2026-05-15
1150515,115,1,1468,昶和,127.63,25.90,5.37,29.44,21.41,2026-05-15
1150515,115,1,1470,大統新創,191.31,26.99,12.27,17.35,13.94,2026-05-15
1150515,115,1,1471,首利,22.01,-20.25,-144.45,-17.30,-17.30,2026-05-15
1150515,115,1,1472,三洋實業,914.32,14.67,11.64,12.02,10.23,2026-05-15
1150515,115,1,1473,台南,1959.15,18.38,5.27,6.26,5.12,2026-05-15
1150515,115,1,1474,弘裕,691.03,10.90,-0.76,1.45,1.45,2026-05-15
1150515,115,1,1475,業旺,347.97,17.89,12.19,20.82,16.64,2026-05-15
1150515,115,1,1476,儒鴻,9621.07,32.17,22.81,23.81,19.07,2026-05-15
1150515,115,1,1477,聚陽,8896.99,26.14,15.48,15.25,12.11,2026-05-15
1150515,115,1,1504,東元,14235.19,23.48,8.28,11.11,8.70,2026-05-15
1150515,115,1,1506,正道,290.13,17.44,2.13,2.31,1.83,2026-05-15
1150515,115,1,1513,中興電,6490.64,25.98,18.54,18.77,14.79,2026-05-15
1150515,115,1,1514,亞力,2526.34,17.57,8.36,9.79,7.93,2026-05-15
1150515,115,1,1515,力山,1050.35,14.74,-0.43,1.41,1.10,2026-05-15
1150515,115,1,1516,川飛,26.22,6.11,-8.83,-7.97,-7.96,2026-05-15
