Code,Name,TradeVolume,Transaction,TradeValue,TradePrice,BestBidPrice,BestBidVolume,BestAskPrice,BestAskVolume,date
00693U,期街口S&P黃豆,,,,,22.7600,5097,22.9500,114,2026-05-15
00700,富邦恒生國企,,,,,17.8500,5278,17.9400,1636,2026-05-15
00701,國泰股利精選30,90,3,2866,31.8500,31.8500,2071,31.8800,1689,2026-05-15
00702,國泰標普低波高息,,,,,23.7000,5215,23.8200,2958,2026-05-15
00703,台新MSCI中國,,,,,20.5300,4359,20.6900,1957,2026-05-15
00706L,期元大S&P日圓正2,250,5,4881,19.5300,19.5300,12472,19.5800,2221,2026-05-15
00707R,期元大S&P日圓反1,,,,,30.0000,299,,,2026-05-15
00708L,期元大S&P黃金正2,445,17,43165,97.0000,96.9500,2948,97.0000,3633,2026-05-15
00709,富邦歐洲,,,,,38.2100,2431,38.4900,1332,2026-05-15
00710B,復華彭博非投等債,,,,,18.8000,2606,18.8600,2848,2026-05-15
00711B,復華彭博新興債,,,,,15.9500,5304,16.0100,3302,2026-05-15
00712,復華富時不動產,5602,47,49846,8.9000,8.8900,35507,8.9000,238520,2026-05-15
00713,元大台灣高息低波,6388,47,354526,55.5000,55.4500,4873,55.5000,17266,2026-05-15
00714,群益道瓊美國地產,269,2,5788,21.5200,21.5200,2347,21.5500,584,2026-05-15
00715L,期街口布蘭特正2,3337,15,212729,63.7500,63.6500,3012,63.7500,38941,2026-05-15
00717,富邦美國特別股,599,3,9074,15.1500,15.1200,7708,15.1500,7075,2026-05-15
00728,第一金工業30,30,2,1753,58.4500,58.4500,2467,58.5000,295,2026-05-15
00730,富邦臺灣優質高息,462,4,12398,26.8400,26.8400,2821,26.8500,2193,2026-05-15
00731,復華富時高息低波,411,5,30802,74.9500,74.9500,5970,75.1000,2489,2026-05-15
00733,富邦臺灣中小,886,13,61041,68.9000,68.9000,3515,68.9500,3386,2026-05-15
00735,國泰臺韓科技,1457,14,146426,100.5000,100.5000,8402,100.9500,1149,2026-05-15
00736,國泰新興市場,433,3,13206,30.5000,30.4500,6514,30.5000,3639,2026-05-15
00737,國泰AI機器人,380,6,14000,36.8500,36.8500,4587,37.0000,3908,2026-05-15
00738U,期元大道瓊白銀,2531,28,178043,70.3500,70.3000,2824,70.3500,4178,2026-05-15
00739,元大MSCI A股,,,,,29.1600,2725,29.5500,1353,2026-05-15
00752,中信中國50,524,5,12857,24.5400,24.5000,4643,24.5400,53267,2026-05-15
00753L,中信中國50正2,10,1,109,10.9600,10.9500,3618,10.9600,80586,2026-05-15
00757,統一FANG+,1439,43,185631,129.0000,128.9500,3166,129.0000,5205,2026-05-15
00762,元大全球AI,874,8,96356,110.2500,110.1000,1773,110.2500,3421,2026-05-15
00763U,期街口道瓊銅,21,3,740,35.3200,35.3200,4596,35.3500,1045,2026-05-15
00770,國泰北美科技,513,13,33189,64.7000,64.4000,3097,64.7000,1302,2026-05-15
00771,元大US高息特別股,68,1,1096,16.1200,16.1000,2381,16.1200,359,2026-05-15
00775B,新光投等債15+,,,,,32.0300,8191,32.3000,2365,2026-05-15
