Date,Code,Name,Suspension,date
1150515,00885,富邦越南,,2026-05-15
1150515,00891,中信關鍵半導體,Y,2026-05-15
1150515,00892,富邦台灣半導體,,2026-05-15
1150515,00893,國泰智能電動車,,2026-05-15
1150515,00894,中信小資高價30,Y,2026-05-15
1150515,00895,富邦未來車,,2026-05-15
1150515,00896,中信綠能及電動車,,2026-05-15
1150515,00897,富邦基因免疫生技,,2026-05-15
1150515,00898,國泰基因免疫革命,,2026-05-15
1150515,00899,FT潔淨能源,,2026-05-15
1150515,00900,富邦特選高股息30,Y,2026-05-15
1150515,00901,永豐智能車供應鏈,,2026-05-15
1150515,00902,中信電池及儲能,,2026-05-15
1150515,00903,富邦元宇宙,,2026-05-15
1150515,00904,新光臺灣半導體30,,2026-05-15
1150515,00905,FT臺灣SMART,,2026-05-15
1150515,00907,永豐優息存股,,2026-05-15
1150515,00908,富邦入息REITs+,,2026-05-15
1150515,00909,國泰數位支付服務,,2026-05-15
1150515,00910,第一金太空衛星,,2026-05-15
1150515,00911,兆豐洲際半導體,,2026-05-15
1150515,00912,中信臺灣智慧50,,2026-05-15
1150515,00913,兆豐台灣晶圓製造,,2026-05-15
1150515,00915,凱基優選高股息30,,2026-05-15
1150515,00916,國泰全球品牌50,,2026-05-15
1150515,00917,中信特選金融,,2026-05-15
1150515,00918,大華優利高填息30,,2026-05-15
1150515,00919,群益台灣精選高息,,2026-05-15
1150515,00920,富邦ESG綠色電力,,2026-05-15
1150515,00921,兆豐龍頭等權重,,2026-05-15
1150515,00922,國泰台灣領袖50,,2026-05-15
1150515,00923,群益台ESG低碳50,,2026-05-15
1150515,00924,復華S&P500成長,,2026-05-15
1150515,00926,凱基全球菁英55,,2026-05-15
1150515,00927,群益半導體收益,,2026-05-15
1150515,00929,復華台灣科技優息,Y,2026-05-15
1150515,00930,永豐ESG低碳高息,,2026-05-15
1150515,00932,兆豐永續高息等權,Y,2026-05-15
1150515,00934,中信成長高股息,Y,2026-05-15
1150515,00935,野村臺灣新科技50,,2026-05-15
1150515,00936,台新永續高息中小,Y,2026-05-15
1150515,00938,凱基優選30,Y,2026-05-15
1150515,00939,統一台灣高息動能,,2026-05-15
1150515,00940,元大台灣價值高息,,2026-05-15
1150515,00941,中信上游半導體,,2026-05-15
1150515,00943,兆豐電子高息等權,Y,2026-05-15
1150515,00944,野村趨勢動能高息,Y,2026-05-15
1150515,00945B,凱基美國非投等債,Y,2026-05-15
1150515,00946,群益科技高息成長,,2026-05-15
1150515,00947,台新臺灣IC設計,,2026-05-15
1150515,00949,復華日本龍頭,,2026-05-15
1150515,00951,台新日本半導體,,2026-05-15
1150515,00952,凱基台灣AI50,Y,2026-05-15
1150515,00953B,群益優選非投等債,,2026-05-15
1150515,00954,中信日本半導體,,2026-05-15
1150515,00956,中信日經高股息,,2026-05-15
1150515,00960,野村全球航運龍頭,,2026-05-15
1150515,00961,FT臺灣永續高息,Y,2026-05-15
1150515,00962,台新AI優息動能,Y,2026-05-15
1150515,00963,中信全球高股息,Y,2026-05-15
1150515,00964,中信亞太高股息,Y,2026-05-15
1150515,00965,元大航太防衛科技,,2026-05-15
1150515,00971,野村美國研發龍頭,,2026-05-15
1150515,00972,野村日本動能高息,,2026-05-15
1150515,009800,中信NASDAQ,,2026-05-15
1150515,009801,中信美國創新科技,,2026-05-15
1150515,009802,富邦旗艦50,,2026-05-15
1150515,009803,玉山市值動能50,,2026-05-15
1150515,009804,聯邦台精彩50,,2026-05-15
1150515,009805,新光美國電力基建,,2026-05-15
1150515,009808,華南永昌優選50,Y,2026-05-15
1150515,009809,富邦淨零ESG50,,2026-05-15
1150515,00980A,主動野村臺灣優選,Y,2026-05-15
1150515,009810,玉山全球藍籌100,,2026-05-15
1150515,009811,統一美國50,,2026-05-15
1150515,009812,野村日本東證,,2026-05-15
1150515,009813,貝萊德標普卓越50,,2026-05-15
1150515,009816,凱基台灣TOP50,,2026-05-15
1150515,009817,國泰日本不動產,,2026-05-15
1150515,009818,華南永昌NASDAQxT,,2026-05-15
1150515,009819,中信數據及電力,,2026-05-15
1150515,00981A,主動統一台股增長,,2026-05-15
1150515,00981T,平衡凱基雙核收息,Y,2026-05-15
1150515,009820,元大納斯達克精選,,2026-05-15
1150515,00982A,主動群益台灣強棒,Y,2026-05-15
1150515,00982D,主動富邦動態入息,Y,2026-05-15
1150515,00982T,平衡兆豐台美動能,,2026-05-15
1150515,00983A,主動中信ARK創新,,2026-05-15
1150515,00983D,主動富邦複合收益,Y,2026-05-15
1150515,00984A,主動安聯台灣高息,,2026-05-15
1150515,00984D,主動聯博全球非投,,2026-05-15
1150515,00985A,主動野村台灣50,,2026-05-15
1150515,00985B,群益ESG投等債0-5,,2026-05-15
1150515,00986A,主動台新龍頭成長,,2026-05-15
1150515,00987A,主動台新優勢成長,,2026-05-15
1150515,00988A,主動統一全球創新,,2026-05-15
1150515,00989A,主動摩根美國科技,,2026-05-15
1150515,00990A,主動元大AI新經濟,,2026-05-15
1150515,00991A,主動復華未來50,,2026-05-15
1150515,00992A,主動群益科技創新,,2026-05-15
1150515,00993A,主動安聯台灣,,2026-05-15
1150515,00994A,主動第一金台股優,,2026-05-15
1150515,00995A,主動中信台灣卓越,,2026-05-15
1150515,00996A,主動兆豐台灣豐收,,2026-05-15
1150515,00997A,主動群益美國增長,,2026-05-15
1150515,00999A,主動野村臺灣高息,,2026-05-15
1150515,1101,台泥,,2026-05-15
1150515,1102,亞泥,,2026-05-15
1150515,1103,嘉泥,,2026-05-15
1150515,1104,環泥,,2026-05-15
1150515,1108,幸福,,2026-05-15
1150515,1109,信大,,2026-05-15
1150515,1110,東泥,,2026-05-15
1150515,1201,味全,,2026-05-15
1150515,1203,味王,,2026-05-15
1150515,1210,大成,,2026-05-15
1150515,1215,卜蜂,,2026-05-15
1150515,1216,統一,,2026-05-15
1150515,1217,愛之味,,2026-05-15
1150515,1218,泰山,,2026-05-15
1150515,1219,福壽,,2026-05-15
1150515,1220,台榮,,2026-05-15
1150515,1225,福懋油,,2026-05-15
1150515,1227,佳格,,2026-05-15
1150515,1229,聯華,,2026-05-15
1150515,1231,聯華食,,2026-05-15
1150515,1232,大統益,,2026-05-15
1150515,1233,天仁,,2026-05-15
1150515,1234,黑松,,2026-05-15
