TWSECode,TWSEAvailableVolume,GRETAICode,GRETAIAvailableVolume,date
00902,"992,337",1591,"427,476",2026-05-15
00903,"203,315",1593,"10,008",2026-05-15
00904,"1,752,001",1595,"958,611",2026-05-15
00905,"811,162",1599,"12,469",2026-05-15
00907,"460,451",1742,"10,245",2026-05-15
00908,"63,393",1777,"8,217",2026-05-15
00909,"1,689,442",1781,"13,902",2026-05-15
00910,"900,307",1784,"58,260",2026-05-15
00911,"181,183",1785,"9,038,702",2026-05-15
00912,"378,597",1788,"9,419",2026-05-15
00913,"309,031",1796,"8,307",2026-05-15
00915,"2,968,475",1813,"12,820",2026-05-15
00916,"134,040",1815,"4,545,149",2026-05-15
00917,"333,720",2061,"237,185",2026-05-15
00918,"10,044,615",2063,"9,054",2026-05-15
00919,"41,573,396",2064,"13,657",2026-05-15
00920,"174,629",2065,"39,327",2026-05-15
00921,"172,369",2066,"18,554",2026-05-15
00922,"6,254,323",2070,"407,169",2026-05-15
00923,"2,120,388",2221,"201,051",2026-05-15
00924,"860,609",2230,"150,862",2026-05-15
00926,"321,252",2235,"3,070",2026-05-15
00927,"8,924,139",2596,"37,586",2026-05-15
00929,"19,630,620",2640,"27,103",2026-05-15
00930,"893,286",2641,"476,233",2026-05-15
00932,"725,108",2643,"8,634",2026-05-15
00934,"1,500,747",2718,"16,912",2026-05-15
00935,"3,637,561",2719,"10,337",2026-05-15
00936,"1,771,813",2726,"34,397",2026-05-15
00938,"369,834",2729,"8,055",2026-05-15
00939,"3,320,925",2732,"15,515",2026-05-15
00940,"28,727,899",2734,"45,018",2026-05-15
00941,"847,636",2736,"44,598",2026-05-15
00943,"141,292",2743,"48,632",2026-05-15
00944,"392,070",2745,"83,066",2026-05-15
00945B,"1,810,417",2751,"6,436",2026-05-15
00946,"2,686,587",2754,"12,075",2026-05-15
00947,"2,412,744",2755,"17,683",2026-05-15
00949,"418,203",2756,"11,063",2026-05-15
00951,"944,939",2916,"30,699",2026-05-15
00952,"1,179,250",2926,"6,961",2026-05-15
00953B,"9,904,539",3066,"235,305",2026-05-15
00954,"764,355",3071,"406,227",2026-05-15
00956,"163,110",3073,"37,470",2026-05-15
00960,"243,088",3078,"327,156",2026-05-15
00961,"1,179,692",3081,"1,066,057",2026-05-15
00962,"219,182",3083,"37,466",2026-05-15
00963,"321,050",3086,"306,979",2026-05-15
00964,"779,554",3088,"584,374",2026-05-15
00965,"2,172,005",3093,"1,298,382",2026-05-15
00971,"274,339",3095,"15,621",2026-05-15
00972,"67,114",3105,"11,233,334",2026-05-15
009800,"736,516",3114,"38,778",2026-05-15
009801,"499,585",3118,"7,527",2026-05-15
009802,"2,392,747",3122,"299,198",2026-05-15
009803,"629,222",3128,"42,204",2026-05-15
009804,"744,547",3131,"306,329",2026-05-15
009805,"4,054,970",3141,"488,523",2026-05-15
009808,"237,983",3147,"105,839",2026-05-15
009809,"303,378",3152,"581,607",2026-05-15
00980A,"4,949,886",3162,"2,262,347",2026-05-15
009810,"68,307",3163,"985,344",2026-05-15
009811,"1,233,630",3169,"245,658",2026-05-15
009812,"352,047",3171,"41,968",2026-05-15
009813,"1,914,531",3176,"146,325",2026-05-15
009816,"65,140,269",3178,"108,429",2026-05-15
009817,"929,611",3188,"134,834",2026-05-15
009818,"580,615",3205,"235,387",2026-05-15
009819,"19,527,784",3206,"94,661",2026-05-15
00981A,"134,955,969",3207,"106,209",2026-05-15
00981T,"1,104,261",3211,"1,423,202",2026-05-15
009820,"14,357,796",3213,"144,479",2026-05-15
00982A,"16,466,723",3217,"506,132",2026-05-15
00982D,"462,185",3218,"106,198",2026-05-15
00982T,"483,691",3219,"184,330",2026-05-15
00983A,"1,375,808",3221,"2,850,750",2026-05-15
00983D,"405,696",3224,"126,085",2026-05-15
00984A,"4,227,430",3226,"17,868",2026-05-15
00984D,"2,108,207",3227,"687,778",2026-05-15
00985A,"3,062,678",3228,"337,543",2026-05-15
00985B,"2,487,266",3230,"221,564",2026-05-15
00986A,"263,259",3232,"19,047",2026-05-15
00987A,"3,120,204",3236,"1,943,002",2026-05-15
00988A,"19,496,842",3252,"12,830",2026-05-15
00989A,"886,182",3260,"373,883",2026-05-15
00990A,"10,225,296",3264,"5,425,684",2026-05-15
00991A,"25,039,858",3265,"1,236,092",2026-05-15
00992A,"47,678,871",3268,"69,483",2026-05-15
00993A,"7,956,948",3272,"70,661",2026-05-15
00994A,"5,692,837",3276,"158,160",2026-05-15
00995A,"3,641,144",3284,"67,377",2026-05-15
00996A,"6,570,887",3285,"6,492",2026-05-15
00997A,"16,148,006",3287,"58,576",2026-05-15
00999A,"60,759,570",3289,"1,526,725",2026-05-15
1101,"9,069,793",3290,"329,409",2026-05-15
1102,"2,908,396",3293,"509,567",2026-05-15
1103,"97,965",3294,"184,792",2026-05-15
1104,"211,511",3297,"46,715",2026-05-15
1108,"94,511",3303,"134,959",2026-05-15
1109,"51,485",3306,"58,585",2026-05-15
1110,"61,640",3310,"40,358",2026-05-15
1201,"141,711",3317,"1,464,966",2026-05-15
1203,"10,554",3322,"402,723",2026-05-15
1210,"676,602",3323,"449,199",2026-05-15
1215,"406,761",3324,"1,560,823",2026-05-15
1216,"3,854,242",3332,"9,809",2026-05-15
1217,"191,836",3339,"1,690,969",2026-05-15
1218,"224,961",3354,"543,912",2026-05-15
1219,"197,542",3357,"1,237,077",2026-05-15
1220,"37,357",3360,"255,837",2026-05-15
1227,"313,617",3362,"332,466",2026-05-15
1229,"892,291",3363,"955,694",2026-05-15
1231,"104,488",3373,"20,362",2026-05-15
1232,"26,379",3374,"3,993,983",2026-05-15
1233,"5,875",3379,"134,990",2026-05-15
1234,"50,578",3388,"627,327",2026-05-15
1235,"18,369",3390,"631,319",2026-05-15
1236,"16,566",3402,"415,037",2026-05-15
1256,"27,768",3430,"804,447",2026-05-15
1301,"8,923,995",3434,"39,659",2026-05-15
1303,"26,512,500",3438,"151,025",2026-05-15
1304,"6,421,383",3441,"228,507",2026-05-15
1305,"3,950,535",3444,"261,513",2026-05-15
1307,"296,280",3455,"1,053,431",2026-05-15
1308,"3,120,041",3465,"11,229",2026-05-15
1309,"6,663,845",3466,"290,649",2026-05-15
1310,"2,379,484",3467,"143,631",2026-05-15
1312,"3,870,374",3479,"146,007",2026-05-15
1313,"1,847,920",3483,"457,461",2026-05-15
1314,"6,820,882",3484,"88,392",2026-05-15
1315,"10,913",3489,"40,986",2026-05-15
1316,"670,272",3490,"706,282",2026-05-15
1319,"895,254",3491,"671,367",2026-05-15
1321,"70,684",3492,"30,134",2026-05-15
1323,"129,928",3498,"1,275,641",2026-05-15
1324,"107,046",3511,"194,831",2026-05-15
1325,"97,951",3512,"24,548",2026-05-15
1326,"11,354,535",3516,"53,627",2026-05-15
1337,"212,693",3520,"78,537",2026-05-15
1338,"64,123",3521,"36,135",2026-05-15
1339,"33,737",3526,"381,161",2026-05-15
1340,"78,971",3527,"106,963",2026-05-15
1342,"141,785",3529,"323,017",2026-05-15
1402,"4,341,072",3531,"5,032",2026-05-15
1409,"2,999,079",3537,"126,364",2026-05-15
1410,"34,305",3540,"120,343",2026-05-15
1414,"86,491",3541,"19,435",2026-05-15
1416,"55,671",3546,"53,169",2026-05-15
1417,"41,061",3548,"395,606",2026-05-15
1418,"6,682",3551,"690,780",2026-05-15
1419,"30,924",3552,"235,935",2026-05-15
1423,"18,476",3555,"123,820",2026-05-15
1432,"86,283",3556,"210,865",2026-05-15
1434,"558,302",3558,"55,754",2026-05-15
1436,"72,393",3564,"41,238",2026-05-15
1437,"31,419",3567,"74,631",2026-05-15
1438,"26,295",3570,"16,108",2026-05-15
1439,"15,291",3577,"106,806",2026-05-15
1440,"572,368",3580,"691,972",2026-05-15
1442,"233,127",3581,"310,611",2026-05-15
1443,"12,996",3587,"1,248,140",2026-05-15
1444,"323,994",3594,"371,894",2026-05-15
1445,"23,982",3597,"34,299",2026-05-15
1446,"63,144",3609,"52,751",2026-05-15
1449,"987,622",3611,"14,571",2026-05-15
1451,"61,805",3615,"957,841",2026-05-15
1452,"36,712",3623,"32,912",2026-05-15
1453,"29,158",3624,"1,087,084",2026-05-15
1454,"32,311",3628,"74,514",2026-05-15
1455,"217,734",3630,"277,004",2026-05-15
1456,"35,983",3631,"108,411",2026-05-15
1457,"53,358",3646,"8,514",2026-05-15
1459,"48,669",3663,"1,044,231",2026-05-15
1463,"46,772",3666,"47,271",2026-05-15
1464,"148,782",3675,"412,203",2026-05-15
1465,"27,140",3680,"1,231,202",2026-05-15
1466,"67,782",3684,"31,162",2026-05-15
1467,"132,822",3687,"27,925",2026-05-15
1470,"5,004",3689,"1,815,499",2026-05-15
1472,"6,750",3691,"469,581",2026-05-15
1473,"41,870",3693,"777,399",2026-05-15
1474,"27,987",3707,"5,044,017",2026-05-15
1475,"14,943",3709,"1,462,236",2026-05-15
1476,"395,333",4102,"19,661",2026-05-15
1477,"674,124",4105,"249,689",2026-05-15
1503,"646,010",4107,"22,143",2026-05-15
1504,"4,445,797",4109,"59,446",2026-05-15
1513,"1,690,267",4111,"34,820",2026-05-15
1514,"1,252,576",4113,"110,166",2026-05-15
1515,"119,017",4114,"260,098",2026-05-15
1517,"74,759",4116,"10,470",2026-05-15
1519,"1,024,786",4120,"10,731",2026-05-15
1521,"8,847",4121,"51,445",2026-05-15
1522,"338,832",4123,"831,549",2026-05-15
1524,"292,539",4126,"15,078",2026-05-15
1525,"10,377",4127,"81,976",2026-05-15
1526,"44,543",4128,"506,025",2026-05-15
1527,"64,030",4129,"95,407",2026-05-15
1528,"7,186,102",4130,"254,058",2026-05-15
1529,"264,119",4138,"23,293",2026-05-15
1530,"10,786",4139,"4,482",2026-05-15
1531,"58,761",4147,"332,620",2026-05-15
1532,"231,423",4153,"15,251",2026-05-15
1533,"78,423",4157,"401,221",2026-05-15
1535,"21,117",4160,"15,918",2026-05-15
1536,"638,661",4161,"39,137",2026-05-15
1537,"25,519",4162,"117,593",2026-05-15
1539,"28,749",4163,"9,503",2026-05-15
1540,"87,552",4166,"76,216",2026-05-15
1541,"19,911",4167,"296,031",2026-05-15
1558,"16,690",4171,"57,120",2026-05-15
1560,"912,585",4173,"49,320",2026-05-15
1563,"283,670",4174,"162,616",2026-05-15
1568,"165,259",4175,"6,570",2026-05-15
1582,"2,186,024",4205,"11,426",2026-05-15
1583,"7,945",4207,"87,574",2026-05-15
1587,"142,828",4303,"223,897",2026-05-15
1590,"448,767",4305,"1,031",2026-05-15
1597,"1,260,815",4401,"23,651",2026-05-15
1598,"134,456",4406,"8,793",2026-05-15
1603,"95,048",4413,"4,397",2026-05-15
1604,"161,083",4416,"117,237",2026-05-15
1605,"11,091,363",4417,"52,443",2026-05-15
1608,"1,039,420",4420,"19,626",2026-05-15
1609,"1,262,806",4430,"9,204",2026-05-15
1611,"165,136",4432,"14,140",2026-05-15
1612,"235,484",4433,"9,596",2026-05-15
1614,"21,457",4442,"21,712",2026-05-15
1615,"48,215",4502,"11,688",2026-05-15
1616,"158,496",4503,"85,942",2026-05-15
1617,"52,991",4506,"19,648",2026-05-15
1618,"229,658",4510,"973,647",2026-05-15
1626,"71,904",4513,"106,202",2026-05-15
1702,"114,260",4523,"66,340",2026-05-15
1707,"63,148",4527,"9,974",2026-05-15
1708,"1,651,538",4528,"16,048",2026-05-15
1709,"207,222",4530,"7,189",2026-05-15
1710,"1,728,998",4533,"750,994",2026-05-15
1711,"9,761,199",4535,"3,279",2026-05-15
1712,"192,101",4538,"7,749",2026-05-15
1713,"52,150",4541,"415,808",2026-05-15
1714,"1,777,722",4542,"295,799",2026-05-15
1717,"20,242,140",4543,"321,478",2026-05-15
1718,"1,552,384",4549,"84,841",2026-05-15
1720,"84,812",4550,"7,278",2026-05-15
1722,"1,557,978",4554,"30,660",2026-05-15
1723,"497,617",4556,"264,383",2026-05-15
1725,"94,600",4558,"33,245",2026-05-15
1726,"9,016",4561,"233,780",2026-05-15
1727,"3,799,355",4563,"104,866",2026-05-15
1730,"11,178",4568,"4,415",2026-05-15
1731,"33,155",4577,"664,930",2026-05-15
1732,"57,805",4580,"18,903",2026-05-15
1733,"42,623",4702,"31,606",2026-05-15
1734,"111,402",4706,"5,337",2026-05-15
1735,"536,582",4707,"1,487,081",2026-05-15
1736,"239,075",4711,"101,913",2026-05-15
1737,"34,743",4714,"487,624",2026-05-15
1752,"25,025",4716,"193,118",2026-05-15
1760,"110,983",4721,"945,522",2026-05-15
1762,"115,359",4728,"8,395",2026-05-15
1773,"597,492",4729,"97,457",2026-05-15
1776,"38,039",4735,"7,592",2026-05-15
1783,"37,974",4741,"565,470",2026-05-15
1786,"109,997",4743,"654,468",2026-05-15
1789,"325,400",4744,"170,974",2026-05-15
1795,"983,076",4745,"133,194",2026-05-15
1802,"42,706,368",4747,"15,050",2026-05-15
1805,"37,020",4749,"950,957",2026-05-15
1806,"256,533",4754,"9,075",2026-05-15
1808,"436,417",4760,"475,114",2026-05-15
1809,"2,296,917",4767,"6,450",2026-05-15
1810,"454,628",4768,"514,152",2026-05-15
1817,"15,311",4772,"757,626",2026-05-15
1903,"64,127",4903,"2,040,426",2026-05-15
1904,"692,933",4905,"24,029",2026-05-15
1905,"2,096,880",4907,"16,230",2026-05-15
1906,"127,734",4908,"1,043,437",2026-05-15
1907,"409,972",4909,"580,786",2026-05-15
1909,"1,290,999",4911,"20,143",2026-05-15
2002,"13,174,197",4923,"67,991",2026-05-15
2006,"733,773",4924,"33,875",2026-05-15
2008,"39,148",4931,"3,486,165",2026-05-15
2009,"620,602",4933,"283,789",2026-05-15
2010,"561,766",4939,"1,534,711",2026-05-15
2012,"17,857",4951,"313,245",2026-05-15
2013,"33,836",4953,"117,694",2026-05-15
2014,"1,669,335",4966,"649,778",2026-05-15
2015,"121,508",4971,"478,820",2026-05-15
2017,"230,764",4972,"17,033",2026-05-15
2020,"221,344",4973,"2,294,600",2026-05-15
2022,"283,274",4974,"62,675",2026-05-15
2023,"677,659",4979,"2,156,969",2026-05-15
2024,"6,007",4987,"7,765",2026-05-15
2027,"8,608,065",4991,"888,736",2026-05-15
2028,"55,710",4995,"15,304",2026-05-15
2029,"59,643",5009,"1,387,374",2026-05-15
2030,"424,777",5011,"134,091",2026-05-15
2031,"265,639",5013,"4,378",2026-05-15
2032,"194,979",5014,"109,308",2026-05-15
2033,"53,910",5015,"15,525",2026-05-15
2034,"499,898",5016,"130,414",2026-05-15
2038,"129,800",5201,"62,417",2026-05-15
2049,"2,915,713",5202,"75,230",2026-05-15
2059,"257,655",5206,"45,510",2026-05-15
2062,"123,091",5209,"12,239",2026-05-15
2069,"108,129",5211,"34,937",2026-05-15
2101,"643,160",5212,"12,044",2026-05-15
2102,"149,414",5213,"184,461",2026-05-15
2103,"1,799,675",5220,"21,909",2026-05-15
2104,"1,065,873",5223,"9,764",2026-05-15
2105,"3,284,349",5227,"57,906",2026-05-15
2106,"220,734",5228,"429,356",2026-05-15
2107,"99,110",5230,"74,339",2026-05-15
2108,"554,069",5236,"163,842",2026-05-15
2109,"43,286",5245,"35,746",2026-05-15
2114,"14,084",5251,"43,865",2026-05-15
2115,"31,430",5263,"64,176",2026-05-15
2201,"1,055,348",5272,"180,738",2026-05-15
2204,"414,281",5274,"105,345",2026-05-15
2206,"371,775",5278,"186,636",2026-05-15
2207,"117,207",5287,"25,474",2026-05-15
2211,"201,747",5289,"1,421,111",2026-05-15
2228,"65,698",5291,"807,462",2026-05-15
2231,"481,749",5299,"107,950",2026-05-15
2233,"487,889",5309,"1,942,437",2026-05-15
2236,"172,475",5312,"14,216",2026-05-15
2239,"22,977",5314,"1,441,098",2026-05-15
2241,"337,253",5315,"126,466",2026-05-15
2243,"518,520",5321,"63,486",2026-05-15
2247,"31,713",5328,"2,622,164",2026-05-15
2248,"30,081",5340,"2,106,638",2026-05-15
2250,"24,032",5347,"11,195,388",2026-05-15
2254,"11,357",5351,"7,604,694",2026-05-15
2301,"11,024,417",5353,"47,763",2026-05-15
2302,"741,659",5356,"51,063",2026-05-15
2303,"65,124,861",5364,"65,430",2026-05-15
2305,"1,325,951",5371,"1,526,057",2026-05-15
2308,"3,765,975",5381,"347,065",2026-05-15
2312,"15,089,576",5386,"638,838",2026-05-15
2313,"26,225,757",5392,"922,423",2026-05-15
2316,"2,511,813",5398,"35,255",2026-05-15
2317,"24,579,741",5403,"50,221",2026-05-15
2323,"1,758,099",5410,"200,617",2026-05-15
2324,"15,040,466",5425,"3,623,277",2026-05-15
2327,"13,250,550",5426,"119,541",2026-05-15
2328,"2,783,620",5432,"47,624",2026-05-15
2329,"6,113,313",5438,"32,141",2026-05-15
2330,"13,115,519",5439,"2,429,532",2026-05-15
2331,"612,160",5443,"3,083,293",2026-05-15
2332,"1,084,241",5450,"15,000",2026-05-15
2337,"51,526,687",5452,"782,757",2026-05-15
2338,"2,119,499",5455,"130,622",2026-05-15
2340,"4,245,455",5457,"323,632",2026-05-15
2342,"1,962,960",5460,"16,316",2026-05-15
2344,"55,634,720",5464,"362,112",2026-05-15
2345,"1,547,476",5465,"42,276",2026-05-15
2347,"1,567,951",5474,"168,106",2026-05-15
2348,"95,917",5478,"45,494",2026-05-15
2351,"3,087,886",5481,"56,200",2026-05-15
2352,"1,616,180",5483,"5,410,665",2026-05-15
2353,"1,044,642",5487,"13,384",2026-05-15
2354,"4,314,305",5488,"103,353",2026-05-15
2355,"7,347,414",5489,"17,909",2026-05-15
2356,"9,483,976",5490,"159,410",2026-05-15
2357,"1,433,938",5493,"120,597",2026-05-15
2359,"606,796",5498,"5,151,686",2026-05-15
2360,"1,403,372",5508,"137,180",2026-05-15
2362,"191,976",5511,"52,704",2026-05-15
2363,"4,780,459",5512,"351,255",2026-05-15
2364,"91,352",5514,"2,964",2026-05-15
2365,"2,298,092",5520,"1,611",2026-05-15
2367,"1,261,057",5523,"19,572",2026-05-15
2368,"1,979,901",5529,"17,827",2026-05-15
2369,"4,826,325",5530,"195,532",2026-05-15
2371,"5,168,457",5536,"715,807",2026-05-15
2373,"13,149",5548,"19,571",2026-05-15
2374,"2,540,273",5601,"2,023",2026-05-15
2375,"1,599,629",5603,"39,258",2026-05-15
2376,"3,431,558",5604,"8,228",2026-05-15
2377,"5,876,847",5609,"51,053",2026-05-15
2379,"1,230,386",5704,"15,506",2026-05-15
2382,"6,583,460",5864,"1,285,137",2026-05-15
2383,"991,437",5902,"15,372",2026-05-15
2385,"1,242,672",5903,"8,559",2026-05-15
2387,"237,421",5904,"137,786",2026-05-15
2388,"4,889,255",5905,"266,883",2026-05-15
2390,"176,588",6015,"891,371",2026-05-15
2392,"819,893",6016,"2,439,523",2026-05-15
2393,"928,629",6020,"38,115",2026-05-15
2395,"1,230,113",6021,"103,298",2026-05-15
2397,"74,811",6023,"57,463",2026-05-15
2399,"5,802,000",6026,"738,846",2026-05-15
2401,"2,434,148",6101,"29,356",2026-05-15
2402,"7,116,024",6103,"1,746",2026-05-15
2404,"1,372,645",6104,"619,251",2026-05-15
2405,"536,570",6111,"155,977",2026-05-15
2406,"3,338,868",6113,"185,940",2026-05-15
2408,"37,264,827",6114,"16,045",2026-05-15
2409,897,6118,"195,431",2026-05-15
2412,"3,141,298",6121,"215,266",2026-05-15
2413,"790,445",6122,"94,224",2026-05-15
2414,"88,913",6123,"30,676",2026-05-15
2415,"71,139",6124,"35,181",2026-05-15
2417,"988,823",6125,"535,880",2026-05-15
2419,"2,808,909",6126,"374,777",2026-05-15
2420,"116,145",6127,"5,209,582",2026-05-15
2421,"1,618,580",6130,"88,173",2026-05-15
2423,"115,426",6134,"367,590",2026-05-15
2425,"197,962",6138,"303,039",2026-05-15
2426,"5,477,925",6140,"62,522",2026-05-15
2427,"175,566",6143,"395,312",2026-05-15
2428,"486,902",6146,"185,995",2026-05-15
2430,"40,107",6147,"12,921,662",2026-05-15
2431,"157,474",6148,"78,528",2026-05-15
2432,"26,862",6150,"252,245",2026-05-15
2433,"11,200",6151,"236,713",2026-05-15
2434,"10,569",6154,"22,476",2026-05-15
2436,"3,908,661",6156,"158,971",2026-05-15
2439,"623,456",6158,"29,971",2026-05-15
2440,"325,859",6160,"43,445",2026-05-15
2441,"3,698,098",6161,"39,349",2026-05-15
2442,"703,093",6163,"2,186,713",2026-05-15
2449,"10,144,969",6167,"258,020",2026-05-15
2450,"54,244",6169,"9,274",2026-05-15
2451,"3,093,991",6170,"87,183",2026-05-15
2453,"113,527",6171,"11,364",2026-05-15
2454,"4,455,363",6173,"3,156,059",2026-05-15
2455,"3,754,885",6174,"650,789",2026-05-15
2457,"801,170",6175,"2,207,796",2026-05-15
2458,"1,193,525",6179,"410,783",2026-05-15
2459,"41,453",6180,"132,868",2026-05-15
2461,"275,851",6182,"12,562,033",2026-05-15
2462,"125,067",6185,"65,073",2026-05-15
2464,"5,277,140",6186,"259,799",2026-05-15
2465,"805,292",6187,"1,119,472",2026-05-15
2467,"1,086,897",6188,"704,249",2026-05-15
2468,"105,784",6190,"4,390,150",2026-05-15
2471,"73,499",6194,"52,821",2026-05-15
2472,"2,096,663",6195,"19,218",2026-05-15
2474,"1,560,915",6199,"192,484",2026-05-15
2476,"1,950,006",6203,"165,116",2026-05-15
2477,"86,943",6204,"83,197",2026-05-15
2478,"1,268,296",6207,"1,575,957",2026-05-15
2480,"106,386",6208,"464,969",2026-05-15
2481,"9,455,817",6210,"19,092",2026-05-15
2482,"60,300",6212,"2,060",2026-05-15
