IndustryCat,Numbers,ShareNumber,ForeignMainlandAreaShare,Percentage,date
綠能環保,26,4174744931,197778348,4.74,2026-05-17
數位雲端,12,817552357,113876041,13.93,2026-05-17
運動休閒,18,6714124125,2180621007,32.48,2026-05-17
居家生活,11,1827530995,414542202,22.68,2026-05-17
其他,57,17012786480,2607450753,15.33,2026-05-17
ETF,225,205893512760,3189633420,1.55,2026-05-17
水泥工業,8,14064571612,1961507065,13.95,2026-05-17
食品工業,25,14867130138,2492408860,16.76,2026-05-17
塑膠工業,22,31816388213,7833465628,24.62,2026-05-17
紡織纖維,42,18966727617,1891775616,9.97,2026-05-17
電機機械,50,12180008506,1600553420,13.14,2026-05-17
電器電纜,16,8469626504,987135373,11.66,2026-05-17
化學生技醫療,87,20860188856,3037169504,14.56,2026-05-17
化學工業,28,10737596100,1366660002,12.73,2026-05-17
生技醫療業,59,10122592756,1670509502,16.50,2026-05-17
玻璃陶瓷,5,3840410326,187436395,4.88,2026-05-17
造紙工業,7,5877335202,472272874,8.04,2026-05-17
鋼鐵工業,32,30106963006,3356397374,11.15,2026-05-17
橡膠工業,11,8473538291,837472612,9.88,2026-05-17
汽車工業,44,9438111332,988036177,10.47,2026-05-17
電子工業,455,237482796104,67868424582,28.58,2026-05-17
半導體業,95,78409095228,33938926675,43.28,2026-05-17
電腦及週邊設備業,64,37754432399,8352359217,22.12,2026-05-17
光電業,68,35390049713,5732222062,16.20,2026-05-17
通信網路業,45,23935100864,3807097957,15.91,2026-05-17
電子零組件業,104,28982909216,7146646908,24.66,2026-05-17
電子通路業,22,8786732025,1954854073,22.25,2026-05-17
資訊服務業,11,1443964583,77155974,5.34,2026-05-17
其他電子業,46,22780512076,6859161716,30.11,2026-05-17
建材營造,55,29164075140,3593604912,12.32,2026-05-17
航運業,27,37214803540,5716309984,15.36,2026-05-17
觀光餐旅,19,3070244690,259409115,8.45,2026-05-17
金融保險,49,268179377008,58966547214,21.99,2026-05-17
貿易百貨,19,8113963972,828580192,10.21,2026-05-17
油電燃氣業,8,11699335310,679423405,5.81,2026-05-17
存託憑證,10,2455465976,42297474,1.72,2026-05-17
綠能環保,26,4174744931,197778348,4.74,2026-05-17
數位雲端,12,817552357,113876041,13.93,2026-05-17
運動休閒,18,6714124125,2180621007,32.48,2026-05-17
居家生活,11,1827530995,414542202,22.68,2026-05-17
其他,57,17012786480,2607450753,15.33,2026-05-17
ETF,225,205893512760,3189633420,1.55,2026-05-18
水泥工業,8,14064571612,1961507065,13.95,2026-05-18
食品工業,25,14867130138,2492408860,16.76,2026-05-18
塑膠工業,22,31816388213,7833465628,24.62,2026-05-18
紡織纖維,42,18966727617,1891775616,9.97,2026-05-18
電機機械,50,12180008506,1600553420,13.14,2026-05-18
電器電纜,16,8469626504,987135373,11.66,2026-05-18
化學生技醫療,87,20860188856,3037169504,14.56,2026-05-18
化學工業,28,10737596100,1366660002,12.73,2026-05-18
