Code,Name,TradeVolume,Transaction,TradeValue,TradePrice,BidVolume,AskVolume,date
03238T,世芯台新5B售03,,,,1.05,,,2026-05-15
03239T,臺股指台新5B售06,,,,1.27,,,2026-05-15
032401,臻鼎凱基55購01,,,,17.30,,,2026-05-15
03240T,臺股指台新5B售07,,,,1.64,,,2026-05-15
03241T,台灣50富邦5B售05,,,,0.84,,,2026-05-15
032433,緯穎群益58購01,,,,3.58,,,2026-05-15
03247T,臺股指富邦5B售14,,,,0.80,,,2026-05-15
032511,世芯元富58購03,,,,0.99,,,2026-05-15
03251T,聯電元大5B售09,,,,0.72,,,2026-05-15
032520,鴻海凱基55購04,,,,0.05,,193,2026-05-15
03253T,台灣50凱基5C售09,,,,1.08,,,2026-05-15
03254T,T50正2凱基63售05,,,,1.08,,,2026-05-15
032564,鴻海國票59購02,,,,1.56,,,2026-05-15
03256T,臺股指凱基5C售19,,,,1.06,,,2026-05-15
032570,聯發科國票55購01,,,,21.60,,,2026-05-15
032573,神基國票58購01,,,,0.07,,,2026-05-15
032575,健策國票58購01,,,,12.50,,,2026-05-15
032579,晶心科國票5B購01,,,,0.38,,,2026-05-15
03257T,台灣50台新5B售08,,,,2.07,,,2026-05-15
03258T,T50正2台新5B售06,,,,1.67,,,2026-05-15
032591,T50反1元大5C購01,,,,0.10,,,2026-05-15
03259T,鴻海台新5B售05,,,,1.95,,,2026-05-15
03264T,臺股指富邦5B售17,,,,0.95,,,2026-05-15
03265T,臺股指富邦61售15,,,,0.73,,,2026-05-15
03266T,臺股指富邦62售05,,,,0.98,,,2026-05-15
032670,聯茂群益58購01,,,,6.50,,,2026-05-15
032685,鴻海中信58購02,,,,0.50,,,2026-05-15
03268T,華邦電群益61售01,,,,0.92,,,2026-05-15
03269T,南亞科群益61售01,,,,0.95,,,2026-05-15
03270T,臺股指群益5B售23,,,,1.17,,,2026-05-15
03273T,群創國票5B售02,,,,1.46,,,2026-05-15
03275T,臺股指國票5B售04,,,,2.24,,,2026-05-15
03278T,川湖凱基5B售10,,,,1.54,,,2026-05-15
032793,世芯群益57購01,,,,0.90,,,2026-05-15
03279T,聯電凱基5B售06,,,,0.86,2,,2026-05-15
03280T,南亞科凱基5B售06,,,,0.72,,,2026-05-15
032819,鴻海凱基58購02,,,,0.77,,,2026-05-15
03282T,臺指2X群益5B售01,,,,1.50,,,2026-05-15
032842,聯發科中信58購01,,,,14.10,,,2026-05-15
03288T,台灣50元大5B售07,,,,1.06,,,2026-05-15
032897,神達凱基56購01,,,,0.03,,,2026-05-15
03289T,文曄元大5B售02,,,,2.21,,,2026-05-15
032905,穎崴凱基58購01,,,,70.00,,,2026-05-15
032906,緯穎凱基58購01,,,,3.70,,,2026-05-15
032908,緯穎凱基5B購01,,,,3.56,,,2026-05-15
03290T,臺股指元大5B售22,,,,1.39,,,2026-05-15
032910,緯穎凱基5B購02,,,,3.53,,,2026-05-15
032941,宇隆統一56購03,,,,0.29,,,2026-05-15
032942,鴻海統一68購03,,,,0.48,,,2026-05-15
032943,燿華統一56購03,,,,3.46,,,2026-05-15
032944,漢唐統一64購01,,,,0.30,,,2026-05-15
032945,建準統一56購02,,,,0.25,,,2026-05-15
032949,亞光統一57購03,,,,0.09,,,2026-05-15
032950,亞光統一5B購03,,,,0.18,,,2026-05-15
032951,德律統一64購01,,,,1.99,,,2026-05-15
032953,臻鼎統一56購01,,,,5.40,,,2026-05-15
032954,臻鼎統一56購02,,,,6.15,,,2026-05-15
032955,臻鼎統一58購02,,,,5.20,,,2026-05-15
032956,臻鼎統一64購01,,,,2.81,,,2026-05-15
032958,達興統一64購01,,,,1.01,,,2026-05-15
032959,精成科統一58購03,,,,0.08,,,2026-05-15
032960,精成科統一5C購02,,,,0.11,,,2026-05-15
032963,滬深2X群益58購01,,,,0.93,,,2026-05-15
032987,世芯群益58購02,,,,0.63,,,2026-05-15
033129,滬深2X元大57購04,,,,2.79,,,2026-05-15
033206,世芯富邦55購01,,,,0.15,,,2026-05-15
033210,臻鼎富邦55購02,,,,7.95,,,2026-05-15
033250,上証2X國票58購01,,,,1.42,,,2026-05-15
033259,大立光國票56購01,,,,1.42,,,2026-05-15
033383,滬深2X國票62購01,,,,1.52,,,2026-05-15
033393,宏達電國票58購01,,,,0.09,,,2026-05-15
033407,啟碁國票5A購01,,,,9.50,,,2026-05-15
033408,矽力中信58購01,,,,2.20,,,2026-05-15
033419,神達永豐55購03,,,,0.02,,,2026-05-15
033438,神基凱基58購01,,,,0.10,,,2026-05-15
033450,富世達凱基58購02,,,,4.56,,,2026-05-15
033524,大立光群益55購01,,,,0.40,,,2026-05-15
033531,群創群益56購01,,,,17.10,,,2026-05-15
033542,南亞統一58購02,,,,3.20,,,2026-05-15
033543,華新統一58購03,,,,1.28,,,2026-05-15
033544,華新統一58購04,,,,1.35,,,2026-05-15
033548,華通統一62購01,,,,4.10,,,2026-05-15
033549,鴻海統一58購03,,,,0.70,,,2026-05-15
033550,鴻海統一5A購02,,,,0.78,,,2026-05-15
033551,台積電統一5C購05,,,,3.67,,,2026-05-15
033552,台積電統一68購02,,,,1.70,,,2026-05-15
033553,鴻準統一58購03,,,,0.06,,,2026-05-15
033555,燿華統一64購01,,,,1.50,,,2026-05-15
033556,金像電統一64購01,,,,3.80,,,2026-05-15
033557,威盛統一58購03,,,,0.36,,,2026-05-15
033558,漢唐統一58購01,,,,0.34,,,2026-05-15
033559,聯發科統一58購01,,,,6.00,,,2026-05-15
033560,強茂統一58購01,,,,2.36,,,2026-05-15
033561,長榮統一58購02,,,,0.29,,,2026-05-15
033562,陽明統一58購01,,,,0.02,,,2026-05-15
033563,萬海統一58購02,,,,0.07,,,2026-05-15
033568,神基統一5B購01,,,,0.22,,,2026-05-15
033569,神基統一64購01,,,,0.47,,,2026-05-15
033570,大立光統一58購01,,,,1.11,,,2026-05-15
033571,零壹統一5B購01,,,,0.28,,,2026-05-15
033574,德律統一5C購01,,,,1.97,,,2026-05-15
033575,欣興統一58購02,,,,22.30,,,2026-05-15
033576,玉晶光統一59購02,,,,0.65,,,2026-05-15
033578,群創統一58購01,,,,9.00,,,2026-05-15
033579,嘉澤統一64購01,,,,1.14,,,2026-05-15
033580,神達統一58購05,,,,0.26,,,2026-05-15
033581,日月光統一58購02,,,,9.65,,,2026-05-15
033584,臻鼎統一58購04,,,,3.31,,,2026-05-15
033587,佳必琪統一58購01,,,,0.82,,,2026-05-15
033588,矽力統一5B購01,,,,1.03,,,2026-05-15
033590,鈺邦統一5A購01,,,,0.95,,,2026-05-15
033591,鈺邦統一5C購01,,,,0.82,,,2026-05-15
033592,緯穎統一64購01,,,,2.07,,,2026-05-15
033594,AES統一64購01,,,,0.39,,,2026-05-15
033597,富世達統一64購01,,,,0.67,,,2026-05-15
033598,台虹統一59購01,,,,5.15,,,2026-05-15
033600,台達電中信58購03,,,,18.70,,,2026-05-15
033634,台化統一58購03,,,,0.80,,,2026-05-15
033635,大亞統一5A購01,,,,0.19,,,2026-05-15
033636,聯電統一58購01,,,,5.80,,,2026-05-15
033639,技嘉統一58購01,,,,0.33,,,2026-05-15
033640,威盛統一58購04,,,,0.49,,,2026-05-15
033641,正崴統一58購01,,,,0.05,,,2026-05-15
033642,正崴統一5C購01,,,,0.20,,,2026-05-15
033643,漢唐統一58購02,,,,0.19,,,2026-05-15
033644,友達統一58購01,,,,1.56,,,2026-05-15
033645,建準統一58購01,,,,0.24,,,2026-05-15
033647,京元電統一58購01,,,,2.56,,,2026-05-15
033648,京元電統一64購01,,,,2.80,,,2026-05-15
033649,強茂統一58購02,,,,1.91,,,2026-05-15
033650,強茂統一58購03,,,,1.50,,,2026-05-15
033651,長榮航統一58購01,,,,0.07,,,2026-05-15
033655,德律統一5B購01,,,,2.16,,,2026-05-15
033656,健策統一62購01,,,,2.65,,,2026-05-15
033659,達興統一58購01,,,,0.46,,,2026-05-15
033660,帆宣統一58購01,,,,1.32,,,2026-05-15
033661,鈺邦統一58購02,,,,0.78,,,2026-05-15
033662,鈺邦統一5B購01,,,,0.95,,,2026-05-15
033663,洋基統一58購01,,,,0.49,,,2026-05-15
033665,富世達統一58購04,,,,1.14,,,2026-05-15
033668,滬深2X凱基5B購01,,,,1.26,,,2026-05-15
03371U,臺股指凱基56售05,,,,0.14,,,2026-05-15
033731,奇鋐國票57購01,,,,11.20,,,2026-05-15
033735,健策國票5A購01,,,,12.60,,,2026-05-15
033760,滬深2X元大57購05,,,,1.76,,,2026-05-15
033842,香港2X中信58購01,,,,0.22,,,2026-05-15
033843,國巨中信57購01,,,,20.90,,,2026-05-15
033845,臻鼎中信58購01,,,,7.20,,,2026-05-15
033853,緯創富邦5B購01,,,,0.80,,,2026-05-15
033856,佳能第一58購01,,,,5.35,,,2026-05-15
033895,為升元富55購01,,,,0.56,,,2026-05-15
033900,廣宇元富58購01,,,,0.40,,,2026-05-15
033937,大銀國票56購01,,,,4.07,,,2026-05-15
033941,大亞統一63購01,,,,0.21,,,2026-05-15
033942,聯電統一5A購01,,,,3.08,,,2026-05-15
033943,鴻海統一5B購01,,,,0.66,,,2026-05-15
033944,鴻海統一68購04,,,,0.60,,,2026-05-15
033945,國巨統一58購02,,,,8.20,,,2026-05-15
033946,國巨統一5B購01,,,,3.38,,,2026-05-15
033948,華泰統一5A購01,,,,0.50,,,2026-05-15
033949,智邦統一64購01,,,,3.15,,,2026-05-15
033950,鴻準統一5B購01,,,,0.13,,,2026-05-15
033951,佳能統一5B購01,,,,0.37,,,2026-05-15
033952,威盛統一64購01,,,,0.54,,,2026-05-15
033953,建準統一64購01,,,,0.45,,,2026-05-15
033954,盟立統一5A購01,,,,0.96,,,2026-05-15
033955,盟立統一5C購01,,,,0.93,,,2026-05-15
033957,鉅祥統一64購01,,,,0.79,,,2026-05-15
033961,大立光統一56購02,,,,1.15,,,2026-05-15
033965,零壹統一5C購02,,,,0.15,,,2026-05-15
033966,新日興統一59購01,,,,0.16,,,2026-05-15
033968,神達統一64購01,,,,0.22,,,2026-05-15
033969,臻鼎統一5C購01,,,,2.24,,,2026-05-15
033970,佳必琪統一5A購01,,,,0.59,,,2026-05-15
033971,迅得統一5C購01,,,,0.23,,,2026-05-15
033972,龍德船統一56購01,,,,0.02,,,2026-05-15
033976,台虹統一5C購01,,,,3.61,,,2026-05-15
033977,南電統一5B購01,,,,11.10,,,2026-05-15
033978,世紀鋼統一58購01,,,,0.01,,,2026-05-15
034059,世芯群益58購03,,,,0.88,,,2026-05-15
034123,鈺邦元富55購01,,,,0.49,,,2026-05-15
034124,鈺邦元富55購02,,,,1.51,,,2026-05-15
034188,臻鼎富邦55購03,,,,8.45,,,2026-05-15
034210,臻鼎國票55購01,,,,14.20,,,2026-05-15
034219,鈺邦國票56購01,,,,1.20,,,2026-05-15
034221,羅昇國票56購01,,,,0.02,,,2026-05-15
034223,滬深2X元大58購02,,,,2.24,,,2026-05-15
034224,滬深2X元大59購01,,,,1.88,,,2026-05-15
034238,佳能元大56購02,,,,0.11,,,2026-05-15
034239,台光電元大57購02,,,,17.30,,,2026-05-15
034247,緯創元大58購01,,,,0.97,,,2026-05-15
034265,AES元大58購01,,,,0.20,,,2026-05-15
034283,昇貿群益58購01,,,,0.60,,,2026-05-15
034323,臻鼎兆豐58購02,,,,8.30,,,2026-05-15
034332,毅嘉元富56購01,,,,0.11,,,2026-05-15
034428,光寶科元大57購01,,,,3.72,,,2026-05-15
034456,亞光元大57購02,,,,0.17,,,2026-05-15
034458,緯創元大58購02,,,,2.06,,,2026-05-15
034469,亞翔元大58購03,,,,3.98,,,2026-05-15
034474,AES元大58購02,,,,0.46,,,2026-05-15
034501,亞光凱基57購01,,,,0.01,,,2026-05-15
034507,亞翔凱基59購01,,,,4.75,,,2026-05-15
034541,台光電富邦56購02,,,,19.00,,,2026-05-15
034596,昇貿元大57購01,,,,0.11,,,2026-05-15
034597,群創元大59購01,,,,10.60,,,2026-05-15
034599,貿聯元大59購01,,,,9.50,,,2026-05-15
034604,臻鼎元大59購01,,,,8.85,,,2026-05-15
034662,台達電永豐56購01,,,,24.20,,,2026-05-15
034667,牧德永豐56購01,,,,1.00,,,2026-05-15
034677,滬深2X凱基57購03,,,,0.15,,,2026-05-15
034684,漢唐凱基57購01,,,,0.11,,,2026-05-15
034723,訊芯統一55購01,,,,2.01,,,2026-05-15
034741,樺漢元富59購01,,,,1.06,,,2026-05-15
034779,京元電元大59購01,,,,3.33,,,2026-05-15
034788,貿聯元大59購02,,,,4.25,,,2026-05-15
034791,神達元大59購01,,,,0.10,,,2026-05-15
034794,臻鼎元大57購01,,,,6.35,,,2026-05-15
034795,臻鼎元大58購02,,,,7.65,,,2026-05-15
03479U,台積電富邦56售02,,,,0.01,,361,2026-05-15
034800,達興元大57購01,,,,0.21,,,2026-05-15
034827,滬深2X凱基57購04,,,,0.85,,,2026-05-15
034842,辛耘凱基59購01,,,,14.00,,,2026-05-15
034859,智邦元大58購01,,,,6.70,,,2026-05-15
034880,緯創元大59購01,,,,2.08,,,2026-05-15
034882,辛耘元大57購02,,,,25.00,,,2026-05-15
034884,臻鼎元大57購02,,,,18.50,,,2026-05-15
034888,精成科元大59購01,,,,0.12,,,2026-05-15
034897,AES元大58購03,,,,0.28,,,2026-05-15
034901,昇陽半元大59購01,,,,1.86,5,,2026-05-15
034916,滬深2X國票65購01,,,,1.62,,,2026-05-15
034976,達邁群益56購02,,,,0.68,,,2026-05-15
034994,祥碩兆豐59購01,,,,0.68,,,2026-05-15
035013,鴻海永豐56購02,,,,2.60,,,2026-05-15
035045,滬深2X統一57購01,,,,0.46,,,2026-05-15
035046,中興電統一59購01,,,,0.20,,,2026-05-15
035048,上銀統一57購04,,,,2.31,,,2026-05-15
035050,台達電統一57購08,,,,7.65,,,2026-05-15
035054,華邦電統一59購03,,,,19.80,,,2026-05-15
035056,佳能統一59購01,,,,0.56,,,2026-05-15
035058,漢唐統一57購04,,,,0.12,,,2026-05-15
035059,漢唐統一59購01,,,,0.18,,,2026-05-15
035060,建準統一59購02,,,,0.66,,,2026-05-15
035064,盟立統一57購01,,,,1.34,,,2026-05-15
035066,鉅祥統一57購01,,,,0.37,,,2026-05-15
035067,強茂統一57購01,,,,2.53,,,2026-05-15
035069,強茂統一59購01,,,,1.82,,,2026-05-15
035075,奇鋐統一59購01,,,,4.94,,,2026-05-15
035078,健鼎統一59購01,,,,1.80,,,2026-05-15
035081,世芯統一5B購03,,,,0.95,,,2026-05-15
035083,神達統一59購02,,,,0.16,,,2026-05-15
035084,智伸科統一57購03,,,,0.14,,,2026-05-15
035088,瀚宇博統一58購01,,,,0.15,,,2026-05-15
035092,AES統一59購03,,,,0.15,,,2026-05-15
035093,昇陽半統一57購01,,,,1.11,,,2026-05-15
035104,昇陽半元富56購02,,,,3.80,,,2026-05-15
035107,中502X國票59購01,,,,0.14,,,2026-05-15
035131,鴻海國泰57購01,,,,2.75,,,2026-05-15
035148,華新元大58購01,,,,1.92,,,2026-05-15
035152,佳能元大59購01,,,,1.12,1,,2026-05-15
035167,晟銘電元大59購01,,,,0.16,,,2026-05-15
035170,亞光元大59購01,,,,0.19,,,2026-05-15
035177,南寶元大59購01,,,,0.16,,,2026-05-15
035185,AES元大58購04,,,,0.45,,,2026-05-15
035188,昇陽半元大59購02,,,,1.74,,,2026-05-15
035214,神達中信59購01,,,,0.30,,,2026-05-15
035218,台積電永豐69購01,,,,8.00,,,2026-05-15
035231,強茂富邦57購01,,,,5.25,,,2026-05-15
035236,佳必琪富邦57購01,,,,0.45,,,2026-05-15
035244,強茂元富56購01,,,,3.48,,,2026-05-15
035245,大立光元富59購01,,,,6.40,,,2026-05-15
035251,佳必琪元富57購01,,,,1.59,,,2026-05-15
035265,神基國票58購02,,,,0.14,,,2026-05-15
035325,美時統一69購01,,,,0.58,,,2026-05-15
035327,華通統一59購02,,,,7.35,,,2026-05-15
035328,華通統一59購03,,,,8.10,,,2026-05-15
035329,鴻海統一59購03,,,,0.57,,,2026-05-15
035335,京元電統一65購01,,,,1.38,,,2026-05-15
035336,義隆統一57購01,,,,0.43,,,2026-05-15
035337,義隆統一58購01,,,,0.40,,,2026-05-15
035338,義隆統一5C購01,,,,0.46,,,2026-05-15
035339,盟立統一57購02,,,,1.41,,,2026-05-15
035341,盟立統一59購01,,,,1.16,,,2026-05-15
035346,鉅祥統一58購02,,,,0.44,,,2026-05-15
035349,強茂統一59購03,,,,1.20,,,2026-05-15
035350,皇昌統一59購01,,,,0.02,,,2026-05-15
035355,健鼎統一59購02,,,,1.08,,,2026-05-15
035356,辛耘統一59購02,,,,2.73,,,2026-05-15
035357,貿聯統一65購01,,,,1.34,,,2026-05-15
035359,TPK統一5C購01,,,,0.97,,,2026-05-15
035363,智伸科統一59購02,,,,0.26,,,2026-05-15
035365,南寶統一59購02,,,,0.21,,,2026-05-15
035366,南寶統一59購03,,,,0.18,,,2026-05-15
035369,臻鼎統一59購01,,,,2.96,,,2026-05-15
035370,立積統一59購02,,,,0.07,,,2026-05-15
035372,達興統一59購03,,,,0.42,,,2026-05-15
035373,達興統一5C購01,,,,0.41,,,2026-05-15
035376,帆宣統一57購03,,,,1.47,,,2026-05-15
035380,AES統一59購04,,,,0.18,,,2026-05-15
035382,昇陽半統一5C購01,,,,1.03,,,2026-05-15
035390,中砂元大57購01,,,,3.89,,,2026-05-15
035393,華新元大58購02,,,,2.38,,,2026-05-15
035408,漢唐元大57購01,,,,0.24,,,2026-05-15
035409,漢唐元大59購01,,,,0.37,30,,2026-05-15
035422,緯創元大59購03,,,,1.45,,,2026-05-15
035426,南寶元大59購02,,,,0.60,,,2026-05-15
035454,華泰統一57購01,,,,0.84,,,2026-05-15
035455,長榮太統一59購05,,,,0.05,,,2026-05-15
035457,亞光統一59購02,,,,0.34,,,2026-05-15
035460,佳必琪統一58購02,,,,0.70,,,2026-05-15
035462,鈺邦統一59購01,,,,0.76,,,2026-05-15
035464,昇陽半統一59購02,,,,1.13,,,2026-05-15
035472,神達永豐59購01,,,,0.48,,,2026-05-15
035475,AES永豐56購02,,,,0.31,,,2026-05-15
035477,滬深反中信57購01,,,,0.12,,,2026-05-15
035483,緯穎中信59購01,,,,4.23,,,2026-05-15
035484,臺股指中信56購03,,,,69.00,,,2026-05-15
035489,元債2X富邦59購01,,,,0.44,,,2026-05-15
035497,滬深2X凱基57購05,,,,0.64,,,2026-05-15
035511,大立光凱基56購02,,,,3.00,,,2026-05-15
035522,富世達凱基57購01,,,,3.84,,,2026-05-15
035528,台積電元富69購01,,,,29.50,,,2026-05-15
035537,祥碩元富59購01,,,,0.78,,,2026-05-15
035538,AES元富59購01,,,,0.63,,,2026-05-15
035539,昇陽半元富59購01,,,,2.50,,,2026-05-15
035585,漢唐元大57購02,,,,0.21,,,2026-05-15
035586,漢唐元大59購02,,,,0.23,,,2026-05-15
035600,德律元大59購01,,,,5.10,,,2026-05-15
035610,南寶元大57購01,,,,0.32,,,2026-05-15
035611,南寶元大58購01,,,,0.12,,,2026-05-15
035629,元石油群益58購01,,,,5.70,,,2026-05-15
035636,鴻海群益59購02,,,,1.57,,,2026-05-15
035652,萬海群益58購01,,,,0.14,,,2026-05-15
035679,臺指反富邦69購01,,,,0.03,,,2026-05-15
035682,所羅門富邦59購01,,,,0.11,,,2026-05-15
035708,采鈺永豐56購01,,,,64.50,,,2026-05-15
035738,中砂統一5B購03,,,,2.08,,,2026-05-15
035739,川湖統一58購05,,,,1.93,,,2026-05-15
035740,川湖統一59購01,,,,1.19,,,2026-05-15
035741,川湖統一5C購01,,,,1.56,,,2026-05-15
035742,光寶科統一5C購01,,,,0.90,,,2026-05-15
035743,華邦電統一57購02,,,,18.60,,,2026-05-15
035746,致茂統一61購01,,,,6.45,,,2026-05-15
035748,強茂統一5C購01,,,,0.77,,,2026-05-15
035749,皇昌統一57購01,,,,0.01,,,2026-05-15
035751,神基統一61購01,,,,0.13,,,2026-05-15
035752,晟銘電統一61購01,,,,0.19,,,2026-05-15
035753,緯創統一59購02,,,,0.62,,,2026-05-15
035754,玉晶光統一59購03,,,,0.70,,,2026-05-15
035755,聯鈞統一58購01,,,,3.32,,,2026-05-15
035757,上品統一59購01,,,,0.06,,,2026-05-15
035761,長虹統一5C購01,,,,0.23,,,2026-05-15
035763,佳必琪統一5C購01,,,,0.57,,,2026-05-15
035765,鈺邦統一58購03,,,,0.83,,,2026-05-15
035766,AES統一5B購01,,,,0.21,,,2026-05-15
035767,采鈺統一5B購01,,,,1.90,,,2026-05-15
035768,采鈺統一5C購01,,,,1.80,,,2026-05-15
035769,采鈺統一5C購02,,,,2.45,,,2026-05-15
035797,滬深2X國票62購02,,,,1.68,,,2026-05-15
035810,元債2X元大57購02,,,,0.54,,,2026-05-15
035818,廣宇元大58購01,,,,0.20,,,2026-05-15
035839,宏致元大58購01,,,,0.80,,,2026-05-15
035852,緯穎元大59購01,,,,3.17,,,2026-05-15
035853,采鈺元大59購01,,,,4.12,,,2026-05-15
035897,玉晶光中信59購01,,,,0.97,,,2026-05-15
035927,楠梓電元富59購01,,,,2.09,,,2026-05-15
035934,宏致元富56購01,,,,0.11,,,2026-05-15
035938,緯穎元富59購02,,,,5.05,,,2026-05-15
035944,華新凱基58購01,,,,5.90,,,2026-05-15
036005,廣宇元大57購01,,,,0.39,,,2026-05-15
036009,京元電元大58購02,,,,5.00,,,2026-05-15
036022,牧德元大59購01,,,,1.22,,,2026-05-15
036026,jpp元大56購01,,,,0.38,,,2026-05-15
036028,佳必琪元大58購01,,,,1.96,,,2026-05-15
036038,光寶科富邦59購01,,,,18.50,,,2026-05-15
036045,亞光富邦59購01,,,,0.17,,,2026-05-15
036076,聯鈞群益57購01,,,,11.80,,,2026-05-15
036087,A50正2永豐56購01,,,,0.98,,,2026-05-15
03611U,臺股指群益59售05,,,,0.03,,,2026-05-15
036128,緯穎富邦59購01,,,,2.85,,,2026-05-15
036129,昇陽半富邦59購01,,,,1.32,,,2026-05-15
036184,香港2X凱基57購01,,,,0.22,,,2026-05-15
036215,昇陽半凱基59購01,,,,2.10,,,2026-05-15
036274,達興元大59購01,,,,0.35,,,2026-05-15
036280,采鈺元大57購01,,,,3.91,,,2026-05-15
036282,富世達元大59購01,,,,1.95,,,2026-05-15
036284,昇陽半元大56購02,,,,0.78,,,2026-05-15
036295,台達電中信59購02,,,,7.45,,,2026-05-15
036299,聯發科中信59購01,,,,7.00,,,2026-05-15
036303,神達中信59購02,,,,0.17,,,2026-05-15
036306,緯穎中信59購04,,,,1.08,,,2026-05-15
036310,南亞科永豐56購02,,,,65.50,,,2026-05-15
036339,智邦國票61購01,,,,8.55,,,2026-05-15
036346,嘉澤國票5A購01,,,,4.25,,,2026-05-15
036385,定穎控元大58購01,,,,1.56,,,2026-05-15
036398,A50正2凱基57購01,,,,0.49,,,2026-05-15
036406,宏達電凱基56購01,,,,0.08,,,2026-05-15
036443,昇陽半群益57購01,,,,2.36,,,2026-05-15
036449,鴻海中信59購01,,,,0.28,,,2026-05-15
036450,台積電中信59購02,,,,3.95,,,2026-05-15
036451,華碩中信59購01,,,,0.14,,,2026-05-15
036454,漢翔中信56購01,,,,0.02,,,2026-05-15
036456,緯穎中信59購05,,,,2.00,,,2026-05-15
036457,元黃金永豐59購01,,,,1.51,,,2026-05-15
036493,元黃金凱基59購01,,,,1.38,,,2026-05-15
036498,光寶科凱基59購01,,,,0.85,,,2026-05-15
036507,亞光凱基59購01,,,,0.28,,,2026-05-15
036520,光寶科群益57購01,,,,0.95,,,2026-05-15
036545,光寶科元大57購03,,,,1.12,,,2026-05-15
036547,台達電元大57購03,,,,9.20,,,2026-05-15
036557,京元電元大57購02,,,,4.25,,,2026-05-15
036572,牧德元大57購01,,,,4.50,,,2026-05-15
036574,達邁元大58購01,,,,1.71,,,2026-05-15
036583,緯穎元大59購02,,,,4.25,,,2026-05-15
03658U,臺股指凱基59售01,,,,0.25,,,2026-05-15
036604,亞翔元富56購01,,,,6.90,,,2026-05-15
036605,AES元富59購02,,,,0.44,,,2026-05-15
036609,鴻海國票56購02,,,,0.13,,,2026-05-15
036613,台積電國票56購02,,,,8.55,,,2026-05-15
036639,仁寶永豐56購01,,,,0.18,,,2026-05-15
036642,廣宇永豐56購02,,,,0.22,,,2026-05-15
036643,台積電永豐56購05,,,,7.30,,,2026-05-15
036644,華邦電永豐59購01,,,,37.90,,,2026-05-15
036646,英業達永豐56購01,,,,1.78,,,2026-05-15
036651,亞光永豐56購01,,,,0.25,,,2026-05-15
036663,鴻海凱基55購21,,,,0.89,,,2026-05-15
036681,精成科凱基59購01,,,,0.10,,,2026-05-15
036705,玉晶光元富56購01,,,,2.29,,,2026-05-15
036708,光寶科國票5A購01,,,,1.78,,,2026-05-15
036711,華邦電國票55購01,,,,73.50,,,2026-05-15
036721,同欣電國票56購01,,,,2.64,,,2026-05-15
036758,力成群益55購01,,,,1.87,,,2026-05-15
036785,佳能元大58購01,,,,0.14,,,2026-05-15
036805,緯穎元大59購03,,,,2.48,,,2026-05-15
036808,昇陽半元大58購01,,,,0.97,,,2026-05-15
036810,台虹元大56購01,,,,4.17,,,2026-05-15
036815,道瓊銅凱基5C購01,,,,1.53,,,2026-05-15
036842,光寶科統一58購03,,,,0.60,,,2026-05-15
036843,光寶科統一5C購02,,,,0.67,,,2026-05-15
036844,台達電統一58購03,,,,5.65,,,2026-05-15
036845,台達電統一5C購01,,,,2.21,,,2026-05-15
036846,華通統一64購01,,,,3.86,,,2026-05-15
036847,國巨統一58購03,,,,6.80,,,2026-05-15
036848,國巨統一5B購02,,,,7.75,2,,2026-05-15
036850,華邦電統一57購03,,,,15.60,,,2026-05-15
036851,華邦電統一58購01,,,,12.00,,,2026-05-15
036852,華邦電統一5C購01,,,,9.80,,,2026-05-15
036854,南亞科統一57購01,,,,17.60,,,2026-05-15
036855,創見統一5C購01,,,,2.49,,,2026-05-15
036856,義隆統一57購02,,,,0.51,,,2026-05-15
036857,強茂統一5B購01,,,,1.62,,,2026-05-15
036865,牧德統一61購01,,,,0.82,,,2026-05-15
036868,日月光統一5C購01,,,,4.17,,,2026-05-15
036871,精成科統一64購01,,,,0.17,,,2026-05-15
036872,帆宣統一5C購02,,,,0.99,,,2026-05-15
036873,力成統一57購01,,,,1.55,,,2026-05-15
036874,力成統一5C購01,,,,1.15,,,2026-05-15
036875,力成統一5C購02,,,,0.80,,,2026-05-15
036876,矽格統一59購02,,,,2.35,,,2026-05-15
036877,矽格統一5C購01,,,,2.20,,,2026-05-15
036878,同欣電統一5C購01,,,,0.85,,,2026-05-15
036879,同欣電統一5C購02,,,,0.73,,,2026-05-15
036880,天虹統一5B購01,,,,0.43,,,2026-05-15
036881,矽創統一57購01,,,,1.15,,,2026-05-15
037012,昇陽半元大58購02,,,,1.10,,,2026-05-15
037013,台虹元大56購02,,,,3.90,,,2026-05-15
037022,光寶科統一5B購01,,,,0.67,,,2026-05-15
037024,台達電統一59購02,,,,4.58,,,2026-05-15
037025,鴻海統一59購04,,,,0.30,,,2026-05-15
037026,仁寶統一59購01,,,,0.11,,,2026-05-15
037030,華邦電統一58購02,,,,13.60,,,2026-05-15
037033,宏碁統一59購01,,,,0.10,,,2026-05-15
037034,大同統一59購01,,,,0.04,,,2026-05-15
037036,南亞科統一57購02,,,,16.00,,,2026-05-15
037037,南亞科統一58購03,,,,12.80,,,2026-05-15
037038,南亞科統一59購03,,,,13.50,,,2026-05-15
037039,南亞科統一59購04,,,,12.20,,,2026-05-15
037040,南亞科統一5B購01,,,,10.70,,,2026-05-15
037041,南亞科統一5C購03,,,,10.40,,,2026-05-15
037044,南亞科統一64購01,,,,5.75,,,2026-05-15
037045,創見統一59購01,,,,4.04,,,2026-05-15
037046,聯發科統一59購02,,,,4.80,,,2026-05-15
