Code,Name,TradeVolume,Transaction,TradeValue,TradePrice,BidVolume,AskVolume,date
00763U,期街口道瓊銅,5,4,176200,35.24,,5,2026-05-15
00770,國泰北美科技,,,,64.70,,,2026-05-15
00771,元大US高息特別股,,,,16.12,,,2026-05-15
00775B,新光投等債15+,,,,32.30,,,2026-05-15
00783,富邦中証500,,,,30.69,1,,2026-05-15
00830,國泰費城半導體,3,3,252900,84.30,58,,2026-05-15
00850,元大臺灣ESG永續,1,1,81850,81.85,,2,2026-05-15
00851,台新全球AI,,,,64.40,,,2026-05-15
00852L,國泰美國道瓊正2,,,,31.65,2,,2026-05-15
00861,元大全球未來通訊,,,,85.40,,,2026-05-15
00865B,國泰US短期公債,1,1,47930,47.93,,2,2026-05-15
00875,國泰網路資安,1,1,42900,42.90,,,2026-05-15
00876,元大全球5G,1,1,85500,85.50,,8,2026-05-15
00878,國泰永續高股息,280,95,7873600,28.12,,2729,2026-05-15
00881,國泰台灣科技龍頭,20,9,1004000,50.20,406,,2026-05-15
00882,中信中國高股息,2,2,32540,16.27,,4,2026-05-15
00885,富邦越南,3,2,58050,19.35,,8,2026-05-15
00891,中信關鍵半導體,13,7,451230,34.71,391,,2026-05-15
00892,富邦台灣半導體,,,,42.95,9,,2026-05-15
00893,國泰智能電動車,1,1,45770,45.77,,2,2026-05-15
00894,中信小資高價30,7,7,334670,47.81,6,,2026-05-15
00895,富邦未來車,1,1,50550,50.55,1,,2026-05-15
00896,中信綠能及電動車,2,2,53020,26.51,5,,2026-05-15
00897,富邦基因免疫生技,,,,9.80,,,2026-05-15
00898,國泰基因免疫革命,,,,8.13,,,2026-05-15
00899,FT潔淨能源,,,,27.44,1,,2026-05-15
00900,富邦特選高股息30,7,5,119490,17.07,,28,2026-05-15
00901,永豐智能車供應鏈,,,,41.89,,1,2026-05-15
00902,中信電池及儲能,,,,16.96,,6,2026-05-15
00903,富邦元宇宙,,,,21.73,1,,2026-05-15
