Code,Name,TradeVolume,Transaction,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Dir,Change,LastBestBidPrice,LastBestBidVolume,LastBestAskPrice,LastBestAskVolume,PriceEarningRatio,date
5871,中租-KY,5812983,3859,628758076,107.50,109.50,107.50,108.00,+,0.50,107.50,429,108.50,351,10.11,2026-05-15
5871A,中租-KY甲特,81357,43,8310914,102.50,102.50,102.00,102.00,,,102.00,78,102.50,48,-,2026-05-15
5906,台南-KY,1010,2,46915,46.45,46.45,46.45,46.45,-,0.05,43.85,2,47.20,2,64.51,2026-05-15
5907,大洋-KY,366100,132,1903213,5.23,5.28,5.15,5.17,-,0.05,5.17,4,5.19,3,-,2026-05-15
6415,矽力*-KY,7352889,10920,3698719767,492.00,514.00,490.00,503.00,+,35.50,503.00,1,504.00,27,78.72,2026-05-15
6431,光麗-KY,117184,73,2408633,21.00,21.00,20.00,21.00,,,21.00,9,21.20,25,-,2026-05-15
6451,訊芯-KY,10570409,14427,5398319346,484.00,525.00,471.50,525.00,+,47.00,525.00,145,,,-,2026-05-15
6456,GIS-KY,6393238,4628,442951201,70.60,71.20,67.90,68.50,-,1.10,68.40,9,68.50,3,-,2026-05-15
6525,捷敏-KY,2069885,1558,236103076,107.00,116.50,107.00,116.50,+,10.50,116.50,2318,,,19.19,2026-05-15
6541,泰福-KY,1108971,980,43436645,40.00,40.30,38.55,38.55,-,2.30,38.55,7,38.65,1,-,2026-05-15
6550,北極星藥業-KY,2779877,1487,48124590,17.90,18.10,16.75,17.00,-,0.90,17.00,6,17.05,3,-,2026-05-15
6573,虹揚-KY,235833,161,3116315,13.30,13.45,13.05,13.15,-,0.50,13.10,5,13.15,1,10.04,2026-05-15
6591,動力-KY,592171,592,31111099,53.90,54.10,51.90,52.60,-,1.00,52.60,9,52.70,2,12.26,2026-05-15
6598,ABC-KY,223428,183,5362640,24.50,24.90,23.65,23.75,-,0.40,23.75,1,24.00,3,-,2026-05-15
6641,基士德-KY,42174,34,775613,18.30,18.50,18.30,18.35,-,0.15,18.35,1,18.40,2,38.23,2026-05-15
6666,羅麗芬-KY,10312,22,419124,41.40,41.40,40.45,40.45,+,0.10,40.45,2,40.65,1,18.73,2026-05-15
6671,三能-KY,63629,68,1854901,29.45,29.45,28.90,29.20,-,0.30,29.15,5,29.20,9,12.32,2026-05-15
6672,騰輝電子-KY,5148804,5215,1006613270,199.50,201.00,192.50,195.00,-,3.00,195.00,68,195.50,4,35.26,2026-05-15
6768,志強-KY,898382,982,76659030,87.70,87.90,84.20,84.20,-,3.50,84.20,2,84.60,2,15.95,2026-05-15
6781,AES-KY,1867751,8787,2239007170,1245.00,1260.00,1170.00,1185.00,-,55.00,1185.00,8,1190.00,19,31.02,2026-05-15
6807,峰源-KY,21035,19,712569,34.45,34.50,33.15,33.90,+,0.50,33.50,1,34.00,1,9.94,2026-05-15
6854,錼創科技-KY創,526896,455,77162655,145.00,148.00,145.00,147.00,+,2.50,147.00,10,147.50,7,-,2026-05-15
6862,三集瑞-KY,852526,1357,141165682,163.50,173.00,161.50,162.00,+,1.00,162.00,6,162.50,1,26.56,2026-05-15
6863,永道-KY,165153,670,19028078,116.50,117.50,113.00,113.00,-,3.00,113.00,7,114.00,1,103.67,2026-05-15
6887,寶綠特-KY,51021,60,1867440,36.50,37.10,36.50,36.50,-,1.30,36.50,1,36.60,1,15.40,2026-05-15
6890,來億-KY,342301,403,55761316,163.50,167.00,161.00,161.50,-,2.00,161.00,15,161.50,3,15.97,2026-05-15
