股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記,date
00692,富邦公司治理,2,,,57,59,155570,,,,,,155570,, ,2026-05-15
00693U,期街口S&P黃豆,15,35,,4173,4153,24916,,,,9,9,24916,, ,2026-05-15
00700,富邦恒生國企,2,1,,177,178,8995,,,,,,8995,, ,2026-05-15
00701,國泰股利精選30,,7,,98,91,45472,,,,,,45472,, ,2026-05-15
00702,國泰標普低波高息,,,,,,1672,,,,,,1672,, ,2026-05-15
00703,台新MSCI中國,,2,,4,2,2512,,,,,,2512,, ,2026-05-15
00706L,期元大S&P日圓正2,88,4,,2164,2248,39692,,,,48,48,39692,, ,2026-05-15
00707R,期元大S&P日圓反1,,,,40,40,1463,,,,,,1463,, ,2026-05-15
00708L,期元大S&P黃金正2,121,155,3,9061,9024,27143,6,4,,780,778,27143,, ,2026-05-15
00709,富邦歐洲,,,,2,2,3990,,,,,,3990,, ,2026-05-15
00710B,復華彭博非投等債,,,,13,13,45815,,,,,,45815,, ,2026-05-15
00711B,復華彭博新興債,,,,3,3,218065,,,,,,218065,, ,2026-05-15
00712,復華富時不動產,120,323,,14643,14440,1221002,9,,,13,4,1221002,, ,2026-05-15
00713,元大台灣高息低波,,,,120,120,482503,,,,4,4,482503,, ,2026-05-15
00714,群益道瓊美國地產,,,,7,7,5891,,,,,,5891,, ,2026-05-15
00715L,期街口布蘭特正2,1170,498,,9001,9673,21297,62,89,,6621,6648,21297,, ,2026-05-15
00717,富邦美國特別股,,,,2,2,34901,,,,,,34901,, ,2026-05-15
00728,第一金工業30,,,,,,9855,,,,,,9855,, ,2026-05-15
00730,富邦臺灣優質高息,2,,,30,32,18636,,,,,,18636,,X ,2026-05-15
00731,復華富時高息低波,,,5,11,6,6775,,,,,,6775,,X ,2026-05-15
00733,富邦臺灣中小,,,,53,53,18616,,,,,,18616,, ,2026-05-15
00735,國泰臺韓科技,152,43,,2244,2353,16447,,1,,94,95,16447,, ,2026-05-15
00736,國泰新興市場,,,,,,1681,,,,,,1681,, ,2026-05-15
00737,國泰AI機器人,5,,,49,54,5634,,,,,,5634,, ,2026-05-15
00738U,期元大道瓊白銀,343,324,,11456,11475,62949,10,11,,732,733,62949,37, ,2026-05-15
00739,元大MSCI A股,,,,,,6497,,,,,,6497,, ,2026-05-15
00752,中信中國50,91,,,558,649,76554,,2,,6,8,76554,, ,2026-05-15
00753L,中信中國50正2,3902,2931,,96834,97805,182164,15,110,2,1279,1372,182164,98, ,2026-05-15
00757,統一FANG+,53,2,8,439,482,74748,,,,14,14,74748,, ,2026-05-15
00762,元大全球AI,3,,,54,57,11937,,,,,,11937,, ,2026-05-15
00763U,期街口道瓊銅,64,120,,2077,2021,13891,1,,,114,113,13891,, ,2026-05-15
00770,國泰北美科技,,,,23,23,20739,,,,,,20739,, ,2026-05-15
00771,元大US高息特別股,,,,,,3556,,,,,,3556,, ,2026-05-15
00775B,新光投等債15+,,,,,,58025,,,,,,58025,,X ,2026-05-15
00783,富邦中証500,1,,,451,452,2632,,,,,,2632,, ,2026-05-15
00830,國泰費城半導體,150,101,1,2721,2769,165241,22,14,,300,292,165241,, ,2026-05-15
00850,元大臺灣ESG永續,,1,,30,29,104611,,,,,,104611,, ,2026-05-15
00851,台新全球AI,,,,1,1,1506,,,,,,1506,, ,2026-05-15
00852L,國泰美國道瓊正2,3,10,,178,171,2216,,,,78,78,2216,, ,2026-05-15
00861,元大全球未來通訊,,1,,8,7,17353,,,,,,17353,, ,2026-05-15
00865B,國泰US短期公債,,,,370,370,58811,,,,,,58811,, ,2026-05-15
00875,國泰網路資安,,,,1,1,3372,,,,,,3372,, ,2026-05-15
00876,元大全球5G,,,,5,5,18506,,,,,,18506,, ,2026-05-15
00878,國泰永續高股息,493,273,8,4676,4888,4740822,,,,,,4740822,,X ,2026-05-15
00881,國泰台灣科技龍頭,33,36,2,973,968,588475,,,,35,35,588475,, ,2026-05-15
00882,中信中國高股息,29,27,,1915,1917,512087,,,,10,10,512087,, ,2026-05-15
00885,富邦越南,18,63,,888,843,166934,,,,157,157,166934,, ,2026-05-15
00891,中信關鍵半導體,1561,1029,2,8605,9135,419147,,,,,,419147,,X ,2026-05-15
00892,富邦台灣半導體,100,7,,513,606,66448,,,,,,66448,, ,2026-05-15
00893,國泰智能電動車,3,1,,96,98,93971,,,,23,23,93971,, ,2026-05-15
00894,中信小資高價30,31,68,9,925,879,38002,,,15,15,,38002,,X ,2026-05-15
00895,富邦未來車,7,,,88,95,38854,,,,12,12,38854,, ,2026-05-15
00896,中信綠能及電動車,1,52,,403,352,67845,,,,,,67845,4, ,2026-05-15
00897,富邦基因免疫生技,,9,,26,17,38378,,,,,,38378,, ,2026-05-15
00898,國泰基因免疫革命,,,,23,23,40119,,,,,,40119,, ,2026-05-15
00899,FT潔淨能源,,1,,59,58,4158,,,,,,4158,, ,2026-05-15
00900,富邦特選高股息30,7,20,,208,195,462631,,,,,,462631,,X ,2026-05-15
00901,永豐智能車供應鏈,,,,10,10,16462,,,,,,16462,, ,2026-05-15
00902,中信電池及儲能,42,21,,1181,1202,60499,,,,46,46,60499,, ,2026-05-15
00903,富邦元宇宙,1,96,,104,9,13680,,,,,,13680,, ,2026-05-15
00904,新光臺灣半導體30,16,20,,894,890,43028,,,,1,1,43028,, ,2026-05-15
00905,FT臺灣Smart,,7,,165,158,83706,,,,,,83706,, ,2026-05-15
00907,永豐優息存股,5,60,,109,54,46408,,,,,,46408,, ,2026-05-15
