corporate_governance,securities_trading,financial_statements,indices,warrants,others,broker_data
https://openapi.twse.com.tw/v1/company/applylistingLocal,https://openapi.twse.com.tw/v1/holidaySchedule/holidaySchedule,https://openapi.twse.com.tw/v1/opendata/t187ap07_X_ins,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap04_L,https://openapi.twse.com.tw/v1/exchangeReport/BWIBBU_d,https://openapi.twse.com.tw/v1/opendata/t187ap11_P,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap03_L,https://openapi.twse.com.tw/v1/SBL/TWT96U,https://openapi.twse.com.tw/v1/opendata/t187ap06_L_basi,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap02_L,https://openapi.twse.com.tw/v1/exchangeReport/TWT84U,https://openapi.twse.com.tw/v1/opendata/t187ap07_L_basi,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap14_L,https://openapi.twse.com.tw/v1/opendata/twtazu_od,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap08_L,https://openapi.twse.com.tw/v1/opendata/t187ap19,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap11_L,https://openapi.twse.com.tw/v1/opendata/t187ap37_L,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap12_L,https://openapi.twse.com.tw/v1/announcement/notetrans,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap13_L,https://openapi.twse.com.tw/v1/announcement/notice,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap22_L,https://openapi.twse.com.tw/v1/exchangeReport/TWT48U_ALL,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap30_L,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap29_A_L,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap29_B_L,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap29_C_L,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap29_D_L,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap23_L,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap03_P,,,,,,
https://openapi.twse.com.tw/v1/announcement/punish,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap10_L,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap38_L,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap24_L,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap26_L,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap41_L,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap25_L,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap27_L,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap32_L,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap33_L,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap09_L,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap34_L,,,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap35_L,,,,,,
