stock_id,sub_sector
2542,建設營造
2543,建設營造
2545,建設營造
2546,建設營造
2547,建設營造
2548,建設營造
2597,建設營造
2601,未分類
2603,航運
2605,航運
2606,航運
2607,航運
2608,航運
2609,航運
2610,航運
2611,航運
2612,航運
2613,航運
2614,未分類
2615,航運
2616,未分類
2617,航運
2618,航運
2630,航運
2633,航運
2634,航運
2636,航運
2637,航運
2642,航運
2645,航運
2646,航運
2701,觀光餐旅
2702,觀光餐旅
2704,觀光餐旅
2705,觀光餐旅
2706,觀光餐旅
2707,觀光餐旅
2712,建設營造
2722,觀光餐旅
2723,觀光餐旅
2727,觀光餐旅
2731,觀光餐旅
2739,觀光餐旅
2748,觀光餐旅
2753,觀光餐旅
2762,晶圓代工
2801,金融
2812,金融
2816,金融
2820,金融
2832,金融
2834,金融
2836,金融
2838,金融
2845,金融
2849,金融
2850,金融
2851,金融
2852,金融
2855,食品
2867,金融
2880,金融
2881,金融
2882,金融
2883,金融
2884,金融
2885,金融
2886,金融
2887,金融
2889,金融
2890,金融
2891,金融
2892,金融
2897,金融
2901,未分類
2903,未分類
2904,未分類
2905,未分類
2906,未分類
2908,未分類
2910,未分類
2911,未分類
2912,食品
2913,未分類
2915,建設營造
2923,建設營造
2929,未分類
2939,未分類
2945,未分類
3002,NB/PC
3003,被動元件
3004,鋼鐵
3005,NB/PC
3006,其他電子
3008,面板
3010,未分類
3011,被動元件
3013,NB/PC
3014,其他電子
3015,電源供應器
3016,其他電子
3017,散熱
3018,綠電/再生能源
3019,面板
3021,被動元件
3022,IPC工業電腦
3023,被動元件
3024,面板
3025,網通
3026,MLCC
3027,網通
3028,未分類
3029,未分類
3030,其他電子
3031,面板
3032,被動元件
3033,未分類
3034,IC設計
3035,IC設計
3036,未分類
3037,封裝測試
3038,面板
3040,未分類
3041,其他電子
3042,被動元件
3043,其他電子
3044,PCB
3045,網通
3046,NB/PC
3047,網通
3048,未分類
3049,面板
3050,面板
3051,面板
3052,建設營造
3054,食品
3055,未分類
3056,建設營造
3057,NB/PC
3058,被動元件
3059,面板
3060,NB/PC
3062,網通
3090,被動元件
3092,被動元件
3094,其他電子
3130,未分類
3135,其他電子
3138,網通
3149,面板
3150,其他電子
3164,生技醫療
3167,未分類
3168,面板
3189,PCB
3209,未分類
3229,被動元件
3231,AI Server
3257,其他電子
3266,建設營造
3296,被動元件
3305,其他電子
3308,被動元件
3311,網通
3312,未分類
3321,被動元件
3338,散熱
3346,未分類
3356,面板
3376,車用電子
3380,網通
3406,面板
3413,半導體設備材料
3416,IPC工業電腦
3419,網通
3432,被動元件
3437,面板
3443,IC設計
3447,網通
3450,光通訊/CPO
3481,面板
3494,NB/PC
3501,被動元件
3504,面板
3515,AI Server
3518,其他電子
3528,未分類
3530,其他電子
3532,其他電子
3533,被動元件
3535,面板
3543,面板
3545,其他電子
3550,被動元件
3557,未分類
3563,面板
3576,綠電/再生能源
3583,半導體設備材料
3588,其他電子
3591,LED
3592,其他電子
3593,被動元件
3596,網通
3605,被動元件
3607,被動元件
3617,其他電子
3622,面板
3645,被動元件
3652,NB/PC
3653,散熱
3661,IC設計
3665,其他電子
3669,網通
3673,面板
3679,被動元件
3686,其他電子
3694,網通
3701,NB/PC
3702,未分類
3703,建設營造
3704,網通
3705,生技醫療
3706,AI Server
3708,未分類
3711,封裝測試
3712,NB/PC
3714,面板
3715,PCB
3716,生技醫療
3717,未分類
4104,生技醫療
4106,生技醫療
4108,生技醫療
4119,生技醫療
4133,生技醫療
