stock_id,stock_name,industry,sub_sector,source,confidence
2459,敦吉,其他電子業,其他電子,industry_code,low
2461,光群雷,其他電子業,其他電子,industry_code,low
2464,盟立,其他電子業,其他電子,industry_code,low
2477,美隆電,其他電子業,其他電子,industry_code,low
2481,強茂,半導體業,其他電子,industry_code,low
2482,連宇,其他電子業,其他電子,industry_code,low
2488,漢平,其他電子業,其他電子,industry_code,low
3006,晶豪科,半導體業,其他電子,industry_code,low
3014,聯陽,半導體業,其他電子,industry_code,low
3016,嘉晶,半導體業,其他電子,industry_code,low
3030,德律,其他電子業,其他電子,industry_code,low
3041,揚智,半導體業,其他電子,industry_code,low
3043,科風,其他電子業,其他電子,industry_code,low
3094,聯傑,半導體業,其他電子,industry_code,low
3135,凌航,半導體業,其他電子,industry_code,low
3150,鈺寶-創,半導體業,其他電子,industry_code,low
3257,虹冠電,半導體業,其他電子,industry_code,low
3305,昇貿,其他電子業,其他電子,industry_code,low
3518,柏騰,其他電子業,其他電子,industry_code,low
3530,晶相光,半導體業,其他電子,industry_code,low
3532,台勝科,半導體業,其他電子,industry_code,low
3545,敦泰,半導體業,其他電子,industry_code,low
3588,通嘉,半導體業,其他電子,industry_code,low
3592,瑞鼎,半導體業,其他電子,industry_code,low
3617,碩天,其他電子業,其他電子,industry_code,low
3665,貿聯-KY,其他電子業,其他電子,industry_code,low
3686,達能,半導體業,其他電子,industry_code,low
4585,達明,其他電子業,其他電子,industry_code,low
4588,玖鼎電力,其他電子業,其他電子,industry_code,low
4919,新唐,半導體業,其他電子,industry_code,low
4952,凌通,半導體業,其他電子,industry_code,low
4968,立積,半導體業,其他電子,industry_code,low
5222,全訊,半導體業,其他電子,industry_code,low
5225,東科-KY,其他電子業,其他電子,industry_code,low
5269,祥碩,半導體業,其他電子,industry_code,low
5285,界霖,半導體業,其他電子,industry_code,low
5471,松翰,半導體業,其他電子,industry_code,low
6139,亞翔,其他電子業,其他電子,industry_code,low
6192,巨路,其他電子業,其他電子,industry_code,low
6201,亞弘電,其他電子業,其他電子,industry_code,low
6202,盛群,半導體業,其他電子,industry_code,low
6215,和椿,其他電子業,其他電子,industry_code,low
6239,力成,半導體業,其他電子,industry_code,low
6243,迅杰,半導體業,其他電子,industry_code,low
6271,同欣電,半導體業,其他電子,industry_code,low
6283,淳安,其他電子業,其他電子,industry_code,low
6409,旭隼,其他電子業,其他電子,industry_code,low
6415,矽力*-KY,半導體業,其他電子,industry_code,low
6438,迅得,其他電子業,其他電子,industry_code,low
6451,訊芯-KY,半導體業,其他電子,industry_code,low
6515,穎崴,半導體業,其他電子,industry_code,low
6525,捷敏-KY,半導體業,其他電子,industry_code,low
6526,達發,半導體業,其他電子,industry_code,low
6531,愛普*,半導體業,其他電子,industry_code,low
6533,晶心科,半導體業,其他電子,industry_code,low
6552,易華電,半導體業,其他電子,industry_code,low
6558,興能高,其他電子業,其他電子,industry_code,low
6573,虹揚-KY,半導體業,其他電子,industry_code,low
6658,聯策,其他電子業,其他電子,industry_code,low
6691,洋基工程,其他電子業,其他電子,industry_code,low
6695,芯鼎,半導體業,其他電子,industry_code,low
6719,力智,半導體業,其他電子,industry_code,low
6722,輝創,其他電子業,其他電子,industry_code,low
6743,安普新,其他電子業,其他電子,industry_code,low
6756,威鋒電子,半導體業,其他電子,industry_code,low
6799,來頡,半導體業,其他電子,industry_code,low
6830,汎銓,其他電子業,其他電子,industry_code,low
6854,錼創科技-KY創,半導體業,其他電子,industry_code,low
6909,創控,半導體業,其他電子,industry_code,low
6921,嘉雨思-創,半導體業,其他電子,industry_code,low
6937,天虹,半導體業,其他電子,industry_code,low
6962,奕力-KY,半導體業,其他電子,industry_code,low
7631,聚賢研發-創,其他電子業,其他電子,industry_code,low
7730,暉盛-創,半導體業,其他電子,industry_code,low
7749,意騰-KY,半導體業,其他電子,industry_code,low
7768,頌勝科技,半導體業,其他電子,industry_code,low
7769,鴻勁,半導體業,其他電子,industry_code,low
7822,倍利科,半導體業,其他電子,industry_code,low
8016,矽創,半導體業,其他電子,industry_code,low
8021,尖點,其他電子業,其他電子,industry_code,low
8028,昇陽半導體,半導體業,其他電子,industry_code,low
8081,致新,半導體業,其他電子,industry_code,low
8110,華東,半導體業,其他電子,industry_code,low
8131,福懋科,半導體業,其他電子,industry_code,low
8162,微矽電子-創,半導體業,其他電子,industry_code,low
8201,無敵,其他電子業,其他電子,industry_code,low
8261,富鼎,半導體業,其他電子,industry_code,low
8499,鼎炫-KY,其他電子業,其他電子,industry_code,low
3413,京鼎,半導體業,半導體設備材料,name_keyword,medium
3583,辛耘,半導體業,半導體設備材料,name_keyword,medium
6196,帆宣,其他電子業,半導體設備材料,name_keyword,medium
6698,旭暉應材,其他電子業,半導體設備材料,name_keyword,medium
1301,台塑,塑膠工業,塑化,name_keyword,medium
1303,南亞,塑膠工業,塑化,name_keyword,medium
1304,台聚,塑膠工業,塑化,name_keyword,medium
1305,華夏,塑膠工業,塑化,industry_code,medium
1307,三芳,塑膠工業,塑化,name_keyword,medium
1308,亞聚,塑膠工業,塑化,industry_code,medium
1309,台達化,塑膠工業,塑化,industry_code,medium
1310,台苯,塑膠工業,塑化,industry_code,medium
1312,國喬,塑膠工業,塑化,name_keyword,medium
1313,聯成,塑膠工業,塑化,industry_code,medium
1314,中石化,塑膠工業,塑化,name_keyword,medium
1315,達新,塑膠工業,塑化,industry_code,medium
1321,大洋,塑膠工業,塑化,industry_code,medium
1323,永裕,塑膠工業,塑化,industry_code,medium
1324,地球,塑膠工業,塑化,industry_code,medium
1325,恆大,塑膠工業,塑化,industry_code,medium
1326,台化,塑膠工業,塑化,name_keyword,medium
1340,勝悅-KY,塑膠工業,塑化,industry_code,medium
1341,富林-KY,塑膠工業,塑化,industry_code,medium
1476,儒鴻,紡織纖維,塑化,name_keyword,medium
1708,東鹼,化學工業,塑化,industry_code,medium
1709,和益,化學工業,塑化,industry_code,medium
1710,東聯,化學工業,塑化,industry_code,medium
1711,永光,化學工業,塑化,industry_code,medium
1712,興農,化學工業,塑化,industry_code,medium
1713,國化,化學工業,塑化,industry_code,medium
1714,和桐,化學工業,塑化,industry_code,medium
1717,長興,化學工業,塑化,industry_code,medium
1718,中纖,化學工業,塑化,industry_code,medium
1721,三晃,化學工業,塑化,industry_code,medium
1722,台肥,化學工業,塑化,industry_code,medium
1723,中碳,化學工業,塑化,industry_code,medium
1725,元禎,化學工業,塑化,industry_code,medium
1726,永記,化學工業,塑化,industry_code,medium
1727,中華化,化學工業,塑化,industry_code,medium
1730,花仙子,化學工業,塑化,industry_code,medium
1732,毛寶,化學工業,塑化,industry_code,medium
1735,日勝化,化學工業,塑化,industry_code,medium
1773,勝一,化學工業,塑化,industry_code,medium
1776,展宇,化學工業,塑化,industry_code,medium
4306,炎洲,塑膠工業,塑化,industry_code,medium
4720,德淵,化學工業,塑化,industry_code,medium
4722,國精化,化學工業,塑化,industry_code,medium
4739,康普,化學工業,塑化,industry_code,medium
4755,三福化,化學工業,塑化,industry_code,medium
4763,材料*-KY,化學工業,塑化,industry_code,medium
4764,雙鍵,化學工業,塑化,industry_code,medium
4766,南寶,化學工業,塑化,industry_code,medium
4770,上品,化學工業,塑化,industry_code,medium
6505,台塑化,油電燃氣,塑化,name_keyword,medium
2368,金像電,電子零組件,封裝測試,manual_override,high
2449,京元電子,半導體業,封裝測試,manual_override,high
3037,欣興,電子零組件,封裝測試,manual_override,high
3711,日月光投控,半導體業,封裝測試,manual_override,high
6257,矽格,半導體業,封裝測試,name_keyword,high
6789,采鈺,半導體業,封裝測試,name_keyword,high
8150,南茂,半導體業,封裝測試,name_keyword,high
2360,致茂,其他電子業,工業電腦,manual_override,high
1436,華友聯,建材營造,建設營造,industry_code,medium
1438,三地開發,建材營造,建設營造,industry_code,medium
1439,雋揚,建材營造,建設營造,industry_code,medium
1442,名軒,建材營造,建設營造,industry_code,medium
1453,大將,建材營造,建設營造,industry_code,medium
1456,怡華,建材營造,建設營造,industry_code,medium
1472,三洋實業,建材營造,建設營造,industry_code,medium
1805,寶徠,建材營造,建設營造,industry_code,medium
1808,潤隆,建材營造,建設營造,industry_code,medium
2442,新美齊,建材營造,建設營造,industry_code,medium
2501,國建,建材營造,建設營造,name_keyword,medium
2504,國產,建材營造,建設營造,industry_code,medium
2505,國揚,建材營造,建設營造,industry_code,medium
2506,太設,建材營造,建設營造,industry_code,medium
2509,全坤建,建材營造,建設營造,industry_code,medium
2511,太子,建材營造,建設營造,industry_code,medium
2515,中工,建材營造,建設營造,industry_code,medium
2516,新建,建材營造,建設營造,industry_code,medium
2520,冠德,建材營造,建設營造,name_keyword,medium
2524,京城,建材營造,建設營造,industry_code,medium
2527,宏璟,建材營造,建設營造,industry_code,medium
2528,皇普,建材營造,建設營造,industry_code,medium
2530,華建,建材營造,建設營造,industry_code,medium
2534,宏盛,建材營造,建設營造,industry_code,medium
2535,達欣工,建材營造,建設營造,industry_code,medium
2536,宏普,建材營造,建設營造,name_keyword,medium
2537,聯上發,建材營造,建設營造,industry_code,medium
