stock_id,stock_name,industry,sub_sector,source,confidence,amount
4536,拓凱,Unknown,未分類,manual_override,high,37907217.0
7818,溢泰實業,Unknown,未分類,manual_override,high,37618345.0
7786,東方風能,Unknown,未分類,manual_override,high,36844173.0
2913,農林,貿易百貨,未分類,manual_override,high,36035528.0
2247,汎德永業,汽車工業,未分類,manual_override,high,35456290.0
5288,豐祥-KY,電機機械,未分類,manual_override,high,34281640.0
1583,程泰,電機機械,未分類,manual_override,high,33922737.0
7765,中華資安,Unknown,未分類,manual_override,high,32906559.0
9942,茂順,其他,未分類,manual_override,high,30122389.0
4569,六方科-KY,汽車工業,未分類,manual_override,high,29959767.0
8478,東哥遊艇,Unknown,未分類,manual_override,high,29685173.0
1909,榮成,造紙工業,未分類,manual_override,high,29406158.0
4532,瑞智,電機機械,未分類,manual_override,high,29076929.0
4582,聚恆-創,Unknown,未分類,manual_override,high,28985748.0
2258,鴻華先進-創,汽車工業,未分類,manual_override,high,28958365.0
6957,裕慶-KY,其他,未分類,manual_override,high,28574322.0
7721,微程式,Unknown,未分類,manual_override,high,27420526.0
6112,邁達特,資訊服務業,未分類,manual_override,high,26257615.0
4572,駐龍,電機機械,未分類,manual_override,high,25659524.0
1342,八貫,其他,未分類,manual_override,high,24962414.0
8222,寶一,電機機械,未分類,manual_override,high,24713366.0
7722,LINEPAY,Unknown,未分類,manual_override,high,24655751.0
2104,國際中橡,橡膠工業,未分類,manual_override,high,23921827.0
6585,鼎基,其他,未分類,manual_override,high,23420419.0
2108,南帝,橡膠工業,未分類,manual_override,high,21058156.0
1904,正隆,造紙工業,未分類,manual_override,high,20472069.0
8341,日友,Unknown,未分類,manual_override,high,19899367.0
6776,展碁國際,電子通路業,未分類,manual_override,high,19243659.0
4807,日成-KY,貿易百貨,未分類,manual_override,high,19015396.0
6165,浪凡,Unknown,未分類,manual_override,high,18577475.0
2614,東森,其他,未分類,manual_override,high,18052597.0
6689,伊雲谷,Unknown,未分類,manual_override,high,18051955.0
1532,勤美,電機機械,未分類,manual_override,high,17133646.0
6901,鑽石投資,其他,未分類,manual_override,high,16976416.0
2414,精技,電子通路業,未分類,manual_override,high,16191826.0
1903,士紙,造紙工業,未分類,manual_override,high,16015295.0
2929,淘帝-KY,貿易百貨,未分類,manual_override,high,15859484.0
2348,海悅,其他,未分類,manual_override,high,15352124.0
2106,建大,橡膠工業,未分類,manual_override,high,15306997.0
1603,華電,電器電纜,未分類,manual_override,high,14579353.0
8462,柏文,Unknown,未分類,manual_override,high,14514140.0
5203,訊連,資訊服務業,未分類,manual_override,high,14277085.0
4590,富田-創,電機機械,未分類,manual_override,high,14240311.0
