出表日期,交易日期,權證代號,權證名稱,成交金額,成交張數,date
1150514,1150514,088419,敦陽科統一57購01,0.00,0,2026-05-15
1150514,1150514,088421,欣興統一57購04,0.00,0,2026-05-15
1150514,1150514,088428,東哥統一61購01,0.00,0,2026-05-15
1150514,1150514,088429,東哥統一61購02,850.00,5000,2026-05-15
1150514,1150514,088422,臻鼎統一61購01,8060.00,2000,2026-05-15
1150514,1150514,088424,聯茂統一61購01,386020.00,151000,2026-05-15
1150514,1150514,088430,鈺齊統一57購01,12280.00,307000,2026-05-15
1150514,1150514,088635,鉅祥統一61購01,10300.00,10000,2026-05-15
1150514,1150514,088637,達興統一61購01,0.00,0,2026-05-15
1150514,1150514,088636,達興統一57購01,0.00,0,2026-05-15
1150514,1150514,088572,雄獅統一57購02,0.00,0,2026-05-15
1150514,1150514,088561,微星統一59購01,6400.00,33000,2026-05-15
1150514,1150514,088582,景碩統一61購01,15300.00,3000,2026-05-15
1150514,1150514,088586,聯茂統一59購01,0.00,0,2026-05-15
1150514,1150514,088567,毅嘉統一59購01,7920.00,8000,2026-05-15
1150514,1150514,088568,毅嘉統一59購02,0.00,0,2026-05-15
1150514,1150514,088566,毅嘉統一57購01,0.00,0,2026-05-15
1150514,1150514,088570,聯發科統一59購01,0.00,0,2026-05-15
1150514,1150514,088583,聯鈞統一67購01,0.00,0,2026-05-15
1150514,1150514,088589,東哥統一57購03,0.00,0,2026-05-15
1150514,1150514,088577,欣興統一59購01,0.00,0,2026-05-15
1150514,1150514,088578,欣興統一63購01,0.00,0,2026-05-15
1150514,1150514,088558,矽統統一56購02,233990.00,446000,2026-05-15
1150514,1150514,088585,佳必琪統一56購01,1500.00,1000,2026-05-15
1150514,1150514,088569,京元電統一61購01,25630.00,11000,2026-05-15
1150514,1150514,088574,奇鋐統一56購02,0.00,0,2026-05-15
1150514,1150514,088575,奇鋐統一61購01,0.00,0,2026-05-15
1150514,1150514,088639,富世達統一61購01,0.00,0,2026-05-15
1150514,1150514,088588,連加統一59購01,0.00,0,2026-05-15
1150514,1150514,088573,晟銘電統一5A購01,0.00,0,2026-05-15
1150514,1150514,088557,國巨統一59購01,0.00,0,2026-05-15
1150514,1150514,088563,威盛統一57購02,48800.00,140000,2026-05-15
1150514,1150514,088564,威盛統一59購01,42840.00,92000,2026-05-15
1150514,1150514,088565,威盛統一61購01,16190.00,26000,2026-05-15
1150514,1150514,042878,聯發科統一57購01,177970.00,62000,2026-05-15
1150514,1150514,043673,緯穎統一56購01,0.00,0,2026-05-15
1150514,1150514,043671,精成科統一59購01,36540.00,406000,2026-05-15
1150514,1150514,043666,貿聯統一59購02,3630.00,3000,2026-05-15
1150514,1150514,043657,國巨統一58購06,126000.00,40000,2026-05-15
1150514,1150514,043660,國巨統一5C購05,3000.00,1000,2026-05-15
1150514,1150514,043658,國巨統一59購06,55330.00,20000,2026-05-15
1150514,1150514,043659,國巨統一5B購04,392710.00,165000,2026-05-15
1150514,1150514,043670,崇越統一5B購01,0.00,0,2026-05-15
1150514,1150514,043665,晶豪科統一6B購01,66100.00,35000,2026-05-15
1150514,1150514,043664,京元電統一5A購01,12090.00,13000,2026-05-15
1150514,1150514,043656,亞力統一5B購01,35640.00,89000,2026-05-15
1150514,1150514,043674,長華統一5B購01,3600.00,10000,2026-05-15
1150514,1150514,043661,金像電統一5A購03,0.00,0,2026-05-15
1150514,1150514,047733,穎崴統一58購01,0.00,0,2026-05-15
1150514,1150514,048081,超眾統一56購01,0.00,0,2026-05-15
1150514,1150514,048082,超眾統一58購01,0.00,0,2026-05-15
1150514,1150514,048094,鼎炫統一5C購01,23250.00,101000,2026-05-15
